datetime,height,port
2024-11-01 00:40:00-03:00,0.95,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-01 06:38:00-03:00,2.75,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-01 13:00:00-03:00,0.52,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-01 19:20:00-03:00,2.72,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-02 01:10:00-03:00,0.98,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-02 07:06:00-03:00,2.82,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-02 13:32:00-03:00,0.42,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-02 19:54:00-03:00,2.73,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-03 01:40:00-03:00,1.01,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-03 07:35:00-03:00,2.87,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-03 14:05:00-03:00,0.36,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-03 20:28:00-03:00,2.71,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-04 02:10:00-03:00,1.04,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-04 08:06:00-03:00,2.9,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-04 14:40:00-03:00,0.34,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-04 21:04:00-03:00,2.67,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-05 02:44:00-03:00,1.08,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-05 08:40:00-03:00,2.9,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-05 15:18:00-03:00,0.37,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-05 21:43:00-03:00,2.61,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-06 03:21:00-03:00,1.13,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-06 09:20:00-03:00,2.86,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-06 16:00:00-03:00,0.44,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-06 22:27:00-03:00,2.55,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-07 04:06:00-03:00,1.18,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-07 10:05:00-03:00,2.77,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-07 16:48:00-03:00,0.54,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-07 23:18:00-03:00,2.48,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-08 05:00:00-03:00,1.23,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-08 11:00:00-03:00,2.65,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-08 17:44:00-03:00,0.66,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-09 00:17:00-03:00,2.44,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-09 06:06:00-03:00,1.26,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-09 12:07:00-03:00,2.54,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-09 18:49:00-03:00,0.77,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-10 01:24:00-03:00,2.45,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-10 07:24:00-03:00,1.21,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-10 13:27:00-03:00,2.48,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-10 20:00:00-03:00,0.83,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-11 02:31:00-03:00,2.52,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-11 08:41:00-03:00,1.07,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-11 14:48:00-03:00,2.52,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-11 21:09:00-03:00,0.83,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-12 03:32:00-03:00,2.65,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-12 09:49:00-03:00,0.86,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-12 16:00:00-03:00,2.63,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-12 22:11:00-03:00,0.8,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-13 04:26:00-03:00,2.79,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-11-13 10:46:00-03:00,0.62,ISLAS DE AÑO NUEVO (Isla Observatorio)
