datetime,height,port
2024-02-01 05:01:00-03:00,0.93,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-01 11:06:00-03:00,2.49,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-01 17:10:00-03:00,0.98,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-01 23:24:00-03:00,2.58,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-02 05:46:00-03:00,0.94,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-02 11:55:00-03:00,2.35,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-02 17:50:00-03:00,1.13,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-03 00:05:00-03:00,2.55,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-03 06:41:00-03:00,0.94,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-03 12:56:00-03:00,2.23,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-03 18:39:00-03:00,1.27,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-04 00:56:00-03:00,2.53,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-04 07:46:00-03:00,0.93,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-04 14:11:00-03:00,2.16,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-04 19:42:00-03:00,1.38,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-05 01:59:00-03:00,2.52,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-05 08:59:00-03:00,0.87,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-05 15:32:00-03:00,2.19,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-05 20:59:00-03:00,1.42,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-06 03:10:00-03:00,2.57,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-06 10:09:00-03:00,0.74,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-06 16:44:00-03:00,2.3,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-06 22:15:00-03:00,1.36,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-07 04:18:00-03:00,2.67,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-07 11:10:00-03:00,0.58,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-07 17:41:00-03:00,2.46,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-07 23:18:00-03:00,1.22,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-08 05:19:00-03:00,2.81,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-08 12:02:00-03:00,0.41,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-08 18:29:00-03:00,2.64,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-09 00:12:00-03:00,1.04,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-09 06:13:00-03:00,2.96,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-09 12:49:00-03:00,0.28,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-09 19:12:00-03:00,2.8,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-10 01:01:00-03:00,0.86,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-10 07:03:00-03:00,3.09,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-10 13:33:00-03:00,0.18,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-10 19:52:00-03:00,2.93,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-11 01:46:00-03:00,0.7,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-11 07:49:00-03:00,3.17,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-11 14:15:00-03:00,0.15,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-11 20:32:00-03:00,3.02,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-12 02:29:00-03:00,0.57,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-12 08:35:00-03:00,3.19,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-12 14:56:00-03:00,0.19,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-12 21:11:00-03:00,3.07,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-13 03:13:00-03:00,0.5,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-13 09:20:00-03:00,3.15,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-13 15:37:00-03:00,0.3,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-13 21:50:00-03:00,3.05,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-14 03:58:00-03:00,0.48,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-14 10:07:00-03:00,3.03,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-14 16:19:00-03:00,0.46,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-14 22:31:00-03:00,2.99,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-15 04:45:00-03:00,0.51,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-02-15 10:56:00-03:00,2.87,ISLAS DE AÑO NUEVO (Isla Observatorio)
