datetime,height,port
2024-03-01 04:25:00-03:00,0.68,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-01 10:38:00-03:00,2.57,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-01 16:31:00-03:00,1.0,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-01 22:39:00-03:00,2.72,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-02 05:08:00-03:00,0.73,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-02 11:23:00-03:00,2.43,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-02 17:10:00-03:00,1.14,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-02 23:19:00-03:00,2.66,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-03 06:00:00-03:00,0.79,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-03 12:21:00-03:00,2.29,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-03 17:59:00-03:00,1.28,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-04 00:12:00-03:00,2.58,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-04 07:05:00-03:00,0.85,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-04 13:35:00-03:00,2.2,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-04 19:07:00-03:00,1.4,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-05 01:20:00-03:00,2.52,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-05 08:23:00-03:00,0.85,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-05 15:02:00-03:00,2.21,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-05 20:34:00-03:00,1.43,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-06 02:43:00-03:00,2.52,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-06 09:42:00-03:00,0.77,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-06 16:19:00-03:00,2.33,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-06 21:58:00-03:00,1.32,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-07 04:02:00-03:00,2.62,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-07 10:48:00-03:00,0.63,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-07 17:18:00-03:00,2.51,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-07 23:05:00-03:00,1.12,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-08 05:08:00-03:00,2.79,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-08 11:42:00-03:00,0.48,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-08 18:05:00-03:00,2.71,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-08 23:59:00-03:00,0.89,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-09 06:03:00-03:00,2.96,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-09 12:30:00-03:00,0.35,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-09 18:47:00-03:00,2.89,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-10 00:45:00-03:00,0.66,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-10 06:52:00-03:00,3.11,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-10 13:13:00-03:00,0.27,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-10 19:27:00-03:00,3.02,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-11 01:29:00-03:00,0.47,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-11 07:38:00-03:00,3.2,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-11 13:54:00-03:00,0.25,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-11 20:05:00-03:00,3.11,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-12 02:11:00-03:00,0.34,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-12 08:22:00-03:00,3.22,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-12 14:34:00-03:00,0.31,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-12 20:42:00-03:00,3.14,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-13 02:53:00-03:00,0.28,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-13 09:05:00-03:00,3.16,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-13 15:13:00-03:00,0.43,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-13 21:20:00-03:00,3.11,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-14 03:35:00-03:00,0.29,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-14 09:50:00-03:00,3.03,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-14 15:53:00-03:00,0.6,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-14 21:59:00-03:00,3.02,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-15 04:20:00-03:00,0.36,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-15 10:38:00-03:00,2.85,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-15 16:36:00-03:00,0.82,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-15 22:40:00-03:00,2.89,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-16 05:08:00-03:00,0.49,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-16 11:30:00-03:00,2.64,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-16 17:22:00-03:00,1.06,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-16 23:26:00-03:00,2.72,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-17 06:04:00-03:00,0.64,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-17 12:34:00-03:00,2.43,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-17 18:19:00-03:00,1.28,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-18 00:21:00-03:00,2.55,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-18 07:11:00-03:00,0.79,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-18 13:53:00-03:00,2.29,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-18 19:33:00-03:00,1.45,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-19 01:32:00-03:00,2.41,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-19 08:32:00-03:00,0.86,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-19 15:24:00-03:00,2.27,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-19 21:04:00-03:00,1.49,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-20 02:57:00-03:00,2.37,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-20 09:52:00-03:00,0.84,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-20 16:39:00-03:00,2.35,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-20 22:24:00-03:00,1.4,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-21 04:15:00-03:00,2.43,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-21 10:56:00-03:00,0.77,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-21 17:32:00-03:00,2.46,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-21 23:22:00-03:00,1.26,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-22 05:15:00-03:00,2.54,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-22 11:46:00-03:00,0.7,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-22 18:12:00-03:00,2.55,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-23 00:05:00-03:00,1.09,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-23 06:03:00-03:00,2.66,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-23 12:27:00-03:00,0.66,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-23 18:44:00-03:00,2.64,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-24 00:41:00-03:00,0.93,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-24 06:44:00-03:00,2.76,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-24 13:01:00-03:00,0.65,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-24 19:12:00-03:00,2.7,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-25 01:13:00-03:00,0.78,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-25 07:19:00-03:00,2.82,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-25 13:31:00-03:00,0.67,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-25 19:37:00-03:00,2.76,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-26 01:43:00-03:00,0.65,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-26 07:53:00-03:00,2.85,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-26 13:59:00-03:00,0.71,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-26 20:02:00-03:00,2.81,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-27 02:13:00-03:00,0.55,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-27 08:26:00-03:00,2.84,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-27 14:27:00-03:00,0.77,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-27 20:28:00-03:00,2.85,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-28 02:44:00-03:00,0.49,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-28 08:59:00-03:00,2.8,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-28 14:55:00-03:00,0.84,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-28 20:56:00-03:00,2.87,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-29 03:18:00-03:00,0.46,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-29 09:35:00-03:00,2.72,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-29 15:26:00-03:00,0.93,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-29 21:27:00-03:00,2.87,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-30 03:56:00-03:00,0.49,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-30 10:15:00-03:00,2.61,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-30 16:01:00-03:00,1.04,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-30 22:04:00-03:00,2.82,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-31 04:39:00-03:00,0.56,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-31 11:01:00-03:00,2.49,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-31 16:43:00-03:00,1.16,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-03-31 22:48:00-03:00,2.73,ISLAS DE AÑO NUEVO (Isla Observatorio)
