datetime,height,port
2024-04-01 05:31:00-03:00,0.66,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-01 11:58:00-03:00,2.36,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-01 17:36:00-03:00,1.29,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-01 23:43:00-03:00,2.61,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-02 06:36:00-03:00,0.77,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-02 13:11:00-03:00,2.28,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-02 18:49:00-03:00,1.37,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-03 00:57:00-03:00,2.51,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-03 07:53:00-03:00,0.82,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-03 14:34:00-03:00,2.3,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-03 20:19:00-03:00,1.35,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-04 02:25:00-03:00,2.5,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-04 09:13:00-03:00,0.79,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-04 15:48:00-03:00,2.43,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-04 21:42:00-03:00,1.2,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-05 03:46:00-03:00,2.6,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-05 10:21:00-03:00,0.69,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-05 16:46:00-03:00,2.61,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-05 22:47:00-03:00,0.96,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-06 04:53:00-03:00,2.77,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-06 11:17:00-03:00,0.57,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-06 17:34:00-03:00,2.79,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-06 23:39:00-03:00,0.71,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-07 05:48:00-03:00,2.94,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-07 12:05:00-03:00,0.47,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-07 18:17:00-03:00,2.96,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-08 00:26:00-03:00,0.47,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-08 06:37:00-03:00,3.08,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-08 12:49:00-03:00,0.42,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-08 18:57:00-03:00,3.08,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-09 01:09:00-03:00,0.29,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-09 07:23:00-03:00,3.16,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-09 13:30:00-03:00,0.43,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-09 19:35:00-03:00,3.15,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-10 01:51:00-03:00,0.18,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-10 08:07:00-03:00,3.16,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-10 14:10:00-03:00,0.5,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-10 20:13:00-03:00,3.16,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-11 02:32:00-03:00,0.14,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-11 08:51:00-03:00,3.1,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-11 14:50:00-03:00,0.62,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-11 20:51:00-03:00,3.11,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-12 03:14:00-03:00,0.18,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-12 09:35:00-03:00,2.97,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-12 15:30:00-03:00,0.79,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-12 21:29:00-03:00,3.0,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-13 03:57:00-03:00,0.28,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-13 10:22:00-03:00,2.79,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-13 16:12:00-03:00,0.99,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-13 22:10:00-03:00,2.85,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-04-14 04:45:00-03:00,0.44,ISLAS DE AÑO NUEVO (Isla Observatorio)
