datetime,height,port
2024-05-01 06:14:00-03:00,0.68,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-01 12:49:00-03:00,2.43,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-01 18:39:00-03:00,1.27,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-02 00:42:00-03:00,2.54,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-02 07:25:00-03:00,0.77,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-02 14:02:00-03:00,2.46,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-02 20:02:00-03:00,1.21,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-03 02:06:00-03:00,2.51,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-03 08:39:00-03:00,0.79,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-03 15:10:00-03:00,2.56,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-03 21:18:00-03:00,1.04,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-04 03:25:00-03:00,2.59,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-04 09:47:00-03:00,0.76,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-04 16:09:00-03:00,2.7,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-04 22:22:00-03:00,0.81,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-05 04:33:00-03:00,2.72,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-05 10:45:00-03:00,0.7,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-05 16:59:00-03:00,2.85,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-05 23:16:00-03:00,0.57,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-06 05:30:00-03:00,2.87,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-06 11:36:00-03:00,0.65,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-05-06 17:44:00-03:00,2.98,ISLAS DE AÑO NUEVO (Isla Observatorio)
