datetime,height,port
2024-08-01 04:39:00-03:00,2.46,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-01 10:21:00-03:00,1.27,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-01 16:21:00-03:00,2.69,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-01 23:08:00-03:00,0.52,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-02 05:44:00-03:00,2.55,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-02 11:26:00-03:00,1.22,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-02 17:21:00-03:00,2.76,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-03 00:04:00-03:00,0.41,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-03 06:37:00-03:00,2.65,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-03 12:20:00-03:00,1.14,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-03 18:14:00-03:00,2.83,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-04 00:52:00-03:00,0.33,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-04 07:22:00-03:00,2.73,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-04 13:07:00-03:00,1.06,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-04 19:01:00-03:00,2.89,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-05 01:34:00-03:00,0.3,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-05 08:00:00-03:00,2.77,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-05 13:47:00-03:00,0.98,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-05 19:43:00-03:00,2.92,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-06 02:13:00-03:00,0.33,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-06 08:35:00-03:00,2.78,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-06 14:24:00-03:00,0.92,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-06 20:22:00-03:00,2.91,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-08-07 02:48:00-03:00,0.4,ISLAS DE AÑO NUEVO (Isla Observatorio)
