datetime,height,port
2024-03-01 06:01:00-03:00,0.48,MAR DE AJÓ
2024-03-01 11:54:00-03:00,1.28,MAR DE AJÓ
2024-03-01 19:08:00-03:00,0.74,MAR DE AJÓ
2024-03-01 23:56:00-03:00,1.21,MAR DE AJÓ
2024-03-02 06:45:00-03:00,0.52,MAR DE AJÓ
2024-03-02 12:35:00-03:00,1.26,MAR DE AJÓ
2024-03-02 19:32:00-03:00,0.78,MAR DE AJÓ
2024-03-03 00:33:00-03:00,1.29,MAR DE AJÓ
2024-03-03 07:36:00-03:00,0.57,MAR DE AJÓ
2024-03-03 13:21:00-03:00,1.23,MAR DE AJÓ
2024-03-03 20:00:00-03:00,0.81,MAR DE AJÓ
2024-03-04 01:18:00-03:00,1.36,MAR DE AJÓ
2024-03-04 08:37:00-03:00,0.6,MAR DE AJÓ
2024-03-04 14:13:00-03:00,1.18,MAR DE AJÓ
2024-03-04 20:32:00-03:00,0.82,MAR DE AJÓ
2024-03-05 02:17:00-03:00,1.41,MAR DE AJÓ
2024-03-05 09:47:00-03:00,0.62,MAR DE AJÓ
2024-03-05 15:14:00-03:00,1.11,MAR DE AJÓ
2024-03-05 21:12:00-03:00,0.79,MAR DE AJÓ
2024-03-06 03:36:00-03:00,1.45,MAR DE AJÓ
2024-03-06 10:59:00-03:00,0.61,MAR DE AJÓ
2024-03-06 16:19:00-03:00,1.05,MAR DE AJÓ
2024-03-06 22:11:00-03:00,0.74,MAR DE AJÓ
2024-03-07 04:56:00-03:00,1.51,MAR DE AJÓ
2024-03-07 12:10:00-03:00,0.58,MAR DE AJÓ
2024-03-07 17:20:00-03:00,0.99,MAR DE AJÓ
2024-03-07 23:27:00-03:00,0.65,MAR DE AJÓ
2024-03-08 06:03:00-03:00,1.57,MAR DE AJÓ
2024-03-08 13:22:00-03:00,0.53,MAR DE AJÓ
2024-03-08 18:18:00-03:00,0.96,MAR DE AJÓ
2024-03-09 00:40:00-03:00,0.51,MAR DE AJÓ
2024-03-09 07:04:00-03:00,1.62,MAR DE AJÓ
2024-03-09 14:32:00-03:00,0.47,MAR DE AJÓ
2024-03-09 19:13:00-03:00,0.97,MAR DE AJÓ
2024-03-10 01:46:00-03:00,0.36,MAR DE AJÓ
2024-03-10 08:01:00-03:00,1.65,MAR DE AJÓ
2024-03-10 15:34:00-03:00,0.43,MAR DE AJÓ
2024-03-10 20:06:00-03:00,1.02,MAR DE AJÓ
2024-03-11 02:47:00-03:00,0.22,MAR DE AJÓ
2024-03-11 08:59:00-03:00,1.65,MAR DE AJÓ
2024-03-11 16:28:00-03:00,0.41,MAR DE AJÓ
2024-03-11 20:58:00-03:00,1.1,MAR DE AJÓ
2024-03-12 03:46:00-03:00,0.12,MAR DE AJÓ
2024-03-12 10:00:00-03:00,1.61,MAR DE AJÓ
2024-03-12 17:17:00-03:00,0.42,MAR DE AJÓ
2024-03-12 21:48:00-03:00,1.19,MAR DE AJÓ
2024-03-13 04:44:00-03:00,0.08,MAR DE AJÓ
2024-03-13 11:12:00-03:00,1.55,MAR DE AJÓ
2024-03-13 18:01:00-03:00,0.47,MAR DE AJÓ
2024-03-13 22:38:00-03:00,1.29,MAR DE AJÓ
2024-03-14 05:44:00-03:00,0.1,MAR DE AJÓ
2024-03-14 12:41:00-03:00,1.48,MAR DE AJÓ
2024-03-14 18:44:00-03:00,0.54,MAR DE AJÓ
2024-03-14 23:28:00-03:00,1.38,MAR DE AJÓ
2024-03-15 06:47:00-03:00,0.18,MAR DE AJÓ
2024-03-15 13:52:00-03:00,1.4,MAR DE AJÓ
2024-03-15 19:24:00-03:00,0.62,MAR DE AJÓ
2024-03-16 00:21:00-03:00,1.43,MAR DE AJÓ
2024-03-16 07:55:00-03:00,0.3,MAR DE AJÓ
2024-03-16 14:51:00-03:00,1.31,MAR DE AJÓ
2024-03-16 20:04:00-03:00,0.69,MAR DE AJÓ
2024-03-17 01:23:00-03:00,1.45,MAR DE AJÓ
2024-03-17 09:06:00-03:00,0.43,MAR DE AJÓ
2024-03-17 15:45:00-03:00,1.21,MAR DE AJÓ
2024-03-17 20:43:00-03:00,0.75,MAR DE AJÓ
2024-03-18 02:45:00-03:00,1.45,MAR DE AJÓ
2024-03-18 10:21:00-03:00,0.53,MAR DE AJÓ
