datetime,height,port
2024-04-01 00:05:00-03:00,1.47,MAR DE AJÓ
2024-04-01 07:25:00-03:00,0.57,MAR DE AJÓ
2024-04-01 12:40:00-03:00,1.16,MAR DE AJÓ
2024-04-01 19:09:00-03:00,0.77,MAR DE AJÓ
2024-04-02 00:51:00-03:00,1.49,MAR DE AJÓ
2024-04-02 08:29:00-03:00,0.59,MAR DE AJÓ
2024-04-02 13:30:00-03:00,1.08,MAR DE AJÓ
2024-04-02 19:43:00-03:00,0.74,MAR DE AJÓ
2024-04-03 01:51:00-03:00,1.49,MAR DE AJÓ
2024-04-03 09:41:00-03:00,0.59,MAR DE AJÓ
2024-04-03 14:31:00-03:00,1.0,MAR DE AJÓ
2024-04-03 20:29:00-03:00,0.69,MAR DE AJÓ
2024-04-04 03:15:00-03:00,1.48,MAR DE AJÓ
2024-04-04 10:52:00-03:00,0.57,MAR DE AJÓ
2024-04-04 15:46:00-03:00,0.93,MAR DE AJÓ
2024-04-04 21:41:00-03:00,0.62,MAR DE AJÓ
2024-04-05 04:42:00-03:00,1.5,MAR DE AJÓ
2024-04-05 12:02:00-03:00,0.53,MAR DE AJÓ
2024-04-05 16:58:00-03:00,0.91,MAR DE AJÓ
2024-04-05 23:09:00-03:00,0.53,MAR DE AJÓ
2024-04-06 05:52:00-03:00,1.54,MAR DE AJÓ
2024-04-06 13:09:00-03:00,0.5,MAR DE AJÓ
2024-04-06 18:01:00-03:00,0.94,MAR DE AJÓ
2024-04-07 00:27:00-03:00,0.41,MAR DE AJÓ
2024-04-07 06:53:00-03:00,1.57,MAR DE AJÓ
2024-04-07 14:12:00-03:00,0.47,MAR DE AJÓ
2024-04-07 18:57:00-03:00,1.01,MAR DE AJÓ
2024-04-08 01:36:00-03:00,0.28,MAR DE AJÓ
2024-04-08 07:51:00-03:00,1.58,MAR DE AJÓ
2024-04-08 15:08:00-03:00,0.46,MAR DE AJÓ
2024-04-08 19:50:00-03:00,1.12,MAR DE AJÓ
2024-04-09 02:38:00-03:00,0.17,MAR DE AJÓ
2024-04-09 08:48:00-03:00,1.56,MAR DE AJÓ
2024-04-09 15:58:00-03:00,0.47,MAR DE AJÓ
2024-04-09 20:40:00-03:00,1.26,MAR DE AJÓ
2024-04-10 03:38:00-03:00,0.12,MAR DE AJÓ
2024-04-10 09:49:00-03:00,1.51,MAR DE AJÓ
2024-04-10 16:42:00-03:00,0.51,MAR DE AJÓ
2024-04-10 21:29:00-03:00,1.39,MAR DE AJÓ
2024-04-11 04:38:00-03:00,0.13,MAR DE AJÓ
2024-04-11 11:02:00-03:00,1.44,MAR DE AJÓ
2024-04-11 17:24:00-03:00,0.56,MAR DE AJÓ
2024-04-11 22:17:00-03:00,1.5,MAR DE AJÓ
2024-04-12 05:40:00-03:00,0.19,MAR DE AJÓ
2024-04-12 12:29:00-03:00,1.36,MAR DE AJÓ
2024-04-12 18:03:00-03:00,0.62,MAR DE AJÓ
2024-04-12 23:05:00-03:00,1.56,MAR DE AJÓ
2024-04-13 06:45:00-03:00,0.29,MAR DE AJÓ
2024-04-13 13:35:00-03:00,1.27,MAR DE AJÓ
2024-04-13 18:39:00-03:00,0.67,MAR DE AJÓ
2024-04-13 23:55:00-03:00,1.58,MAR DE AJÓ
2024-04-14 07:52:00-03:00,0.4,MAR DE AJÓ
2024-04-14 14:31:00-03:00,1.17,MAR DE AJÓ
2024-04-14 19:14:00-03:00,0.71,MAR DE AJÓ
2024-04-15 00:53:00-03:00,1.54,MAR DE AJÓ
2024-04-15 09:01:00-03:00,0.5,MAR DE AJÓ
2024-04-15 15:23:00-03:00,1.07,MAR DE AJÓ
2024-04-15 19:49:00-03:00,0.73,MAR DE AJÓ
2024-04-16 02:22:00-03:00,1.48,MAR DE AJÓ
2024-04-16 10:13:00-03:00,0.57,MAR DE AJÓ
2024-04-16 16:13:00-03:00,0.97,MAR DE AJÓ
2024-04-16 20:28:00-03:00,0.74,MAR DE AJÓ
2024-04-17 03:56:00-03:00,1.42,MAR DE AJÓ
2024-04-17 11:31:00-03:00,0.61,MAR DE AJÓ
2024-04-17 17:02:00-03:00,0.9,MAR DE AJÓ
2024-04-17 21:18:00-03:00,0.73,MAR DE AJÓ
2024-04-18 05:07:00-03:00,1.36,MAR DE AJÓ
2024-04-18 12:54:00-03:00,0.62,MAR DE AJÓ
2024-04-18 17:52:00-03:00,0.86,MAR DE AJÓ
2024-04-18 22:28:00-03:00,0.7,MAR DE AJÓ
2024-04-19 06:07:00-03:00,1.31,MAR DE AJÓ
2024-04-19 13:57:00-03:00,0.62,MAR DE AJÓ
2024-04-19 18:40:00-03:00,0.85,MAR DE AJÓ
2024-04-19 23:42:00-03:00,0.66,MAR DE AJÓ
2024-04-20 06:58:00-03:00,1.27,MAR DE AJÓ
