datetime,height,port
2024-06-01 03:22:00-03:00,1.45,MAR DE AJÓ
2024-06-01 10:29:00-03:00,0.51,MAR DE AJÓ
2024-06-01 15:15:00-03:00,0.92,MAR DE AJÓ
2024-06-01 21:41:00-03:00,0.43,MAR DE AJÓ
2024-06-02 04:39:00-03:00,1.44,MAR DE AJÓ
2024-06-02 11:23:00-03:00,0.54,MAR DE AJÓ
2024-06-02 16:28:00-03:00,1.01,MAR DE AJÓ
2024-06-02 23:02:00-03:00,0.4,MAR DE AJÓ
2024-06-03 05:39:00-03:00,1.43,MAR DE AJÓ
2024-06-03 12:17:00-03:00,0.58,MAR DE AJÓ
2024-06-03 17:30:00-03:00,1.14,MAR DE AJÓ
2024-06-04 00:17:00-03:00,0.37,MAR DE AJÓ
2024-06-04 06:33:00-03:00,1.4,MAR DE AJÓ
2024-06-04 13:09:00-03:00,0.62,MAR DE AJÓ
2024-06-04 18:25:00-03:00,1.29,MAR DE AJÓ
2024-06-05 01:27:00-03:00,0.36,MAR DE AJÓ
2024-06-05 07:25:00-03:00,1.35,MAR DE AJÓ
2024-06-05 13:59:00-03:00,0.66,MAR DE AJÓ
2024-06-05 19:16:00-03:00,1.43,MAR DE AJÓ
2024-06-06 02:35:00-03:00,0.36,MAR DE AJÓ
2024-06-06 08:17:00-03:00,1.29,MAR DE AJÓ
2024-06-06 14:45:00-03:00,0.68,MAR DE AJÓ
2024-06-06 20:04:00-03:00,1.55,MAR DE AJÓ
2024-06-07 03:41:00-03:00,0.38,MAR DE AJÓ
2024-06-07 09:11:00-03:00,1.21,MAR DE AJÓ
2024-06-07 15:27:00-03:00,0.68,MAR DE AJÓ
2024-06-07 20:50:00-03:00,1.63,MAR DE AJÓ
2024-06-08 04:45:00-03:00,0.41,MAR DE AJÓ
2024-06-08 10:47:00-03:00,1.12,MAR DE AJÓ
2024-06-08 16:04:00-03:00,0.67,MAR DE AJÓ
2024-06-08 21:35:00-03:00,1.66,MAR DE AJÓ
2024-06-09 05:47:00-03:00,0.45,MAR DE AJÓ
2024-06-09 12:05:00-03:00,1.04,MAR DE AJÓ
