datetime,height,port
2024-07-01 04:37:00-03:00,1.37,MAR DE AJÓ
2024-07-01 10:51:00-03:00,0.58,MAR DE AJÓ
2024-07-01 16:12:00-03:00,1.15,MAR DE AJÓ
2024-07-01 23:04:00-03:00,0.4,MAR DE AJÓ
2024-07-02 05:32:00-03:00,1.32,MAR DE AJÓ
2024-07-02 11:41:00-03:00,0.64,MAR DE AJÓ
2024-07-02 17:14:00-03:00,1.27,MAR DE AJÓ
2024-07-03 00:19:00-03:00,0.42,MAR DE AJÓ
2024-07-03 06:23:00-03:00,1.25,MAR DE AJÓ
2024-07-03 12:31:00-03:00,0.69,MAR DE AJÓ
2024-07-03 18:11:00-03:00,1.39,MAR DE AJÓ
2024-07-04 01:35:00-03:00,0.44,MAR DE AJÓ
2024-07-04 07:13:00-03:00,1.18,MAR DE AJÓ
2024-07-04 13:22:00-03:00,0.71,MAR DE AJÓ
2024-07-04 19:02:00-03:00,1.49,MAR DE AJÓ
2024-07-05 02:48:00-03:00,0.46,MAR DE AJÓ
2024-07-05 08:04:00-03:00,1.09,MAR DE AJÓ
2024-07-05 14:10:00-03:00,0.7,MAR DE AJÓ
2024-07-05 19:51:00-03:00,1.55,MAR DE AJÓ
2024-07-06 03:55:00-03:00,0.47,MAR DE AJÓ
2024-07-06 09:04:00-03:00,1.01,MAR DE AJÓ
2024-07-06 14:54:00-03:00,0.67,MAR DE AJÓ
2024-07-06 20:37:00-03:00,1.57,MAR DE AJÓ
2024-07-07 04:55:00-03:00,0.47,MAR DE AJÓ
2024-07-07 11:04:00-03:00,0.94,MAR DE AJÓ
2024-07-07 15:32:00-03:00,0.62,MAR DE AJÓ
2024-07-07 21:21:00-03:00,1.55,MAR DE AJÓ
2024-07-08 05:49:00-03:00,0.48,MAR DE AJÓ
2024-07-08 11:50:00-03:00,0.88,MAR DE AJÓ
2024-07-08 16:07:00-03:00,0.56,MAR DE AJÓ
2024-07-08 22:03:00-03:00,1.49,MAR DE AJÓ
2024-07-09 06:37:00-03:00,0.48,MAR DE AJÓ
2024-07-09 12:26:00-03:00,0.84,MAR DE AJÓ
2024-07-09 16:41:00-03:00,0.51,MAR DE AJÓ
2024-07-09 22:46:00-03:00,1.41,MAR DE AJÓ
2024-07-10 07:20:00-03:00,0.49,MAR DE AJÓ
2024-07-10 12:57:00-03:00,0.81,MAR DE AJÓ
2024-07-10 17:17:00-03:00,0.47,MAR DE AJÓ
2024-07-10 23:32:00-03:00,1.33,MAR DE AJÓ
2024-07-11 07:59:00-03:00,0.51,MAR DE AJÓ
2024-07-11 13:22:00-03:00,0.81,MAR DE AJÓ
2024-07-11 17:55:00-03:00,0.45,MAR DE AJÓ
2024-07-12 00:26:00-03:00,1.25,MAR DE AJÓ
2024-07-12 08:32:00-03:00,0.54,MAR DE AJÓ
2024-07-12 13:41:00-03:00,0.82,MAR DE AJÓ
2024-07-12 18:38:00-03:00,0.46,MAR DE AJÓ
2024-07-13 02:23:00-03:00,1.2,MAR DE AJÓ
2024-07-13 09:00:00-03:00,0.58,MAR DE AJÓ
2024-07-13 14:10:00-03:00,0.87,MAR DE AJÓ
2024-07-13 19:25:00-03:00,0.5,MAR DE AJÓ
2024-07-14 03:13:00-03:00,1.18,MAR DE AJÓ
2024-07-14 09:25:00-03:00,0.63,MAR DE AJÓ
2024-07-14 14:54:00-03:00,0.93,MAR DE AJÓ
2024-07-14 20:21:00-03:00,0.55,MAR DE AJÓ
2024-07-15 03:52:00-03:00,1.16,MAR DE AJÓ
2024-07-15 09:48:00-03:00,0.69,MAR DE AJÓ
2024-07-15 15:39:00-03:00,1.01,MAR DE AJÓ
2024-07-15 21:23:00-03:00,0.6,MAR DE AJÓ
2024-07-16 04:26:00-03:00,1.14,MAR DE AJÓ
2024-07-16 10:16:00-03:00,0.74,MAR DE AJÓ
2024-07-16 16:23:00-03:00,1.11,MAR DE AJÓ
2024-07-16 22:29:00-03:00,0.63,MAR DE AJÓ
2024-07-17 04:58:00-03:00,1.13,MAR DE AJÓ
2024-07-17 10:50:00-03:00,0.78,MAR DE AJÓ
2024-07-17 17:07:00-03:00,1.21,MAR DE AJÓ
2024-07-17 23:32:00-03:00,0.64,MAR DE AJÓ
2024-07-18 05:32:00-03:00,1.1,MAR DE AJÓ
2024-07-18 11:30:00-03:00,0.79,MAR DE AJÓ
2024-07-18 17:51:00-03:00,1.33,MAR DE AJÓ
2024-07-19 00:33:00-03:00,0.63,MAR DE AJÓ
2024-07-19 06:08:00-03:00,1.06,MAR DE AJÓ
2024-07-19 12:15:00-03:00,0.77,MAR DE AJÓ
2024-07-19 18:34:00-03:00,1.44,MAR DE AJÓ
2024-07-20 01:34:00-03:00,0.59,MAR DE AJÓ
2024-07-20 06:48:00-03:00,1.02,MAR DE AJÓ
2024-07-20 13:05:00-03:00,0.71,MAR DE AJÓ
2024-07-20 19:19:00-03:00,1.53,MAR DE AJÓ
2024-07-21 02:36:00-03:00,0.54,MAR DE AJÓ
2024-07-21 07:31:00-03:00,0.97,MAR DE AJÓ
2024-07-21 13:55:00-03:00,0.62,MAR DE AJÓ
