datetime,height,port
2024-11-01 05:44:00-03:00,2.89,MONTE HERMOSO
2024-11-01 12:08:00-03:00,0.82,MONTE HERMOSO
2024-11-01 18:30:00-03:00,2.89,MONTE HERMOSO
2024-11-02 00:27:00-03:00,1.19,MONTE HERMOSO
2024-11-02 06:26:00-03:00,2.94,MONTE HERMOSO
2024-11-02 12:52:00-03:00,0.69,MONTE HERMOSO
2024-11-02 19:17:00-03:00,2.94,MONTE HERMOSO
2024-11-03 01:09:00-03:00,1.21,MONTE HERMOSO
2024-11-03 07:03:00-03:00,3.0,MONTE HERMOSO
2024-11-03 13:32:00-03:00,0.58,MONTE HERMOSO
2024-11-03 19:59:00-03:00,2.98,MONTE HERMOSO
2024-11-04 01:47:00-03:00,1.23,MONTE HERMOSO
2024-11-04 07:39:00-03:00,3.06,MONTE HERMOSO
2024-11-04 14:10:00-03:00,0.49,MONTE HERMOSO
2024-11-04 20:37:00-03:00,3.0,MONTE HERMOSO
2024-11-05 02:22:00-03:00,1.23,MONTE HERMOSO
2024-11-05 08:13:00-03:00,3.12,MONTE HERMOSO
2024-11-05 14:46:00-03:00,0.43,MONTE HERMOSO
2024-11-05 21:13:00-03:00,3.0,MONTE HERMOSO
2024-11-06 02:56:00-03:00,1.22,MONTE HERMOSO
2024-11-06 08:49:00-03:00,3.16,MONTE HERMOSO
2024-11-06 15:22:00-03:00,0.41,MONTE HERMOSO
2024-11-06 21:48:00-03:00,3.0,MONTE HERMOSO
2024-11-07 03:32:00-03:00,1.2,MONTE HERMOSO
2024-11-07 09:26:00-03:00,3.18,MONTE HERMOSO
2024-11-07 16:00:00-03:00,0.42,MONTE HERMOSO
2024-11-07 22:25:00-03:00,3.0,MONTE HERMOSO
2024-11-08 04:11:00-03:00,1.17,MONTE HERMOSO
2024-11-08 10:07:00-03:00,3.17,MONTE HERMOSO
2024-11-08 16:40:00-03:00,0.47,MONTE HERMOSO
2024-11-08 23:05:00-03:00,2.99,MONTE HERMOSO
2024-11-09 04:53:00-03:00,1.15,MONTE HERMOSO
2024-11-09 10:52:00-03:00,3.13,MONTE HERMOSO
2024-11-09 17:23:00-03:00,0.55,MONTE HERMOSO
2024-11-09 23:47:00-03:00,2.98,MONTE HERMOSO
2024-11-10 05:41:00-03:00,1.12,MONTE HERMOSO
2024-11-10 11:43:00-03:00,3.07,MONTE HERMOSO
2024-11-10 18:11:00-03:00,0.65,MONTE HERMOSO
2024-11-11 00:35:00-03:00,2.97,MONTE HERMOSO
2024-11-11 06:36:00-03:00,1.08,MONTE HERMOSO
2024-11-11 12:40:00-03:00,2.99,MONTE HERMOSO
2024-11-11 19:04:00-03:00,0.77,MONTE HERMOSO
2024-11-12 01:27:00-03:00,2.98,MONTE HERMOSO
2024-11-12 07:36:00-03:00,1.02,MONTE HERMOSO
2024-11-12 13:45:00-03:00,2.93,MONTE HERMOSO
2024-11-12 20:02:00-03:00,0.87,MONTE HERMOSO
2024-11-13 02:23:00-03:00,3.01,MONTE HERMOSO
2024-11-13 08:41:00-03:00,0.91,MONTE HERMOSO
2024-11-13 14:54:00-03:00,2.92,MONTE HERMOSO
2024-11-13 21:04:00-03:00,0.94,MONTE HERMOSO
2024-11-14 03:21:00-03:00,3.07,MONTE HERMOSO
2024-11-14 09:45:00-03:00,0.77,MONTE HERMOSO
2024-11-14 16:03:00-03:00,2.96,MONTE HERMOSO
2024-11-14 22:07:00-03:00,0.97,MONTE HERMOSO
2024-11-15 04:18:00-03:00,3.16,MONTE HERMOSO
2024-11-15 10:47:00-03:00,0.58,MONTE HERMOSO
2024-11-15 17:08:00-03:00,3.05,MONTE HERMOSO
2024-11-15 23:07:00-03:00,0.97,MONTE HERMOSO
2024-11-16 05:14:00-03:00,3.27,MONTE HERMOSO
2024-11-16 11:44:00-03:00,0.4,MONTE HERMOSO
2024-11-16 18:08:00-03:00,3.16,MONTE HERMOSO
2024-11-17 00:03:00-03:00,0.94,MONTE HERMOSO
2024-11-17 06:06:00-03:00,3.37,MONTE HERMOSO
2024-11-17 12:38:00-03:00,0.23,MONTE HERMOSO
2024-11-17 19:03:00-03:00,3.26,MONTE HERMOSO
2024-11-18 00:56:00-03:00,0.91,MONTE HERMOSO
2024-11-18 06:57:00-03:00,3.45,MONTE HERMOSO
2024-11-18 13:28:00-03:00,0.1,MONTE HERMOSO
2024-11-18 19:55:00-03:00,3.34,MONTE HERMOSO
2024-11-19 01:47:00-03:00,0.88,MONTE HERMOSO
2024-11-19 07:46:00-03:00,3.5,MONTE HERMOSO
2024-11-19 14:17:00-03:00,0.03,MONTE HERMOSO
2024-11-19 20:44:00-03:00,3.39,MONTE HERMOSO
2024-11-20 02:36:00-03:00,0.88,MONTE HERMOSO
2024-11-20 08:34:00-03:00,3.5,MONTE HERMOSO
2024-11-20 15:05:00-03:00,0.02,MONTE HERMOSO
2024-11-20 21:32:00-03:00,3.38,MONTE HERMOSO
2024-11-21 03:25:00-03:00,0.89,MONTE HERMOSO
2024-11-21 09:22:00-03:00,3.46,MONTE HERMOSO
2024-11-21 15:52:00-03:00,0.08,MONTE HERMOSO
2024-11-21 22:19:00-03:00,3.34,MONTE HERMOSO
2024-11-22 04:13:00-03:00,0.92,MONTE HERMOSO
2024-11-22 10:10:00-03:00,3.37,MONTE HERMOSO
2024-11-22 16:40:00-03:00,0.21,MONTE HERMOSO
2024-11-22 23:07:00-03:00,3.27,MONTE HERMOSO
2024-11-23 05:03:00-03:00,0.97,MONTE HERMOSO
2024-11-23 11:01:00-03:00,3.25,MONTE HERMOSO
2024-11-23 17:28:00-03:00,0.38,MONTE HERMOSO
2024-11-23 23:55:00-03:00,3.18,MONTE HERMOSO
2024-11-24 05:55:00-03:00,1.01,MONTE HERMOSO
2024-11-24 11:54:00-03:00,3.1,MONTE HERMOSO
2024-11-24 18:18:00-03:00,0.57,MONTE HERMOSO
2024-11-25 00:45:00-03:00,3.08,MONTE HERMOSO
2024-11-25 06:50:00-03:00,1.04,MONTE HERMOSO
2024-11-25 12:51:00-03:00,2.95,MONTE HERMOSO
2024-11-25 19:11:00-03:00,0.78,MONTE HERMOSO
2024-11-26 01:35:00-03:00,2.99,MONTE HERMOSO
2024-11-26 07:47:00-03:00,1.05,MONTE HERMOSO
2024-11-26 13:52:00-03:00,2.82,MONTE HERMOSO
2024-11-26 20:05:00-03:00,0.98,MONTE HERMOSO
2024-11-27 02:26:00-03:00,2.92,MONTE HERMOSO
2024-11-27 08:46:00-03:00,1.03,MONTE HERMOSO
2024-11-27 14:57:00-03:00,2.74,MONTE HERMOSO
2024-11-27 21:02:00-03:00,1.15,MONTE HERMOSO
2024-11-28 03:16:00-03:00,2.88,MONTE HERMOSO
2024-11-28 09:44:00-03:00,0.97,MONTE HERMOSO
2024-11-28 16:02:00-03:00,2.7,MONTE HERMOSO
2024-11-28 21:58:00-03:00,1.27,MONTE HERMOSO
2024-11-29 04:05:00-03:00,2.87,MONTE HERMOSO
2024-11-29 10:39:00-03:00,0.88,MONTE HERMOSO
2024-11-29 17:03:00-03:00,2.7,MONTE HERMOSO
2024-11-29 22:51:00-03:00,1.36,MONTE HERMOSO
2024-11-30 04:51:00-03:00,2.88,MONTE HERMOSO
2024-11-30 11:29:00-03:00,0.78,MONTE HERMOSO
2024-11-30 17:58:00-03:00,2.74,MONTE HERMOSO
2024-11-30 23:40:00-03:00,1.41,MONTE HERMOSO
