datetime,height,port
2024-02-01 04:38:00-03:00,0.88,MONTE HERMOSO
2024-02-01 10:43:00-03:00,3.02,MONTE HERMOSO
2024-02-01 16:52:00-03:00,0.82,MONTE HERMOSO
2024-02-01 23:04:00-03:00,3.09,MONTE HERMOSO
2024-02-02 05:17:00-03:00,0.83,MONTE HERMOSO
2024-02-02 11:24:00-03:00,2.94,MONTE HERMOSO
2024-02-02 17:26:00-03:00,0.94,MONTE HERMOSO
2024-02-02 23:36:00-03:00,3.08,MONTE HERMOSO
2024-02-03 05:56:00-03:00,0.79,MONTE HERMOSO
2024-02-03 12:06:00-03:00,2.85,MONTE HERMOSO
2024-02-03 18:00:00-03:00,1.06,MONTE HERMOSO
2024-02-04 00:09:00-03:00,3.08,MONTE HERMOSO
2024-02-04 06:37:00-03:00,0.77,MONTE HERMOSO
2024-02-04 12:49:00-03:00,2.76,MONTE HERMOSO
2024-02-04 18:36:00-03:00,1.18,MONTE HERMOSO
2024-02-05 00:46:00-03:00,3.07,MONTE HERMOSO
2024-02-05 07:21:00-03:00,0.77,MONTE HERMOSO
2024-02-05 13:37:00-03:00,2.67,MONTE HERMOSO
2024-02-05 19:17:00-03:00,1.28,MONTE HERMOSO
2024-02-06 01:28:00-03:00,3.06,MONTE HERMOSO
2024-02-06 08:10:00-03:00,0.77,MONTE HERMOSO
2024-02-06 14:30:00-03:00,2.61,MONTE HERMOSO
2024-02-06 20:05:00-03:00,1.36,MONTE HERMOSO
2024-02-07 02:16:00-03:00,3.04,MONTE HERMOSO
2024-02-07 09:05:00-03:00,0.76,MONTE HERMOSO
2024-02-07 15:29:00-03:00,2.58,MONTE HERMOSO
2024-02-07 21:02:00-03:00,1.41,MONTE HERMOSO
2024-02-08 03:12:00-03:00,3.02,MONTE HERMOSO
2024-02-08 10:04:00-03:00,0.74,MONTE HERMOSO
2024-02-08 16:32:00-03:00,2.61,MONTE HERMOSO
2024-02-08 22:06:00-03:00,1.41,MONTE HERMOSO
2024-02-09 04:15:00-03:00,3.03,MONTE HERMOSO
2024-02-09 11:04:00-03:00,0.69,MONTE HERMOSO
2024-02-09 17:33:00-03:00,2.7,MONTE HERMOSO
2024-02-09 23:13:00-03:00,1.33,MONTE HERMOSO
2024-02-10 05:20:00-03:00,3.08,MONTE HERMOSO
2024-02-10 12:03:00-03:00,0.61,MONTE HERMOSO
2024-02-10 18:29:00-03:00,2.84,MONTE HERMOSO
2024-02-11 00:17:00-03:00,1.19,MONTE HERMOSO
2024-02-11 06:22:00-03:00,3.17,MONTE HERMOSO
2024-02-11 12:58:00-03:00,0.52,MONTE HERMOSO
2024-02-11 19:20:00-03:00,3.01,MONTE HERMOSO
2024-02-12 01:15:00-03:00,1.0,MONTE HERMOSO
2024-02-12 07:21:00-03:00,3.27,MONTE HERMOSO
2024-02-12 13:48:00-03:00,0.44,MONTE HERMOSO
2024-02-12 20:08:00-03:00,3.18,MONTE HERMOSO
2024-02-13 02:08:00-03:00,0.79,MONTE HERMOSO
2024-02-13 08:15:00-03:00,3.37,MONTE HERMOSO
2024-02-13 14:36:00-03:00,0.39,MONTE HERMOSO
2024-02-13 20:53:00-03:00,3.33,MONTE HERMOSO
2024-02-14 02:58:00-03:00,0.6,MONTE HERMOSO
2024-02-14 09:07:00-03:00,3.44,MONTE HERMOSO
2024-02-14 15:22:00-03:00,0.37,MONTE HERMOSO
2024-02-14 21:36:00-03:00,3.45,MONTE HERMOSO
2024-02-15 03:46:00-03:00,0.44,MONTE HERMOSO
2024-02-15 09:57:00-03:00,3.47,MONTE HERMOSO
2024-02-15 16:07:00-03:00,0.4,MONTE HERMOSO
2024-02-15 22:19:00-03:00,3.53,MONTE HERMOSO
2024-02-16 04:34:00-03:00,0.33,MONTE HERMOSO
2024-02-16 10:46:00-03:00,3.44,MONTE HERMOSO
2024-02-16 16:52:00-03:00,0.48,MONTE HERMOSO
2024-02-16 23:03:00-03:00,3.55,MONTE HERMOSO
2024-02-17 05:22:00-03:00,0.28,MONTE HERMOSO
2024-02-17 11:36:00-03:00,3.36,MONTE HERMOSO
2024-02-17 17:38:00-03:00,0.61,MONTE HERMOSO
2024-02-17 23:48:00-03:00,3.52,MONTE HERMOSO
2024-02-18 06:12:00-03:00,0.29,MONTE HERMOSO
2024-02-18 12:28:00-03:00,3.24,MONTE HERMOSO
2024-02-18 18:25:00-03:00,0.77,MONTE HERMOSO
2024-02-19 00:34:00-03:00,3.44,MONTE HERMOSO
2024-02-19 07:04:00-03:00,0.35,MONTE HERMOSO
2024-02-19 13:23:00-03:00,3.1,MONTE HERMOSO
2024-02-19 19:16:00-03:00,0.96,MONTE HERMOSO
2024-02-20 01:24:00-03:00,3.33,MONTE HERMOSO
2024-02-20 07:59:00-03:00,0.44,MONTE HERMOSO
2024-02-20 14:23:00-03:00,2.95,MONTE HERMOSO
2024-02-20 20:12:00-03:00,1.13,MONTE HERMOSO
2024-02-21 02:19:00-03:00,3.2,MONTE HERMOSO
2024-02-21 09:00:00-03:00,0.54,MONTE HERMOSO
2024-02-21 15:28:00-03:00,2.84,MONTE HERMOSO
2024-02-21 21:14:00-03:00,1.27,MONTE HERMOSO
2024-02-22 03:20:00-03:00,3.09,MONTE HERMOSO
2024-02-22 10:04:00-03:00,0.62,MONTE HERMOSO
2024-02-22 16:36:00-03:00,2.79,MONTE HERMOSO
2024-02-22 22:22:00-03:00,1.33,MONTE HERMOSO
2024-02-23 04:26:00-03:00,3.01,MONTE HERMOSO
2024-02-23 11:10:00-03:00,0.66,MONTE HERMOSO
2024-02-23 17:42:00-03:00,2.8,MONTE HERMOSO
2024-02-23 23:30:00-03:00,1.32,MONTE HERMOSO
2024-02-24 05:32:00-03:00,2.99,MONTE HERMOSO
2024-02-24 12:11:00-03:00,0.67,MONTE HERMOSO
2024-02-24 18:40:00-03:00,2.85,MONTE HERMOSO
2024-02-25 00:32:00-03:00,1.24,MONTE HERMOSO
2024-02-25 06:34:00-03:00,3.01,MONTE HERMOSO
2024-02-25 13:06:00-03:00,0.67,MONTE HERMOSO
2024-02-25 19:30:00-03:00,2.92,MONTE HERMOSO
2024-02-26 01:25:00-03:00,1.12,MONTE HERMOSO
2024-02-26 07:28:00-03:00,3.05,MONTE HERMOSO
2024-02-26 13:53:00-03:00,0.68,MONTE HERMOSO
2024-02-26 20:12:00-03:00,2.98,MONTE HERMOSO
2024-02-27 02:12:00-03:00,0.99,MONTE HERMOSO
2024-02-27 08:17:00-03:00,3.09,MONTE HERMOSO
2024-02-27 14:35:00-03:00,0.72,MONTE HERMOSO
2024-02-27 20:49:00-03:00,3.03,MONTE HERMOSO
2024-02-28 02:53:00-03:00,0.87,MONTE HERMOSO
2024-02-28 09:00:00-03:00,3.1,MONTE HERMOSO
2024-02-28 15:12:00-03:00,0.77,MONTE HERMOSO
2024-02-28 21:22:00-03:00,3.07,MONTE HERMOSO
2024-02-29 03:30:00-03:00,0.77,MONTE HERMOSO
2024-02-29 09:40:00-03:00,3.1,MONTE HERMOSO
2024-02-29 15:46:00-03:00,0.84,MONTE HERMOSO
2024-02-29 21:52:00-03:00,3.11,MONTE HERMOSO
