datetime,height,port
2024-03-01 04:06:00-03:00,0.69,MONTE HERMOSO
2024-03-01 10:18:00-03:00,3.06,MONTE HERMOSO
2024-03-01 16:18:00-03:00,0.92,MONTE HERMOSO
2024-03-01 22:23:00-03:00,3.14,MONTE HERMOSO
2024-03-02 04:42:00-03:00,0.63,MONTE HERMOSO
2024-03-02 10:56:00-03:00,3.01,MONTE HERMOSO
2024-03-02 16:50:00-03:00,1.0,MONTE HERMOSO
2024-03-02 22:54:00-03:00,3.17,MONTE HERMOSO
2024-03-03 05:19:00-03:00,0.61,MONTE HERMOSO
2024-03-03 11:34:00-03:00,2.93,MONTE HERMOSO
2024-03-03 17:23:00-03:00,1.08,MONTE HERMOSO
2024-03-03 23:28:00-03:00,3.17,MONTE HERMOSO
2024-03-04 05:58:00-03:00,0.61,MONTE HERMOSO
2024-03-04 12:15:00-03:00,2.85,MONTE HERMOSO
2024-03-04 18:00:00-03:00,1.15,MONTE HERMOSO
2024-03-05 00:06:00-03:00,3.15,MONTE HERMOSO
2024-03-05 06:42:00-03:00,0.65,MONTE HERMOSO
2024-03-05 13:00:00-03:00,2.76,MONTE HERMOSO
2024-03-05 18:42:00-03:00,1.23,MONTE HERMOSO
2024-03-06 00:51:00-03:00,3.11,MONTE HERMOSO
2024-03-06 07:31:00-03:00,0.7,MONTE HERMOSO
2024-03-06 13:52:00-03:00,2.69,MONTE HERMOSO
2024-03-06 19:33:00-03:00,1.3,MONTE HERMOSO
2024-03-07 01:43:00-03:00,3.05,MONTE HERMOSO
2024-03-07 08:28:00-03:00,0.76,MONTE HERMOSO
2024-03-07 14:51:00-03:00,2.65,MONTE HERMOSO
2024-03-07 20:34:00-03:00,1.33,MONTE HERMOSO
2024-03-08 02:45:00-03:00,3.0,MONTE HERMOSO
2024-03-08 09:30:00-03:00,0.79,MONTE HERMOSO
2024-03-08 15:56:00-03:00,2.68,MONTE HERMOSO
2024-03-08 21:44:00-03:00,1.3,MONTE HERMOSO
2024-03-09 03:55:00-03:00,2.99,MONTE HERMOSO
2024-03-09 10:36:00-03:00,0.78,MONTE HERMOSO
2024-03-09 17:01:00-03:00,2.77,MONTE HERMOSO
2024-03-09 22:55:00-03:00,1.19,MONTE HERMOSO
2024-03-10 05:06:00-03:00,3.05,MONTE HERMOSO
2024-03-10 11:39:00-03:00,0.72,MONTE HERMOSO
2024-03-10 18:00:00-03:00,2.91,MONTE HERMOSO
2024-03-11 00:00:00-03:00,1.0,MONTE HERMOSO
2024-03-11 06:11:00-03:00,3.16,MONTE HERMOSO
2024-03-11 12:36:00-03:00,0.64,MONTE HERMOSO
2024-03-11 18:52:00-03:00,3.09,MONTE HERMOSO
2024-03-12 00:58:00-03:00,0.77,MONTE HERMOSO
2024-03-12 07:10:00-03:00,3.29,MONTE HERMOSO
2024-03-12 13:28:00-03:00,0.56,MONTE HERMOSO
2024-03-12 19:40:00-03:00,3.27,MONTE HERMOSO
2024-03-13 01:50:00-03:00,0.55,MONTE HERMOSO
2024-03-13 08:04:00-03:00,3.41,MONTE HERMOSO
2024-03-13 14:16:00-03:00,0.5,MONTE HERMOSO
2024-03-13 20:26:00-03:00,3.42,MONTE HERMOSO
2024-03-14 02:39:00-03:00,0.35,MONTE HERMOSO
2024-03-14 08:54:00-03:00,3.49,MONTE HERMOSO
2024-03-14 15:02:00-03:00,0.48,MONTE HERMOSO
2024-03-14 21:09:00-03:00,3.53,MONTE HERMOSO
2024-03-15 03:26:00-03:00,0.21,MONTE HERMOSO
2024-03-15 09:42:00-03:00,3.52,MONTE HERMOSO
2024-03-15 15:46:00-03:00,0.51,MONTE HERMOSO
2024-03-15 21:52:00-03:00,3.58,MONTE HERMOSO
2024-03-16 04:12:00-03:00,0.14,MONTE HERMOSO
2024-03-16 10:29:00-03:00,3.48,MONTE HERMOSO
2024-03-16 16:30:00-03:00,0.6,MONTE HERMOSO
2024-03-16 22:35:00-03:00,3.57,MONTE HERMOSO
2024-03-17 04:58:00-03:00,0.14,MONTE HERMOSO
2024-03-17 11:17:00-03:00,3.39,MONTE HERMOSO
2024-03-17 17:15:00-03:00,0.72,MONTE HERMOSO
2024-03-17 23:19:00-03:00,3.5,MONTE HERMOSO
2024-03-18 05:46:00-03:00,0.22,MONTE HERMOSO
2024-03-18 12:07:00-03:00,3.25,MONTE HERMOSO
2024-03-18 18:02:00-03:00,0.88,MONTE HERMOSO
2024-03-19 00:06:00-03:00,3.38,MONTE HERMOSO
2024-03-19 06:37:00-03:00,0.34,MONTE HERMOSO
2024-03-19 13:00:00-03:00,3.08,MONTE HERMOSO
2024-03-19 18:52:00-03:00,1.05,MONTE HERMOSO
2024-03-20 00:56:00-03:00,3.23,MONTE HERMOSO
2024-03-20 07:31:00-03:00,0.5,MONTE HERMOSO
2024-03-20 13:58:00-03:00,2.93,MONTE HERMOSO
2024-03-20 19:48:00-03:00,1.2,MONTE HERMOSO
2024-03-21 01:53:00-03:00,3.07,MONTE HERMOSO
2024-03-21 08:32:00-03:00,0.66,MONTE HERMOSO
2024-03-21 15:01:00-03:00,2.8,MONTE HERMOSO
2024-03-21 20:53:00-03:00,1.3,MONTE HERMOSO
2024-03-22 02:57:00-03:00,2.93,MONTE HERMOSO
2024-03-22 09:37:00-03:00,0.79,MONTE HERMOSO
2024-03-22 16:08:00-03:00,2.74,MONTE HERMOSO
2024-03-22 22:03:00-03:00,1.33,MONTE HERMOSO
2024-03-23 04:08:00-03:00,2.86,MONTE HERMOSO
2024-03-23 10:44:00-03:00,0.87,MONTE HERMOSO
2024-03-23 17:12:00-03:00,2.75,MONTE HERMOSO
2024-03-23 23:11:00-03:00,1.27,MONTE HERMOSO
2024-03-24 05:17:00-03:00,2.86,MONTE HERMOSO
2024-03-24 11:46:00-03:00,0.9,MONTE HERMOSO
2024-03-24 18:08:00-03:00,2.8,MONTE HERMOSO
2024-03-25 00:10:00-03:00,1.15,MONTE HERMOSO
2024-03-25 06:19:00-03:00,2.91,MONTE HERMOSO
2024-03-25 12:40:00-03:00,0.91,MONTE HERMOSO
2024-03-25 18:54:00-03:00,2.86,MONTE HERMOSO
2024-03-26 01:00:00-03:00,1.0,MONTE HERMOSO
2024-03-26 07:12:00-03:00,2.98,MONTE HERMOSO
