datetime,height,port
2024-04-01 04:45:00-03:00,0.46,MONTE HERMOSO
2024-04-01 11:05:00-03:00,3.0,MONTE HERMOSO
2024-04-01 16:52:00-03:00,1.09,MONTE HERMOSO
2024-04-01 22:53:00-03:00,3.22,MONTE HERMOSO
2024-04-02 05:25:00-03:00,0.49,MONTE HERMOSO
2024-04-02 11:46:00-03:00,2.94,MONTE HERMOSO
2024-04-02 17:32:00-03:00,1.13,MONTE HERMOSO
2024-04-02 23:35:00-03:00,3.19,MONTE HERMOSO
2024-04-03 06:09:00-03:00,0.56,MONTE HERMOSO
2024-04-03 12:31:00-03:00,2.87,MONTE HERMOSO
2024-04-03 18:18:00-03:00,1.17,MONTE HERMOSO
2024-04-04 00:24:00-03:00,3.12,MONTE HERMOSO
2024-04-04 07:00:00-03:00,0.65,MONTE HERMOSO
2024-04-04 13:23:00-03:00,2.82,MONTE HERMOSO
2024-04-04 19:13:00-03:00,1.2,MONTE HERMOSO
2024-04-05 01:21:00-03:00,3.04,MONTE HERMOSO
2024-04-05 07:57:00-03:00,0.75,MONTE HERMOSO
2024-04-05 14:21:00-03:00,2.79,MONTE HERMOSO
2024-04-05 20:17:00-03:00,1.2,MONTE HERMOSO
2024-04-06 02:28:00-03:00,2.97,MONTE HERMOSO
2024-04-06 09:01:00-03:00,0.82,MONTE HERMOSO
2024-04-06 15:25:00-03:00,2.82,MONTE HERMOSO
2024-04-06 21:28:00-03:00,1.13,MONTE HERMOSO
2024-04-07 03:41:00-03:00,2.97,MONTE HERMOSO
2024-04-07 10:08:00-03:00,0.85,MONTE HERMOSO
2024-04-07 16:28:00-03:00,2.91,MONTE HERMOSO
2024-04-07 22:38:00-03:00,0.98,MONTE HERMOSO
2024-04-08 04:53:00-03:00,3.03,MONTE HERMOSO
2024-04-08 11:12:00-03:00,0.82,MONTE HERMOSO
2024-04-08 17:27:00-03:00,3.04,MONTE HERMOSO
2024-04-08 23:41:00-03:00,0.77,MONTE HERMOSO
2024-04-09 05:58:00-03:00,3.16,MONTE HERMOSO
2024-04-09 12:11:00-03:00,0.76,MONTE HERMOSO
2024-04-09 18:21:00-03:00,3.2,MONTE HERMOSO
2024-04-10 00:38:00-03:00,0.54,MONTE HERMOSO
2024-04-10 06:56:00-03:00,3.29,MONTE HERMOSO
2024-04-10 13:03:00-03:00,0.69,MONTE HERMOSO
2024-04-10 19:10:00-03:00,3.35,MONTE HERMOSO
2024-04-11 01:29:00-03:00,0.33,MONTE HERMOSO
2024-04-11 07:48:00-03:00,3.41,MONTE HERMOSO
2024-04-11 13:52:00-03:00,0.65,MONTE HERMOSO
2024-04-11 19:56:00-03:00,3.47,MONTE HERMOSO
2024-04-12 02:17:00-03:00,0.16,MONTE HERMOSO
2024-04-12 08:38:00-03:00,3.48,MONTE HERMOSO
2024-04-12 14:38:00-03:00,0.64,MONTE HERMOSO
2024-04-12 20:41:00-03:00,3.54,MONTE HERMOSO
2024-04-13 03:04:00-03:00,0.06,MONTE HERMOSO
2024-04-13 09:25:00-03:00,3.5,MONTE HERMOSO
2024-04-13 15:24:00-03:00,0.68,MONTE HERMOSO
2024-04-13 21:24:00-03:00,3.56,MONTE HERMOSO
2024-04-14 03:49:00-03:00,0.04,MONTE HERMOSO
2024-04-14 10:12:00-03:00,3.45,MONTE HERMOSO
2024-04-14 16:08:00-03:00,0.75,MONTE HERMOSO
2024-04-14 22:08:00-03:00,3.51,MONTE HERMOSO
2024-04-15 04:35:00-03:00,0.1,MONTE HERMOSO
2024-04-15 10:59:00-03:00,3.36,MONTE HERMOSO
2024-04-15 16:54:00-03:00,0.86,MONTE HERMOSO
2024-04-15 22:54:00-03:00,3.41,MONTE HERMOSO
2024-04-16 05:23:00-03:00,0.22,MONTE HERMOSO
2024-04-16 11:48:00-03:00,3.22,MONTE HERMOSO
2024-04-16 17:42:00-03:00,0.99,MONTE HERMOSO
2024-04-16 23:41:00-03:00,3.27,MONTE HERMOSO
2024-04-17 06:12:00-03:00,0.39,MONTE HERMOSO
2024-04-17 12:39:00-03:00,3.07,MONTE HERMOSO
2024-04-17 18:33:00-03:00,1.12,MONTE HERMOSO
2024-04-18 00:33:00-03:00,3.1,MONTE HERMOSO
2024-04-18 07:05:00-03:00,0.59,MONTE HERMOSO
2024-04-18 13:34:00-03:00,2.93,MONTE HERMOSO
2024-04-18 19:30:00-03:00,1.22,MONTE HERMOSO
2024-04-19 01:31:00-03:00,2.94,MONTE HERMOSO
2024-04-19 08:04:00-03:00,0.78,MONTE HERMOSO
2024-04-19 14:33:00-03:00,2.81,MONTE HERMOSO
2024-04-19 20:34:00-03:00,1.27,MONTE HERMOSO
2024-04-20 02:37:00-03:00,2.81,MONTE HERMOSO
2024-04-20 09:07:00-03:00,0.95,MONTE HERMOSO
2024-04-20 15:34:00-03:00,2.75,MONTE HERMOSO
2024-04-20 21:41:00-03:00,1.26,MONTE HERMOSO
2024-04-21 03:48:00-03:00,2.75,MONTE HERMOSO
2024-04-21 10:11:00-03:00,1.06,MONTE HERMOSO
2024-04-21 16:32:00-03:00,2.75,MONTE HERMOSO
2024-04-21 22:44:00-03:00,1.17,MONTE HERMOSO
2024-04-22 04:57:00-03:00,2.75,MONTE HERMOSO
2024-04-22 11:11:00-03:00,1.12,MONTE HERMOSO
2024-04-22 17:24:00-03:00,2.78,MONTE HERMOSO
2024-04-22 23:40:00-03:00,1.03,MONTE HERMOSO
2024-04-23 05:57:00-03:00,2.81,MONTE HERMOSO
2024-04-23 12:03:00-03:00,1.15,MONTE HERMOSO
2024-04-23 18:08:00-03:00,2.84,MONTE HERMOSO
2024-04-24 00:28:00-03:00,0.88,MONTE HERMOSO
2024-04-24 06:48:00-03:00,2.88,MONTE HERMOSO
2024-04-24 12:47:00-03:00,1.17,MONTE HERMOSO
2024-04-24 18:46:00-03:00,2.92,MONTE HERMOSO
2024-04-25 01:09:00-03:00,0.73,MONTE HERMOSO
2024-04-25 07:32:00-03:00,2.95,MONTE HERMOSO
2024-04-25 13:26:00-03:00,1.17,MONTE HERMOSO
2024-04-25 19:22:00-03:00,3.0,MONTE HERMOSO
2024-04-26 01:47:00-03:00,0.6,MONTE HERMOSO
2024-04-26 08:11:00-03:00,3.0,MONTE HERMOSO
2024-04-26 14:01:00-03:00,1.17,MONTE HERMOSO
2024-04-26 19:55:00-03:00,3.09,MONTE HERMOSO
2024-04-27 02:24:00-03:00,0.49,MONTE HERMOSO
2024-04-27 08:48:00-03:00,3.03,MONTE HERMOSO
2024-04-27 14:36:00-03:00,1.15,MONTE HERMOSO
2024-04-27 20:30:00-03:00,3.17,MONTE HERMOSO
2024-04-28 03:00:00-03:00,0.41,MONTE HERMOSO
2024-04-28 09:24:00-03:00,3.05,MONTE HERMOSO
2024-04-28 15:10:00-03:00,1.14,MONTE HERMOSO
2024-04-28 21:06:00-03:00,3.22,MONTE HERMOSO
2024-04-29 03:37:00-03:00,0.37,MONTE HERMOSO
2024-04-29 10:01:00-03:00,3.06,MONTE HERMOSO
2024-04-29 15:47:00-03:00,1.11,MONTE HERMOSO
2024-04-29 21:44:00-03:00,3.25,MONTE HERMOSO
2024-04-30 04:16:00-03:00,0.37,MONTE HERMOSO
2024-04-30 10:40:00-03:00,3.05,MONTE HERMOSO
2024-04-30 16:27:00-03:00,1.1,MONTE HERMOSO
2024-04-30 22:26:00-03:00,3.24,MONTE HERMOSO
