datetime,height,port
2024-06-01 06:15:00-03:00,0.58,MONTE HERMOSO
2024-06-01 12:37:00-03:00,3.17,MONTE HERMOSO
2024-06-01 18:48:00-03:00,0.86,MONTE HERMOSO
2024-06-02 00:54:00-03:00,3.07,MONTE HERMOSO
2024-06-02 07:09:00-03:00,0.7,MONTE HERMOSO
2024-06-02 13:30:00-03:00,3.18,MONTE HERMOSO
2024-06-02 19:48:00-03:00,0.78,MONTE HERMOSO
2024-06-03 01:59:00-03:00,3.02,MONTE HERMOSO
2024-06-03 08:07:00-03:00,0.82,MONTE HERMOSO
2024-06-03 14:25:00-03:00,3.21,MONTE HERMOSO
2024-06-03 20:50:00-03:00,0.68,MONTE HERMOSO
2024-06-04 03:06:00-03:00,3.0,MONTE HERMOSO
2024-06-04 09:08:00-03:00,0.91,MONTE HERMOSO
2024-06-04 15:22:00-03:00,3.24,MONTE HERMOSO
2024-06-04 21:52:00-03:00,0.55,MONTE HERMOSO
2024-06-05 04:13:00-03:00,3.02,MONTE HERMOSO
2024-06-05 10:09:00-03:00,0.98,MONTE HERMOSO
2024-06-05 16:19:00-03:00,3.28,MONTE HERMOSO
2024-06-05 22:52:00-03:00,0.42,MONTE HERMOSO
2024-06-06 05:17:00-03:00,3.08,MONTE HERMOSO
2024-06-06 11:09:00-03:00,1.01,MONTE HERMOSO
2024-06-06 17:14:00-03:00,3.34,MONTE HERMOSO
2024-06-06 23:49:00-03:00,0.29,MONTE HERMOSO
2024-06-07 06:16:00-03:00,3.15,MONTE HERMOSO
2024-06-07 12:07:00-03:00,1.02,MONTE HERMOSO
2024-06-07 18:08:00-03:00,3.38,MONTE HERMOSO
2024-06-08 00:43:00-03:00,0.18,MONTE HERMOSO
2024-06-08 07:12:00-03:00,3.22,MONTE HERMOSO
2024-06-08 13:02:00-03:00,1.01,MONTE HERMOSO
2024-06-08 19:00:00-03:00,3.41,MONTE HERMOSO
2024-06-09 01:35:00-03:00,0.12,MONTE HERMOSO
2024-06-09 08:04:00-03:00,3.27,MONTE HERMOSO
2024-06-09 13:54:00-03:00,1.01,MONTE HERMOSO
2024-06-09 19:50:00-03:00,3.41,MONTE HERMOSO
2024-06-10 02:24:00-03:00,0.1,MONTE HERMOSO
2024-06-10 08:53:00-03:00,3.29,MONTE HERMOSO
2024-06-10 14:44:00-03:00,1.0,MONTE HERMOSO
2024-06-10 20:39:00-03:00,3.37,MONTE HERMOSO
2024-06-11 03:12:00-03:00,0.15,MONTE HERMOSO
2024-06-11 09:41:00-03:00,3.28,MONTE HERMOSO
2024-06-11 15:33:00-03:00,1.01,MONTE HERMOSO
2024-06-11 21:28:00-03:00,3.31,MONTE HERMOSO
2024-06-12 03:58:00-03:00,0.24,MONTE HERMOSO
2024-06-12 10:27:00-03:00,3.23,MONTE HERMOSO
2024-06-12 16:21:00-03:00,1.02,MONTE HERMOSO
2024-06-12 22:17:00-03:00,3.21,MONTE HERMOSO
2024-06-13 04:44:00-03:00,0.38,MONTE HERMOSO
2024-06-13 11:11:00-03:00,3.17,MONTE HERMOSO
2024-06-13 17:09:00-03:00,1.03,MONTE HERMOSO
2024-06-13 23:06:00-03:00,3.09,MONTE HERMOSO
2024-06-14 05:29:00-03:00,0.56,MONTE HERMOSO
2024-06-14 11:55:00-03:00,3.09,MONTE HERMOSO
2024-06-14 17:58:00-03:00,1.05,MONTE HERMOSO
2024-06-14 23:57:00-03:00,2.96,MONTE HERMOSO
2024-06-15 06:15:00-03:00,0.75,MONTE HERMOSO
2024-06-15 12:38:00-03:00,3.01,MONTE HERMOSO
