datetime,height,port
2024-07-01 00:39:00-03:00,3.15,MONTE HERMOSO
2024-07-01 06:46:00-03:00,0.67,MONTE HERMOSO
2024-07-01 13:02:00-03:00,3.37,MONTE HERMOSO
2024-07-01 19:26:00-03:00,0.55,MONTE HERMOSO
2024-07-02 01:39:00-03:00,3.08,MONTE HERMOSO
2024-07-02 07:39:00-03:00,0.81,MONTE HERMOSO
2024-07-02 13:54:00-03:00,3.36,MONTE HERMOSO
2024-07-02 20:24:00-03:00,0.5,MONTE HERMOSO
2024-07-03 02:41:00-03:00,3.02,MONTE HERMOSO
2024-07-03 08:36:00-03:00,0.94,MONTE HERMOSO
2024-07-03 14:48:00-03:00,3.34,MONTE HERMOSO
2024-07-03 21:24:00-03:00,0.44,MONTE HERMOSO
2024-07-04 03:46:00-03:00,2.99,MONTE HERMOSO
2024-07-04 09:36:00-03:00,1.06,MONTE HERMOSO
2024-07-04 15:45:00-03:00,3.31,MONTE HERMOSO
2024-07-04 22:25:00-03:00,0.39,MONTE HERMOSO
2024-07-05 04:52:00-03:00,2.99,MONTE HERMOSO
2024-07-05 10:39:00-03:00,1.13,MONTE HERMOSO
2024-07-05 16:43:00-03:00,3.3,MONTE HERMOSO
2024-07-05 23:25:00-03:00,0.33,MONTE HERMOSO
2024-07-06 05:55:00-03:00,3.02,MONTE HERMOSO
2024-07-06 11:40:00-03:00,1.16,MONTE HERMOSO
2024-07-06 17:41:00-03:00,3.29,MONTE HERMOSO
2024-07-07 00:22:00-03:00,0.28,MONTE HERMOSO
2024-07-07 06:53:00-03:00,3.08,MONTE HERMOSO
2024-07-07 12:40:00-03:00,1.15,MONTE HERMOSO
2024-07-07 18:38:00-03:00,3.29,MONTE HERMOSO
2024-07-08 01:17:00-03:00,0.25,MONTE HERMOSO
2024-07-08 07:48:00-03:00,3.13,MONTE HERMOSO
2024-07-08 13:36:00-03:00,1.11,MONTE HERMOSO
2024-07-08 19:33:00-03:00,3.29,MONTE HERMOSO
2024-07-09 02:08:00-03:00,0.26,MONTE HERMOSO
2024-07-09 08:38:00-03:00,3.17,MONTE HERMOSO
2024-07-09 14:29:00-03:00,1.06,MONTE HERMOSO
2024-07-09 20:25:00-03:00,3.27,MONTE HERMOSO
2024-07-10 02:56:00-03:00,0.3,MONTE HERMOSO
2024-07-10 09:24:00-03:00,3.19,MONTE HERMOSO
2024-07-10 15:18:00-03:00,1.01,MONTE HERMOSO
2024-07-10 21:15:00-03:00,3.23,MONTE HERMOSO
2024-07-11 03:42:00-03:00,0.38,MONTE HERMOSO
2024-07-11 10:06:00-03:00,3.19,MONTE HERMOSO
2024-07-11 16:05:00-03:00,0.96,MONTE HERMOSO
2024-07-11 22:03:00-03:00,3.17,MONTE HERMOSO
2024-07-12 04:25:00-03:00,0.51,MONTE HERMOSO
2024-07-12 10:47:00-03:00,3.16,MONTE HERMOSO
2024-07-12 16:49:00-03:00,0.93,MONTE HERMOSO
2024-07-12 22:50:00-03:00,3.08,MONTE HERMOSO
2024-07-13 05:06:00-03:00,0.66,MONTE HERMOSO
2024-07-13 11:24:00-03:00,3.12,MONTE HERMOSO
2024-07-13 17:33:00-03:00,0.91,MONTE HERMOSO
2024-07-13 23:36:00-03:00,2.98,MONTE HERMOSO
2024-07-14 05:45:00-03:00,0.83,MONTE HERMOSO
2024-07-14 12:01:00-03:00,3.07,MONTE HERMOSO
2024-07-14 18:16:00-03:00,0.89,MONTE HERMOSO
2024-07-15 00:23:00-03:00,2.86,MONTE HERMOSO
2024-07-15 06:24:00-03:00,1.01,MONTE HERMOSO
2024-07-15 12:37:00-03:00,3.03,MONTE HERMOSO
2024-07-15 19:00:00-03:00,0.88,MONTE HERMOSO
2024-07-16 01:11:00-03:00,2.74,MONTE HERMOSO
2024-07-16 07:03:00-03:00,1.17,MONTE HERMOSO
2024-07-16 13:14:00-03:00,2.99,MONTE HERMOSO
2024-07-16 19:46:00-03:00,0.87,MONTE HERMOSO
2024-07-17 02:01:00-03:00,2.64,MONTE HERMOSO
2024-07-17 07:44:00-03:00,1.32,MONTE HERMOSO
2024-07-17 13:53:00-03:00,2.96,MONTE HERMOSO
2024-07-17 20:35:00-03:00,0.86,MONTE HERMOSO
2024-07-18 02:55:00-03:00,2.56,MONTE HERMOSO
2024-07-18 08:29:00-03:00,1.43,MONTE HERMOSO
2024-07-18 14:37:00-03:00,2.94,MONTE HERMOSO
2024-07-18 21:26:00-03:00,0.84,MONTE HERMOSO
2024-07-19 03:52:00-03:00,2.52,MONTE HERMOSO
2024-07-19 09:19:00-03:00,1.51,MONTE HERMOSO
2024-07-19 15:26:00-03:00,2.94,MONTE HERMOSO
2024-07-19 22:20:00-03:00,0.79,MONTE HERMOSO
2024-07-20 04:51:00-03:00,2.54,MONTE HERMOSO
2024-07-20 10:16:00-03:00,1.53,MONTE HERMOSO
2024-07-20 16:20:00-03:00,2.96,MONTE HERMOSO
2024-07-20 23:15:00-03:00,0.73,MONTE HERMOSO
2024-07-21 05:46:00-03:00,2.61,MONTE HERMOSO
2024-07-21 11:16:00-03:00,1.48,MONTE HERMOSO
2024-07-21 17:18:00-03:00,3.0,MONTE HERMOSO
2024-07-22 00:08:00-03:00,0.65,MONTE HERMOSO
2024-07-22 06:38:00-03:00,2.72,MONTE HERMOSO
2024-07-22 12:14:00-03:00,1.38,MONTE HERMOSO
2024-07-22 18:15:00-03:00,3.08,MONTE HERMOSO
2024-07-23 00:58:00-03:00,0.56,MONTE HERMOSO
2024-07-23 07:26:00-03:00,2.86,MONTE HERMOSO
2024-07-23 13:09:00-03:00,1.23,MONTE HERMOSO
2024-07-23 19:10:00-03:00,3.16,MONTE HERMOSO
2024-07-24 01:46:00-03:00,0.48,MONTE HERMOSO
2024-07-24 08:10:00-03:00,3.01,MONTE HERMOSO
2024-07-24 14:01:00-03:00,1.05,MONTE HERMOSO
2024-07-24 20:04:00-03:00,3.25,MONTE HERMOSO
2024-07-25 02:33:00-03:00,0.42,MONTE HERMOSO
2024-07-25 08:54:00-03:00,3.16,MONTE HERMOSO
2024-07-25 14:51:00-03:00,0.87,MONTE HERMOSO
2024-07-25 20:55:00-03:00,3.32,MONTE HERMOSO
2024-07-26 03:18:00-03:00,0.39,MONTE HERMOSO
2024-07-26 09:36:00-03:00,3.3,MONTE HERMOSO
2024-07-26 15:40:00-03:00,0.69,MONTE HERMOSO
2024-07-26 21:46:00-03:00,3.36,MONTE HERMOSO
2024-07-27 04:03:00-03:00,0.4,MONTE HERMOSO
2024-07-27 10:19:00-03:00,3.4,MONTE HERMOSO
2024-07-27 16:28:00-03:00,0.55,MONTE HERMOSO
2024-07-27 22:36:00-03:00,3.37,MONTE HERMOSO
2024-07-28 04:48:00-03:00,0.45,MONTE HERMOSO
2024-07-28 11:02:00-03:00,3.47,MONTE HERMOSO
2024-07-28 17:17:00-03:00,0.45,MONTE HERMOSO
2024-07-28 23:27:00-03:00,3.32,MONTE HERMOSO
2024-07-29 05:34:00-03:00,0.54,MONTE HERMOSO
2024-07-29 11:47:00-03:00,3.5,MONTE HERMOSO
2024-07-29 18:08:00-03:00,0.39,MONTE HERMOSO
2024-07-30 00:20:00-03:00,3.24,MONTE HERMOSO
2024-07-30 06:21:00-03:00,0.68,MONTE HERMOSO
2024-07-30 12:34:00-03:00,3.48,MONTE HERMOSO
2024-07-30 19:00:00-03:00,0.38,MONTE HERMOSO
2024-07-31 01:16:00-03:00,3.14,MONTE HERMOSO
2024-07-31 07:12:00-03:00,0.83,MONTE HERMOSO
2024-07-31 13:23:00-03:00,3.42,MONTE HERMOSO
2024-07-31 19:56:00-03:00,0.4,MONTE HERMOSO
