datetime,height,port
2024-08-01 02:15:00-03:00,3.03,MONTE HERMOSO
2024-08-01 08:07:00-03:00,0.99,MONTE HERMOSO
2024-08-01 14:17:00-03:00,3.34,MONTE HERMOSO
2024-08-01 20:55:00-03:00,0.43,MONTE HERMOSO
2024-08-02 03:19:00-03:00,2.94,MONTE HERMOSO
2024-08-02 09:07:00-03:00,1.13,MONTE HERMOSO
2024-08-02 15:15:00-03:00,3.26,MONTE HERMOSO
2024-08-02 21:58:00-03:00,0.46,MONTE HERMOSO
2024-08-03 04:26:00-03:00,2.89,MONTE HERMOSO
2024-08-03 10:12:00-03:00,1.22,MONTE HERMOSO
2024-08-03 16:17:00-03:00,3.19,MONTE HERMOSO
2024-08-03 23:01:00-03:00,0.47,MONTE HERMOSO
2024-08-04 05:33:00-03:00,2.9,MONTE HERMOSO
2024-08-04 11:19:00-03:00,1.25,MONTE HERMOSO
2024-08-04 17:21:00-03:00,3.16,MONTE HERMOSO
2024-08-05 00:03:00-03:00,0.46,MONTE HERMOSO
2024-08-05 06:34:00-03:00,2.95,MONTE HERMOSO
2024-08-05 12:23:00-03:00,1.21,MONTE HERMOSO
2024-08-05 18:23:00-03:00,3.16,MONTE HERMOSO
2024-08-06 01:00:00-03:00,0.45,MONTE HERMOSO
2024-08-06 07:29:00-03:00,3.02,MONTE HERMOSO
2024-08-06 13:21:00-03:00,1.12,MONTE HERMOSO
2024-08-06 19:21:00-03:00,3.18,MONTE HERMOSO
2024-08-07 01:52:00-03:00,0.46,MONTE HERMOSO
2024-08-07 08:17:00-03:00,3.08,MONTE HERMOSO
2024-08-07 14:13:00-03:00,1.02,MONTE HERMOSO
2024-08-07 20:14:00-03:00,3.19,MONTE HERMOSO
2024-08-08 02:39:00-03:00,0.49,MONTE HERMOSO
2024-08-08 09:00:00-03:00,3.13,MONTE HERMOSO
2024-08-08 15:00:00-03:00,0.92,MONTE HERMOSO
2024-08-08 21:03:00-03:00,3.19,MONTE HERMOSO
2024-08-09 03:22:00-03:00,0.56,MONTE HERMOSO
2024-08-09 09:39:00-03:00,3.15,MONTE HERMOSO
2024-08-09 15:43:00-03:00,0.84,MONTE HERMOSO
2024-08-09 21:48:00-03:00,3.16,MONTE HERMOSO
2024-08-10 04:01:00-03:00,0.66,MONTE HERMOSO
2024-08-10 10:15:00-03:00,3.15,MONTE HERMOSO
2024-08-10 16:23:00-03:00,0.77,MONTE HERMOSO
2024-08-10 22:30:00-03:00,3.1,MONTE HERMOSO
2024-08-11 04:38:00-03:00,0.78,MONTE HERMOSO
2024-08-11 10:48:00-03:00,3.14,MONTE HERMOSO
2024-08-11 17:02:00-03:00,0.74,MONTE HERMOSO
2024-08-11 23:11:00-03:00,3.01,MONTE HERMOSO
2024-08-12 05:12:00-03:00,0.92,MONTE HERMOSO
2024-08-12 11:20:00-03:00,3.12,MONTE HERMOSO
2024-08-12 17:40:00-03:00,0.72,MONTE HERMOSO
2024-08-12 23:52:00-03:00,2.9,MONTE HERMOSO
2024-08-13 05:46:00-03:00,1.06,MONTE HERMOSO
2024-08-13 11:53:00-03:00,3.1,MONTE HERMOSO
2024-08-13 18:20:00-03:00,0.73,MONTE HERMOSO
2024-08-14 00:34:00-03:00,2.79,MONTE HERMOSO
2024-08-14 06:20:00-03:00,1.19,MONTE HERMOSO
2024-08-14 12:27:00-03:00,3.06,MONTE HERMOSO
2024-08-14 19:02:00-03:00,0.76,MONTE HERMOSO
2024-08-15 01:18:00-03:00,2.68,MONTE HERMOSO
2024-08-15 06:58:00-03:00,1.3,MONTE HERMOSO
2024-08-15 13:06:00-03:00,3.03,MONTE HERMOSO
2024-08-15 19:48:00-03:00,0.79,MONTE HERMOSO
2024-08-16 02:08:00-03:00,2.59,MONTE HERMOSO
2024-08-16 07:42:00-03:00,1.4,MONTE HERMOSO
2024-08-16 13:51:00-03:00,2.98,MONTE HERMOSO
2024-08-16 20:40:00-03:00,0.82,MONTE HERMOSO
2024-08-17 03:04:00-03:00,2.53,MONTE HERMOSO
