datetime,height,port
2024-11-01 05:08:00-03:00,2.57,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-01 10:49:00-03:00,11.29,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-01 17:22:00-03:00,2.23,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-01 23:04:00-03:00,11.08,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-02 05:40:00-03:00,2.55,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-02 11:15:00-03:00,11.37,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-02 17:57:00-03:00,2.08,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-02 23:34:00-03:00,11.14,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-03 06:13:00-03:00,2.63,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-03 11:42:00-03:00,11.34,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-03 18:33:00-03:00,2.06,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-04 00:06:00-03:00,11.06,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-04 06:48:00-03:00,2.82,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-04 12:11:00-03:00,11.2,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-04 19:10:00-03:00,2.17,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-05 00:40:00-03:00,10.83,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-05 07:25:00-03:00,3.1,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-05 12:41:00-03:00,10.95,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-05 19:48:00-03:00,2.41,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-06 01:17:00-03:00,10.48,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-06 08:04:00-03:00,3.44,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-06 13:15:00-03:00,10.62,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-06 20:29:00-03:00,2.73,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-07 02:00:00-03:00,10.08,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-07 08:45:00-03:00,3.77,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-07 13:55:00-03:00,10.23,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-07 21:13:00-03:00,3.06,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-08 02:51:00-03:00,9.71,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-08 09:31:00-03:00,4.05,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-11-08 14:48:00-03:00,9.85,MUELLE EL TURBIO (Puerto Río Gallegos)
