datetime,height,port
2024-02-01 02:32:00-03:00,10.43,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-01 09:17:00-03:00,3.62,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-01 14:49:00-03:00,10.3,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-01 21:35:00-03:00,3.35,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-02 03:03:00-03:00,10.16,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-02 09:56:00-03:00,3.78,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-02 15:29:00-03:00,9.94,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-02 22:12:00-03:00,3.74,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-03 03:39:00-03:00,9.87,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-03 10:41:00-03:00,3.94,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-03 16:22:00-03:00,9.56,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-03 22:56:00-03:00,4.1,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-04 04:29:00-03:00,9.59,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-04 11:34:00-03:00,4.01,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-04 17:33:00-03:00,9.31,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-04 23:49:00-03:00,4.34,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-05 05:42:00-03:00,9.42,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-05 12:37:00-03:00,3.92,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-05 18:54:00-03:00,9.4,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-06 00:54:00-03:00,4.36,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-06 07:09:00-03:00,9.56,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-06 13:48:00-03:00,3.58,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-06 20:08:00-03:00,9.86,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-07 02:07:00-03:00,4.06,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-07 08:25:00-03:00,10.06,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-02-07 14:59:00-03:00,3.01,MUELLE EL TURBIO (Puerto Río Gallegos)
