datetime,height,port
2024-04-01 02:29:00-03:00,10.48,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-01 09:54:00-03:00,3.67,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-01 15:29:00-03:00,9.81,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-01 22:11:00-03:00,4.44,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-02 03:20:00-03:00,9.99,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-02 10:45:00-03:00,3.93,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-02 16:46:00-03:00,9.5,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-02 23:05:00-03:00,4.64,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-03 04:45:00-03:00,9.6,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-03 11:46:00-03:00,4.0,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-03 18:11:00-03:00,9.58,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-04 00:12:00-03:00,4.56,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-04 06:23:00-03:00,9.68,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-04 12:59:00-03:00,3.75,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-04 19:29:00-03:00,10.1,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-05 01:27:00-03:00,4.1,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-05 07:47:00-03:00,10.29,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-05 14:16:00-03:00,3.18,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-05 20:34:00-03:00,10.94,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-06 02:41:00-03:00,3.37,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-06 08:52:00-03:00,11.22,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-06 15:25:00-03:00,2.45,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-06 21:28:00-03:00,11.88,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-07 03:47:00-03:00,2.56,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-07 09:45:00-03:00,12.19,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-07 16:26:00-03:00,1.76,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-07 22:15:00-03:00,12.71,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-08 04:47:00-03:00,1.83,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-08 10:33:00-03:00,12.99,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-08 17:21:00-03:00,1.25,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-08 22:58:00-03:00,13.29,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-09 05:42:00-03:00,1.25,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-09 11:18:00-03:00,13.47,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-09 18:13:00-03:00,0.98,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-09 23:40:00-03:00,13.53,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-10 06:34:00-03:00,0.88,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-10 12:02:00-03:00,13.56,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-10 19:00:00-03:00,1.0,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-11 00:21:00-03:00,13.43,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-11 07:22:00-03:00,0.76,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-11 12:46:00-03:00,13.28,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-11 19:45:00-03:00,1.33,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-04-12 01:02:00-03:00,13.02,MUELLE EL TURBIO (Puerto Río Gallegos)
