datetime,height,port
2024-06-01 05:31:00-03:00,10.75,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-01 12:09:00-03:00,2.94,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-01 18:19:00-03:00,10.79,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-02 00:43:00-03:00,3.25,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-02 06:43:00-03:00,10.99,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-02 13:11:00-03:00,2.9,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-02 19:26:00-03:00,11.18,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-03 01:47:00-03:00,2.79,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-03 07:52:00-03:00,11.42,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-03 14:16:00-03:00,2.8,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-03 20:26:00-03:00,11.7,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-04 02:51:00-03:00,2.29,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-04 08:52:00-03:00,11.91,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-04 15:20:00-03:00,2.68,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-04 21:19:00-03:00,12.18,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-05 03:52:00-03:00,1.85,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-05 09:46:00-03:00,12.28,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-05 16:20:00-03:00,2.61,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-05 22:08:00-03:00,12.46,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-06 04:50:00-03:00,1.55,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-06 10:36:00-03:00,12.42,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-06 17:15:00-03:00,2.62,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-06 22:54:00-03:00,12.49,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-07 05:44:00-03:00,1.45,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-07 11:24:00-03:00,12.32,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-06-07 18:06:00-03:00,2.74,MUELLE EL TURBIO (Puerto Río Gallegos)
