datetime,height,port
2024-08-01 02:15:00-03:00,2.64,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-01 08:26:00-03:00,10.64,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-01 14:34:00-03:00,3.93,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-01 20:49:00-03:00,10.76,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-02 03:23:00-03:00,2.47,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-02 09:27:00-03:00,10.84,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-02 15:42:00-03:00,3.8,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-02 21:47:00-03:00,10.96,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-03 04:25:00-03:00,2.29,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-03 10:19:00-03:00,11.04,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-03 16:42:00-03:00,3.58,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-03 22:37:00-03:00,11.13,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-04 05:20:00-03:00,2.18,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-04 11:05:00-03:00,11.21,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-04 17:34:00-03:00,3.38,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-04 23:20:00-03:00,11.2,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-05 06:08:00-03:00,2.17,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-05 11:45:00-03:00,11.3,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-05 18:19:00-03:00,3.26,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-05 23:58:00-03:00,11.2,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-06 06:49:00-03:00,2.22,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-06 12:20:00-03:00,11.32,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-06 18:58:00-03:00,3.21,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-07 00:32:00-03:00,11.13,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-07 07:24:00-03:00,2.33,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-07 12:53:00-03:00,11.27,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-07 19:33:00-03:00,3.24,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-08 01:03:00-03:00,11.03,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-08 07:55:00-03:00,2.47,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-08 13:22:00-03:00,11.13,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-08 20:04:00-03:00,3.31,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-09 01:32:00-03:00,10.88,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-09 08:22:00-03:00,2.68,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-09 13:51:00-03:00,10.92,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-09 20:34:00-03:00,3.44,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-10 02:02:00-03:00,10.64,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-10 08:50:00-03:00,2.96,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-10 14:18:00-03:00,10.63,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-10 21:06:00-03:00,3.61,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-11 02:34:00-03:00,10.31,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-11 09:19:00-03:00,3.34,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-11 14:47:00-03:00,10.29,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-11 21:41:00-03:00,3.81,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-12 03:11:00-03:00,9.87,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-12 09:53:00-03:00,3.79,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-12 15:19:00-03:00,9.92,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-12 22:22:00-03:00,4.02,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-13 03:59:00-03:00,9.4,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-13 10:33:00-03:00,4.23,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-13 16:01:00-03:00,9.54,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-13 23:11:00-03:00,4.18,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-14 05:07:00-03:00,9.01,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-14 11:23:00-03:00,4.58,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-14 17:07:00-03:00,9.22,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-15 00:12:00-03:00,4.17,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-15 06:31:00-03:00,8.96,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-15 12:26:00-03:00,4.69,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-15 18:38:00-03:00,9.2,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-16 01:23:00-03:00,3.9,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-16 07:50:00-03:00,9.34,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-08-16 13:39:00-03:00,4.45,MUELLE EL TURBIO (Puerto Río Gallegos)
