datetime,height,port
2024-09-01 04:20:00-03:00,2.44,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-01 10:10:00-03:00,10.82,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-01 16:35:00-03:00,3.45,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-01 22:27:00-03:00,10.91,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-02 05:09:00-03:00,2.21,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-02 10:50:00-03:00,11.12,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-02 17:21:00-03:00,3.11,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-02 23:05:00-03:00,11.11,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-03 05:50:00-03:00,2.09,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-03 11:25:00-03:00,11.34,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-03 18:00:00-03:00,2.88,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-03 23:37:00-03:00,11.21,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-04 06:26:00-03:00,2.06,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-04 11:56:00-03:00,11.45,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-04 18:35:00-03:00,2.77,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-05 00:07:00-03:00,11.24,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-05 06:57:00-03:00,2.11,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-05 12:24:00-03:00,11.45,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-05 19:06:00-03:00,2.75,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-06 00:35:00-03:00,11.2,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-06 07:25:00-03:00,2.25,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-06 12:50:00-03:00,11.34,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-06 19:36:00-03:00,2.8,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-07 01:02:00-03:00,11.06,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-07 07:52:00-03:00,2.5,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-07 13:15:00-03:00,11.13,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-07 20:06:00-03:00,2.94,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-08 01:30:00-03:00,10.8,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-08 08:20:00-03:00,2.86,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-08 13:39:00-03:00,10.85,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-08 20:38:00-03:00,3.17,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-09 02:00:00-03:00,10.41,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-09 08:51:00-03:00,3.32,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-09 14:04:00-03:00,10.51,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-09 21:12:00-03:00,3.46,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-10 02:35:00-03:00,9.91,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-10 09:25:00-03:00,3.84,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-10 14:33:00-03:00,10.1,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-10 21:51:00-03:00,3.79,MUELLE EL TURBIO (Puerto Río Gallegos)
2024-09-11 03:20:00-03:00,9.34,MUELLE EL TURBIO (Puerto Río Gallegos)
