datetime,height,port
2024-11-01 03:08:00-03:00,0.63,PINAMAR
2024-11-01 07:41:00-03:00,1.12,PINAMAR
2024-11-01 13:48:00-03:00,0.57,PINAMAR
2024-11-01 19:28:00-03:00,1.17,PINAMAR
2024-11-02 03:22:00-03:00,0.68,PINAMAR
2024-11-02 08:04:00-03:00,1.23,PINAMAR
2024-11-02 14:27:00-03:00,0.58,PINAMAR
2024-11-02 19:56:00-03:00,1.15,PINAMAR
2024-11-03 03:14:00-03:00,0.71,PINAMAR
2024-11-03 08:31:00-03:00,1.33,PINAMAR
2024-11-03 15:07:00-03:00,0.59,PINAMAR
2024-11-03 20:27:00-03:00,1.13,PINAMAR
2024-11-04 03:24:00-03:00,0.72,PINAMAR
2024-11-04 09:00:00-03:00,1.42,PINAMAR
2024-11-04 15:51:00-03:00,0.6,PINAMAR
2024-11-04 21:01:00-03:00,1.09,PINAMAR
2024-11-05 03:46:00-03:00,0.71,PINAMAR
2024-11-05 09:33:00-03:00,1.48,PINAMAR
2024-11-05 16:41:00-03:00,0.6,PINAMAR
2024-11-05 21:39:00-03:00,1.03,PINAMAR
2024-11-06 04:12:00-03:00,0.69,PINAMAR
2024-11-06 10:09:00-03:00,1.52,PINAMAR
2024-11-06 17:43:00-03:00,0.58,PINAMAR
2024-11-06 22:20:00-03:00,0.96,PINAMAR
2024-11-07 04:40:00-03:00,0.65,PINAMAR
2024-11-07 10:49:00-03:00,1.53,PINAMAR
2024-11-07 18:55:00-03:00,0.55,PINAMAR
2024-11-07 23:05:00-03:00,0.89,PINAMAR
2024-11-08 05:08:00-03:00,0.6,PINAMAR
2024-11-08 11:35:00-03:00,1.52,PINAMAR
2024-11-08 20:00:00-03:00,0.51,PINAMAR
2024-11-08 23:54:00-03:00,0.82,PINAMAR
2024-11-09 05:42:00-03:00,0.55,PINAMAR
2024-11-09 12:31:00-03:00,1.48,PINAMAR
2024-11-09 20:56:00-03:00,0.48,PINAMAR
2024-11-10 00:52:00-03:00,0.78,PINAMAR
2024-11-10 06:25:00-03:00,0.51,PINAMAR
2024-11-10 13:45:00-03:00,1.45,PINAMAR
2024-11-10 21:49:00-03:00,0.46,PINAMAR
2024-11-11 02:04:00-03:00,0.78,PINAMAR
2024-11-11 07:32:00-03:00,0.5,PINAMAR
2024-11-11 15:10:00-03:00,1.45,PINAMAR
2024-11-11 22:39:00-03:00,0.46,PINAMAR
2024-11-12 03:22:00-03:00,0.83,PINAMAR
2024-11-12 09:18:00-03:00,0.48,PINAMAR
2024-11-12 16:19:00-03:00,1.48,PINAMAR
2024-11-12 23:28:00-03:00,0.48,PINAMAR
2024-11-13 04:30:00-03:00,0.95,PINAMAR
2024-11-13 10:49:00-03:00,0.44,PINAMAR
2024-11-13 17:17:00-03:00,1.49,PINAMAR
2024-11-14 00:17:00-03:00,0.51,PINAMAR
2024-11-14 05:27:00-03:00,1.11,PINAMAR
2024-11-14 12:02:00-03:00,0.38,PINAMAR
2024-11-14 18:09:00-03:00,1.48,PINAMAR
2024-11-15 01:06:00-03:00,0.55,PINAMAR
2024-11-15 06:20:00-03:00,1.28,PINAMAR
2024-11-15 13:08:00-03:00,0.34,PINAMAR
2024-11-15 19:00:00-03:00,1.44,PINAMAR
2024-11-16 01:52:00-03:00,0.59,PINAMAR
2024-11-16 07:09:00-03:00,1.45,PINAMAR
2024-11-16 14:15:00-03:00,0.32,PINAMAR
2024-11-16 19:50:00-03:00,1.36,PINAMAR
2024-11-17 02:35:00-03:00,0.61,PINAMAR
2024-11-17 07:57:00-03:00,1.6,PINAMAR
2024-11-17 15:27:00-03:00,0.33,PINAMAR
2024-11-17 20:40:00-03:00,1.25,PINAMAR
2024-11-18 03:14:00-03:00,0.63,PINAMAR
2024-11-18 08:44:00-03:00,1.69,PINAMAR
2024-11-18 16:43:00-03:00,0.35,PINAMAR
2024-11-18 21:34:00-03:00,1.13,PINAMAR
2024-11-19 03:50:00-03:00,0.62,PINAMAR
2024-11-19 09:31:00-03:00,1.72,PINAMAR
2024-11-19 17:54:00-03:00,0.36,PINAMAR
2024-11-19 22:39:00-03:00,1.0,PINAMAR
2024-11-20 04:24:00-03:00,0.61,PINAMAR
2024-11-20 10:18:00-03:00,1.69,PINAMAR
2024-11-20 18:58:00-03:00,0.38,PINAMAR
2024-11-21 00:44:00-03:00,0.91,PINAMAR
2024-11-21 04:58:00-03:00,0.59,PINAMAR
2024-11-21 11:10:00-03:00,1.62,PINAMAR
2024-11-21 19:59:00-03:00,0.4,PINAMAR
2024-11-22 01:43:00-03:00,0.84,PINAMAR
2024-11-22 05:35:00-03:00,0.57,PINAMAR
2024-11-22 12:13:00-03:00,1.51,PINAMAR
2024-11-22 20:56:00-03:00,0.42,PINAMAR
2024-11-23 02:33:00-03:00,0.8,PINAMAR
2024-11-23 06:16:00-03:00,0.57,PINAMAR
2024-11-23 14:06:00-03:00,1.42,PINAMAR
2024-11-23 21:51:00-03:00,0.46,PINAMAR
2024-11-24 03:20:00-03:00,0.79,PINAMAR
2024-11-24 07:08:00-03:00,0.59,PINAMAR
2024-11-24 15:23:00-03:00,1.36,PINAMAR
2024-11-24 22:44:00-03:00,0.51,PINAMAR
2024-11-25 04:07:00-03:00,0.82,PINAMAR
2024-11-25 08:19:00-03:00,0.62,PINAMAR
2024-11-25 16:17:00-03:00,1.32,PINAMAR
2024-11-25 23:35:00-03:00,0.56,PINAMAR
2024-11-26 04:51:00-03:00,0.89,PINAMAR
2024-11-26 09:40:00-03:00,0.65,PINAMAR
2024-11-26 17:00:00-03:00,1.27,PINAMAR
2024-11-27 00:21:00-03:00,0.62,PINAMAR
2024-11-27 05:32:00-03:00,0.98,PINAMAR
2024-11-27 10:50:00-03:00,0.66,PINAMAR
2024-11-27 17:34:00-03:00,1.24,PINAMAR
2024-11-28 00:58:00-03:00,0.68,PINAMAR
2024-11-28 06:06:00-03:00,1.08,PINAMAR
2024-11-28 11:49:00-03:00,0.67,PINAMAR
2024-11-28 18:00:00-03:00,1.21,PINAMAR
2024-11-29 01:22:00-03:00,0.74,PINAMAR
2024-11-29 06:35:00-03:00,1.19,PINAMAR
2024-11-29 12:39:00-03:00,0.67,PINAMAR
2024-11-29 18:25:00-03:00,1.18,PINAMAR
2024-11-30 01:27:00-03:00,0.78,PINAMAR
2024-11-30 07:01:00-03:00,1.3,PINAMAR
2024-11-30 13:26:00-03:00,0.67,PINAMAR
2024-11-30 18:53:00-03:00,1.15,PINAMAR
