datetime,height,port
2024-12-01 01:40:00-03:00,0.79,PINAMAR
2024-12-01 07:29:00-03:00,1.41,PINAMAR
2024-12-01 14:12:00-03:00,0.67,PINAMAR
2024-12-01 19:24:00-03:00,1.11,PINAMAR
2024-12-02 02:05:00-03:00,0.78,PINAMAR
2024-12-02 08:00:00-03:00,1.49,PINAMAR
2024-12-02 15:01:00-03:00,0.65,PINAMAR
2024-12-02 19:59:00-03:00,1.07,PINAMAR
2024-12-03 02:35:00-03:00,0.76,PINAMAR
2024-12-03 08:33:00-03:00,1.56,PINAMAR
2024-12-03 15:57:00-03:00,0.63,PINAMAR
2024-12-03 20:37:00-03:00,1.01,PINAMAR
2024-12-04 03:06:00-03:00,0.71,PINAMAR
2024-12-04 09:09:00-03:00,1.61,PINAMAR
2024-12-04 17:03:00-03:00,0.59,PINAMAR
2024-12-04 21:18:00-03:00,0.95,PINAMAR
2024-12-05 03:39:00-03:00,0.65,PINAMAR
2024-12-05 09:49:00-03:00,1.63,PINAMAR
2024-12-05 18:07:00-03:00,0.55,PINAMAR
2024-12-05 22:02:00-03:00,0.9,PINAMAR
2024-12-06 04:13:00-03:00,0.58,PINAMAR
2024-12-06 10:33:00-03:00,1.62,PINAMAR
2024-12-06 19:02:00-03:00,0.51,PINAMAR
2024-12-06 22:49:00-03:00,0.86,PINAMAR
2024-12-07 04:52:00-03:00,0.53,PINAMAR
2024-12-07 11:22:00-03:00,1.59,PINAMAR
2024-12-07 19:51:00-03:00,0.48,PINAMAR
2024-12-07 23:40:00-03:00,0.85,PINAMAR
2024-12-08 05:37:00-03:00,0.49,PINAMAR
2024-12-08 12:22:00-03:00,1.54,PINAMAR
2024-12-08 20:37:00-03:00,0.48,PINAMAR
2024-12-09 00:37:00-03:00,0.87,PINAMAR
2024-12-09 06:33:00-03:00,0.48,PINAMAR
2024-12-09 13:37:00-03:00,1.49,PINAMAR
2024-12-09 21:21:00-03:00,0.5,PINAMAR
2024-12-10 01:44:00-03:00,0.93,PINAMAR
2024-12-10 07:50:00-03:00,0.49,PINAMAR
2024-12-10 14:58:00-03:00,1.47,PINAMAR
2024-12-10 22:05:00-03:00,0.54,PINAMAR
2024-12-11 02:58:00-03:00,1.03,PINAMAR
2024-12-11 09:26:00-03:00,0.5,PINAMAR
2024-12-11 16:04:00-03:00,1.46,PINAMAR
2024-12-11 22:50:00-03:00,0.6,PINAMAR
2024-12-12 04:06:00-03:00,1.17,PINAMAR
2024-12-12 10:49:00-03:00,0.49,PINAMAR
2024-12-12 17:00:00-03:00,1.44,PINAMAR
2024-12-12 23:35:00-03:00,0.65,PINAMAR
2024-12-13 05:06:00-03:00,1.33,PINAMAR
2024-12-13 12:03:00-03:00,0.47,PINAMAR
2024-12-13 17:52:00-03:00,1.38,PINAMAR
2024-12-14 00:21:00-03:00,0.69,PINAMAR
2024-12-14 06:01:00-03:00,1.49,PINAMAR
2024-12-14 13:16:00-03:00,0.46,PINAMAR
2024-12-14 18:41:00-03:00,1.3,PINAMAR
