datetime,height,port
2024-03-01 05:12:00-03:00,0.6,PINAMAR
2024-03-01 10:57:00-03:00,1.33,PINAMAR
2024-03-01 18:27:00-03:00,0.78,PINAMAR
2024-03-01 23:20:00-03:00,1.29,PINAMAR
2024-03-02 05:59:00-03:00,0.64,PINAMAR
2024-03-02 11:39:00-03:00,1.29,PINAMAR
2024-03-02 18:45:00-03:00,0.81,PINAMAR
2024-03-02 23:58:00-03:00,1.36,PINAMAR
2024-03-03 06:55:00-03:00,0.67,PINAMAR
2024-03-03 12:26:00-03:00,1.23,PINAMAR
2024-03-03 19:07:00-03:00,0.83,PINAMAR
2024-03-04 00:44:00-03:00,1.41,PINAMAR
2024-03-04 08:05:00-03:00,0.68,PINAMAR
2024-03-04 13:21:00-03:00,1.15,PINAMAR
2024-03-04 19:30:00-03:00,0.83,PINAMAR
2024-03-05 01:43:00-03:00,1.44,PINAMAR
2024-03-05 09:21:00-03:00,0.66,PINAMAR
2024-03-05 14:26:00-03:00,1.07,PINAMAR
2024-03-05 19:55:00-03:00,0.81,PINAMAR
2024-03-06 03:01:00-03:00,1.48,PINAMAR
2024-03-06 10:33:00-03:00,0.62,PINAMAR
2024-03-06 15:37:00-03:00,0.99,PINAMAR
2024-03-06 20:37:00-03:00,0.76,PINAMAR
2024-03-07 04:17:00-03:00,1.55,PINAMAR
2024-03-07 11:41:00-03:00,0.57,PINAMAR
2024-03-07 16:42:00-03:00,0.94,PINAMAR
2024-03-07 22:20:00-03:00,0.7,PINAMAR
2024-03-08 05:21:00-03:00,1.62,PINAMAR
2024-03-08 12:51:00-03:00,0.51,PINAMAR
2024-03-08 17:41:00-03:00,0.92,PINAMAR
2024-03-08 23:44:00-03:00,0.6,PINAMAR
2024-03-09 06:17:00-03:00,1.69,PINAMAR
2024-03-09 14:01:00-03:00,0.46,PINAMAR
2024-03-09 18:35:00-03:00,0.95,PINAMAR
2024-03-10 00:52:00-03:00,0.48,PINAMAR
2024-03-10 07:11:00-03:00,1.72,PINAMAR
2024-03-10 15:04:00-03:00,0.43,PINAMAR
2024-03-10 19:27:00-03:00,1.02,PINAMAR
2024-03-11 01:53:00-03:00,0.36,PINAMAR
2024-03-11 08:03:00-03:00,1.73,PINAMAR
2024-03-11 15:57:00-03:00,0.44,PINAMAR
2024-03-11 20:17:00-03:00,1.12,PINAMAR
2024-03-12 02:51:00-03:00,0.28,PINAMAR
2024-03-12 08:56:00-03:00,1.69,PINAMAR
2024-03-12 16:43:00-03:00,0.47,PINAMAR
2024-03-12 21:05:00-03:00,1.23,PINAMAR
2024-03-13 03:48:00-03:00,0.25,PINAMAR
2024-03-13 09:52:00-03:00,1.61,PINAMAR
2024-03-13 17:25:00-03:00,0.53,PINAMAR
2024-03-13 21:52:00-03:00,1.35,PINAMAR
2024-03-14 04:50:00-03:00,0.28,PINAMAR
2024-03-14 10:56:00-03:00,1.51,PINAMAR
2024-03-14 18:03:00-03:00,0.6,PINAMAR
2024-03-14 22:40:00-03:00,1.45,PINAMAR
2024-03-15 06:00:00-03:00,0.34,PINAMAR
2024-03-15 12:23:00-03:00,1.4,PINAMAR
2024-03-15 18:39:00-03:00,0.68,PINAMAR
2024-03-15 23:29:00-03:00,1.51,PINAMAR
2024-03-16 07:17:00-03:00,0.42,PINAMAR
2024-03-16 13:47:00-03:00,1.29,PINAMAR
2024-03-16 19:12:00-03:00,0.75,PINAMAR
2024-03-17 00:23:00-03:00,1.53,PINAMAR
2024-03-17 08:33:00-03:00,0.49,PINAMAR
2024-03-17 14:49:00-03:00,1.19,PINAMAR
2024-03-17 19:43:00-03:00,0.8,PINAMAR
2024-03-18 01:33:00-03:00,1.52,PINAMAR
2024-03-18 09:48:00-03:00,0.54,PINAMAR
2024-03-18 15:45:00-03:00,1.09,PINAMAR
2024-03-18 20:14:00-03:00,0.83,PINAMAR
2024-03-19 03:02:00-03:00,1.5,PINAMAR
2024-03-19 11:06:00-03:00,0.57,PINAMAR
2024-03-19 16:39:00-03:00,0.99,PINAMAR
2024-03-19 20:53:00-03:00,0.83,PINAMAR
2024-03-20 04:18:00-03:00,1.48,PINAMAR
2024-03-20 12:28:00-03:00,0.57,PINAMAR
2024-03-20 17:35:00-03:00,0.92,PINAMAR
2024-03-20 21:51:00-03:00,0.81,PINAMAR
2024-03-21 05:19:00-03:00,1.46,PINAMAR
2024-03-21 13:38:00-03:00,0.56,PINAMAR
