datetime,height,port
2024-05-01 08:18:00-03:00,0.56,PINAMAR
2024-05-01 12:29:00-03:00,0.92,PINAMAR
2024-05-01 18:03:00-03:00,0.66,PINAMAR
2024-05-02 01:00:00-03:00,1.58,PINAMAR
2024-05-02 09:19:00-03:00,0.52,PINAMAR
2024-05-02 13:36:00-03:00,0.87,PINAMAR
2024-05-02 18:54:00-03:00,0.63,PINAMAR
2024-05-03 02:23:00-03:00,1.54,PINAMAR
2024-05-03 10:16:00-03:00,0.5,PINAMAR
2024-05-03 14:56:00-03:00,0.87,PINAMAR
2024-05-03 20:23:00-03:00,0.61,PINAMAR
2024-05-04 03:46:00-03:00,1.54,PINAMAR
2024-05-04 11:11:00-03:00,0.5,PINAMAR
2024-05-04 16:08:00-03:00,0.94,PINAMAR
2024-05-04 22:13:00-03:00,0.57,PINAMAR
2024-05-05 04:52:00-03:00,1.56,PINAMAR
2024-05-05 12:05:00-03:00,0.52,PINAMAR
2024-05-05 17:08:00-03:00,1.05,PINAMAR
2024-05-05 23:34:00-03:00,0.5,PINAMAR
2024-05-06 05:48:00-03:00,1.56,PINAMAR
2024-05-06 12:59:00-03:00,0.56,PINAMAR
2024-05-06 18:02:00-03:00,1.2,PINAMAR
2024-05-07 00:43:00-03:00,0.43,PINAMAR
2024-05-07 06:41:00-03:00,1.54,PINAMAR
2024-05-07 13:49:00-03:00,0.6,PINAMAR
2024-05-07 18:51:00-03:00,1.36,PINAMAR
2024-05-08 01:48:00-03:00,0.39,PINAMAR
2024-05-08 07:31:00-03:00,1.48,PINAMAR
2024-05-08 14:35:00-03:00,0.65,PINAMAR
2024-05-08 19:38:00-03:00,1.52,PINAMAR
2024-05-09 02:54:00-03:00,0.37,PINAMAR
2024-05-09 08:22:00-03:00,1.4,PINAMAR
2024-05-09 15:15:00-03:00,0.7,PINAMAR
2024-05-09 20:23:00-03:00,1.64,PINAMAR
2024-05-10 04:03:00-03:00,0.39,PINAMAR
2024-05-10 09:15:00-03:00,1.29,PINAMAR
2024-05-10 15:48:00-03:00,0.73,PINAMAR
2024-05-10 21:08:00-03:00,1.72,PINAMAR
2024-05-11 05:13:00-03:00,0.42,PINAMAR
2024-05-11 10:16:00-03:00,1.17,PINAMAR
2024-05-11 16:16:00-03:00,0.74,PINAMAR
2024-05-11 21:52:00-03:00,1.74,PINAMAR
2024-05-12 06:19:00-03:00,0.44,PINAMAR
2024-05-12 12:24:00-03:00,1.07,PINAMAR
2024-05-12 16:43:00-03:00,0.74,PINAMAR
2024-05-12 22:36:00-03:00,1.7,PINAMAR
2024-05-13 07:21:00-03:00,0.47,PINAMAR
2024-05-13 13:25:00-03:00,0.99,PINAMAR
2024-05-13 17:12:00-03:00,0.72,PINAMAR
2024-05-13 23:24:00-03:00,1.63,PINAMAR
2024-05-14 08:21:00-03:00,0.49,PINAMAR
2024-05-14 14:16:00-03:00,0.92,PINAMAR
2024-05-14 17:46:00-03:00,0.71,PINAMAR
2024-05-15 00:21:00-03:00,1.52,PINAMAR
