datetime,height,port
2024-06-01 02:20:00-03:00,1.51,PINAMAR
2024-06-01 09:54:00-03:00,0.48,PINAMAR
2024-06-01 14:39:00-03:00,0.94,PINAMAR
2024-06-01 20:44:00-03:00,0.55,PINAMAR
2024-06-02 03:38:00-03:00,1.49,PINAMAR
2024-06-02 10:42:00-03:00,0.52,PINAMAR
2024-06-02 15:49:00-03:00,1.05,PINAMAR
2024-06-02 22:18:00-03:00,0.53,PINAMAR
2024-06-03 04:40:00-03:00,1.47,PINAMAR
2024-06-03 11:30:00-03:00,0.58,PINAMAR
2024-06-03 16:50:00-03:00,1.19,PINAMAR
2024-06-03 23:36:00-03:00,0.49,PINAMAR
2024-06-04 05:34:00-03:00,1.43,PINAMAR
2024-06-04 12:17:00-03:00,0.64,PINAMAR
2024-06-04 17:43:00-03:00,1.35,PINAMAR
2024-06-05 00:48:00-03:00,0.46,PINAMAR
2024-06-05 06:24:00-03:00,1.37,PINAMAR
2024-06-05 13:03:00-03:00,0.69,PINAMAR
2024-06-05 18:33:00-03:00,1.5,PINAMAR
2024-06-06 02:01:00-03:00,0.45,PINAMAR
2024-06-06 07:13:00-03:00,1.28,PINAMAR
2024-06-06 13:46:00-03:00,0.72,PINAMAR
2024-06-06 19:20:00-03:00,1.63,PINAMAR
2024-06-07 03:13:00-03:00,0.44,PINAMAR
2024-06-07 08:02:00-03:00,1.18,PINAMAR
2024-06-07 14:23:00-03:00,0.73,PINAMAR
2024-06-07 20:04:00-03:00,1.7,PINAMAR
2024-06-08 04:20:00-03:00,0.44,PINAMAR
2024-06-08 08:54:00-03:00,1.07,PINAMAR
2024-06-08 14:56:00-03:00,0.72,PINAMAR
2024-06-08 20:48:00-03:00,1.73,PINAMAR
2024-06-09 05:22:00-03:00,0.44,PINAMAR
2024-06-09 09:54:00-03:00,0.97,PINAMAR
2024-06-09 15:27:00-03:00,0.69,PINAMAR
2024-06-09 21:30:00-03:00,1.7,PINAMAR
2024-06-10 06:19:00-03:00,0.44,PINAMAR
2024-06-10 12:15:00-03:00,0.9,PINAMAR
2024-06-10 16:00:00-03:00,0.65,PINAMAR
2024-06-10 22:13:00-03:00,1.64,PINAMAR
2024-06-11 07:11:00-03:00,0.45,PINAMAR
2024-06-11 13:02:00-03:00,0.86,PINAMAR
2024-06-11 16:35:00-03:00,0.62,PINAMAR
2024-06-11 22:57:00-03:00,1.54,PINAMAR
2024-06-12 07:59:00-03:00,0.47,PINAMAR
2024-06-12 13:45:00-03:00,0.83,PINAMAR
2024-06-12 17:15:00-03:00,0.61,PINAMAR
2024-06-12 23:46:00-03:00,1.44,PINAMAR
2024-06-13 08:43:00-03:00,0.49,PINAMAR
2024-06-13 14:26:00-03:00,0.83,PINAMAR
2024-06-13 18:00:00-03:00,0.61,PINAMAR
2024-06-14 00:53:00-03:00,1.34,PINAMAR
2024-06-14 09:23:00-03:00,0.54,PINAMAR
2024-06-14 15:07:00-03:00,0.86,PINAMAR
2024-06-14 18:54:00-03:00,0.64,PINAMAR
2024-06-15 02:46:00-03:00,1.29,PINAMAR
2024-06-15 09:58:00-03:00,0.59,PINAMAR
2024-06-15 15:47:00-03:00,0.91,PINAMAR
2024-06-15 20:01:00-03:00,0.68,PINAMAR
2024-06-16 03:37:00-03:00,1.25,PINAMAR
2024-06-16 10:27:00-03:00,0.64,PINAMAR
2024-06-16 16:24:00-03:00,0.99,PINAMAR
2024-06-16 21:18:00-03:00,0.71,PINAMAR
2024-06-17 04:15:00-03:00,1.23,PINAMAR
2024-06-17 10:53:00-03:00,0.7,PINAMAR
2024-06-17 16:57:00-03:00,1.09,PINAMAR
2024-06-17 22:28:00-03:00,0.72,PINAMAR
2024-06-18 04:48:00-03:00,1.21,PINAMAR
2024-06-18 11:18:00-03:00,0.75,PINAMAR
2024-06-18 17:27:00-03:00,1.2,PINAMAR
2024-06-18 23:28:00-03:00,0.71,PINAMAR
2024-06-19 05:21:00-03:00,1.18,PINAMAR
2024-06-19 11:47:00-03:00,0.79,PINAMAR
2024-06-19 17:58:00-03:00,1.31,PINAMAR
2024-06-20 00:23:00-03:00,0.68,PINAMAR
2024-06-20 05:55:00-03:00,1.14,PINAMAR
2024-06-20 12:20:00-03:00,0.81,PINAMAR
2024-06-20 18:31:00-03:00,1.43,PINAMAR
2024-06-21 01:16:00-03:00,0.65,PINAMAR
2024-06-21 06:32:00-03:00,1.1,PINAMAR
2024-06-21 12:55:00-03:00,0.8,PINAMAR
2024-06-21 19:06:00-03:00,1.54,PINAMAR
2024-06-22 02:12:00-03:00,0.6,PINAMAR
2024-06-22 07:12:00-03:00,1.04,PINAMAR
2024-06-22 13:33:00-03:00,0.76,PINAMAR
2024-06-22 19:44:00-03:00,1.64,PINAMAR
2024-06-23 03:14:00-03:00,0.55,PINAMAR
2024-06-23 07:54:00-03:00,0.98,PINAMAR
2024-06-23 14:12:00-03:00,0.69,PINAMAR
2024-06-23 20:24:00-03:00,1.7,PINAMAR
2024-06-24 04:24:00-03:00,0.5,PINAMAR
2024-06-24 08:39:00-03:00,0.92,PINAMAR
2024-06-24 14:53:00-03:00,0.61,PINAMAR
2024-06-24 21:08:00-03:00,1.73,PINAMAR
2024-06-25 05:27:00-03:00,0.44,PINAMAR
2024-06-25 09:27:00-03:00,0.87,PINAMAR
2024-06-25 15:35:00-03:00,0.53,PINAMAR
2024-06-25 21:54:00-03:00,1.72,PINAMAR
2024-06-26 06:21:00-03:00,0.4,PINAMAR
2024-06-26 10:16:00-03:00,0.85,PINAMAR
2024-06-26 16:21:00-03:00,0.46,PINAMAR
2024-06-26 22:45:00-03:00,1.67,PINAMAR
2024-06-27 07:10:00-03:00,0.38,PINAMAR
2024-06-27 11:08:00-03:00,0.86,PINAMAR
2024-06-27 17:11:00-03:00,0.42,PINAMAR
2024-06-27 23:43:00-03:00,1.59,PINAMAR
2024-06-28 07:56:00-03:00,0.39,PINAMAR
2024-06-28 12:03:00-03:00,0.9,PINAMAR
2024-06-28 18:10:00-03:00,0.42,PINAMAR
2024-06-29 00:53:00-03:00,1.51,PINAMAR
2024-06-29 08:40:00-03:00,0.43,PINAMAR
2024-06-29 13:05:00-03:00,0.96,PINAMAR
2024-06-29 19:26:00-03:00,0.45,PINAMAR
2024-06-30 02:18:00-03:00,1.44,PINAMAR
2024-06-30 09:23:00-03:00,0.5,PINAMAR
2024-06-30 14:16:00-03:00,1.06,PINAMAR
2024-06-30 20:59:00-03:00,0.48,PINAMAR
