datetime,height,port
2024-07-01 03:30:00-03:00,1.39,PINAMAR
2024-07-01 10:06:00-03:00,0.57,PINAMAR
2024-07-01 15:27:00-03:00,1.18,PINAMAR
2024-07-01 22:24:00-03:00,0.49,PINAMAR
2024-07-02 04:28:00-03:00,1.32,PINAMAR
2024-07-02 10:49:00-03:00,0.64,PINAMAR
2024-07-02 16:30:00-03:00,1.32,PINAMAR
2024-07-02 23:44:00-03:00,0.49,PINAMAR
2024-07-03 05:21:00-03:00,1.24,PINAMAR
2024-07-03 11:33:00-03:00,0.69,PINAMAR
2024-07-03 17:26:00-03:00,1.45,PINAMAR
2024-07-04 01:04:00-03:00,0.48,PINAMAR
2024-07-04 06:10:00-03:00,1.15,PINAMAR
2024-07-04 12:17:00-03:00,0.72,PINAMAR
2024-07-04 18:18:00-03:00,1.55,PINAMAR
2024-07-05 02:21:00-03:00,0.46,PINAMAR
2024-07-05 06:59:00-03:00,1.04,PINAMAR
2024-07-05 13:00:00-03:00,0.71,PINAMAR
2024-07-05 19:05:00-03:00,1.62,PINAMAR
2024-07-06 03:29:00-03:00,0.44,PINAMAR
2024-07-06 07:48:00-03:00,0.95,PINAMAR
2024-07-06 13:40:00-03:00,0.69,PINAMAR
2024-07-06 19:49:00-03:00,1.64,PINAMAR
2024-07-07 04:28:00-03:00,0.42,PINAMAR
2024-07-07 08:40:00-03:00,0.87,PINAMAR
2024-07-07 14:18:00-03:00,0.64,PINAMAR
2024-07-07 20:31:00-03:00,1.62,PINAMAR
2024-07-08 05:21:00-03:00,0.4,PINAMAR
2024-07-08 11:09:00-03:00,0.82,PINAMAR
2024-07-08 14:55:00-03:00,0.58,PINAMAR
2024-07-08 21:11:00-03:00,1.56,PINAMAR
2024-07-09 06:08:00-03:00,0.4,PINAMAR
2024-07-09 11:50:00-03:00,0.79,PINAMAR
2024-07-09 15:32:00-03:00,0.54,PINAMAR
2024-07-09 21:50:00-03:00,1.49,PINAMAR
2024-07-10 06:50:00-03:00,0.42,PINAMAR
2024-07-10 12:24:00-03:00,0.78,PINAMAR
2024-07-10 16:11:00-03:00,0.51,PINAMAR
2024-07-10 22:30:00-03:00,1.41,PINAMAR
2024-07-11 07:27:00-03:00,0.44,PINAMAR
2024-07-11 12:54:00-03:00,0.79,PINAMAR
2024-07-11 16:53:00-03:00,0.51,PINAMAR
2024-07-11 23:11:00-03:00,1.34,PINAMAR
2024-07-12 07:59:00-03:00,0.49,PINAMAR
2024-07-12 13:19:00-03:00,0.83,PINAMAR
