datetime,height,port
2024-08-01 05:12:00-03:00,1.03,PINAMAR
2024-08-01 10:48:00-03:00,0.69,PINAMAR
2024-08-01 17:14:00-03:00,1.46,PINAMAR
2024-08-02 01:21:00-03:00,0.45,PINAMAR
2024-08-02 06:03:00-03:00,0.92,PINAMAR
2024-08-02 11:35:00-03:00,0.69,PINAMAR
2024-08-02 18:07:00-03:00,1.5,PINAMAR
2024-08-03 02:33:00-03:00,0.42,PINAMAR
2024-08-03 06:56:00-03:00,0.83,PINAMAR
2024-08-03 12:26:00-03:00,0.65,PINAMAR
2024-08-03 18:55:00-03:00,1.51,PINAMAR
2024-08-04 03:32:00-03:00,0.39,PINAMAR
2024-08-04 09:08:00-03:00,0.77,PINAMAR
2024-08-04 13:14:00-03:00,0.6,PINAMAR
2024-08-04 19:38:00-03:00,1.49,PINAMAR
2024-08-05 04:23:00-03:00,0.37,PINAMAR
2024-08-05 10:06:00-03:00,0.75,PINAMAR
2024-08-05 13:57:00-03:00,0.54,PINAMAR
2024-08-05 20:16:00-03:00,1.45,PINAMAR
2024-08-06 05:06:00-03:00,0.36,PINAMAR
2024-08-06 10:39:00-03:00,0.74,PINAMAR
2024-08-06 14:36:00-03:00,0.48,PINAMAR
2024-08-06 20:52:00-03:00,1.39,PINAMAR
2024-08-07 05:44:00-03:00,0.38,PINAMAR
2024-08-07 10:57:00-03:00,0.75,PINAMAR
2024-08-07 15:14:00-03:00,0.45,PINAMAR
2024-08-07 21:27:00-03:00,1.34,PINAMAR
2024-08-08 06:17:00-03:00,0.41,PINAMAR
2024-08-08 10:18:00-03:00,0.8,PINAMAR
2024-08-08 15:53:00-03:00,0.44,PINAMAR
2024-08-08 22:01:00-03:00,1.29,PINAMAR
2024-08-09 06:45:00-03:00,0.46,PINAMAR
2024-08-09 10:46:00-03:00,0.86,PINAMAR
2024-08-09 16:34:00-03:00,0.46,PINAMAR
2024-08-09 22:37:00-03:00,1.25,PINAMAR
2024-08-10 07:07:00-03:00,0.51,PINAMAR
2024-08-10 11:18:00-03:00,0.93,PINAMAR
2024-08-10 17:17:00-03:00,0.5,PINAMAR
2024-08-10 23:14:00-03:00,1.21,PINAMAR
2024-08-11 07:22:00-03:00,0.57,PINAMAR
2024-08-11 11:53:00-03:00,1.0,PINAMAR
2024-08-11 18:05:00-03:00,0.55,PINAMAR
2024-08-11 23:55:00-03:00,1.17,PINAMAR
2024-08-12 07:35:00-03:00,0.62,PINAMAR
2024-08-12 12:31:00-03:00,1.07,PINAMAR
2024-08-12 19:01:00-03:00,0.6,PINAMAR
2024-08-13 00:41:00-03:00,1.12,PINAMAR
2024-08-13 07:53:00-03:00,0.67,PINAMAR
2024-08-13 13:16:00-03:00,1.14,PINAMAR
2024-08-13 20:10:00-03:00,0.63,PINAMAR
2024-08-14 01:35:00-03:00,1.06,PINAMAR
2024-08-14 08:17:00-03:00,0.7,PINAMAR
2024-08-14 14:15:00-03:00,1.2,PINAMAR
2024-08-14 21:24:00-03:00,0.63,PINAMAR
2024-08-15 02:39:00-03:00,0.99,PINAMAR
2024-08-15 08:45:00-03:00,0.71,PINAMAR
2024-08-15 15:26:00-03:00,1.27,PINAMAR
2024-08-15 22:33:00-03:00,0.6,PINAMAR
2024-08-16 03:43:00-03:00,0.91,PINAMAR
2024-08-16 09:18:00-03:00,0.7,PINAMAR
2024-08-16 16:28:00-03:00,1.36,PINAMAR
2024-08-16 23:40:00-03:00,0.54,PINAMAR
