datetime,height,port
2024-09-01 02:30:00-03:00,0.36,PINAMAR
2024-09-01 07:36:00-03:00,0.72,PINAMAR
2024-09-01 12:05:00-03:00,0.58,PINAMAR
2024-09-01 18:49:00-03:00,1.39,PINAMAR
2024-09-02 03:20:00-03:00,0.35,PINAMAR
2024-09-02 08:52:00-03:00,0.71,PINAMAR
2024-09-02 13:01:00-03:00,0.52,PINAMAR
2024-09-02 19:28:00-03:00,1.34,PINAMAR
2024-09-03 04:03:00-03:00,0.35,PINAMAR
2024-09-03 09:26:00-03:00,0.73,PINAMAR
2024-09-03 13:45:00-03:00,0.47,PINAMAR
2024-09-03 20:01:00-03:00,1.3,PINAMAR
2024-09-04 04:39:00-03:00,0.38,PINAMAR
2024-09-04 09:16:00-03:00,0.77,PINAMAR
2024-09-04 14:23:00-03:00,0.44,PINAMAR
2024-09-04 20:30:00-03:00,1.26,PINAMAR
2024-09-05 05:10:00-03:00,0.42,PINAMAR
2024-09-05 09:15:00-03:00,0.84,PINAMAR
2024-09-05 14:59:00-03:00,0.43,PINAMAR
2024-09-05 20:59:00-03:00,1.23,PINAMAR
2024-09-06 05:35:00-03:00,0.47,PINAMAR
2024-09-06 09:38:00-03:00,0.93,PINAMAR
2024-09-06 15:37:00-03:00,0.44,PINAMAR
2024-09-06 21:30:00-03:00,1.2,PINAMAR
2024-09-07 05:53:00-03:00,0.53,PINAMAR
2024-09-07 10:06:00-03:00,1.02,PINAMAR
2024-09-07 16:16:00-03:00,0.47,PINAMAR
2024-09-07 22:03:00-03:00,1.19,PINAMAR
2024-09-08 06:00:00-03:00,0.58,PINAMAR
2024-09-08 10:36:00-03:00,1.1,PINAMAR
2024-09-08 16:58:00-03:00,0.5,PINAMAR
2024-09-08 22:38:00-03:00,1.16,PINAMAR
2024-09-09 06:04:00-03:00,0.62,PINAMAR
2024-09-09 11:09:00-03:00,1.17,PINAMAR
2024-09-09 17:45:00-03:00,0.55,PINAMAR
2024-09-09 23:16:00-03:00,1.11,PINAMAR
2024-09-10 06:21:00-03:00,0.65,PINAMAR
2024-09-10 11:45:00-03:00,1.23,PINAMAR
2024-09-10 18:42:00-03:00,0.58,PINAMAR
2024-09-10 23:58:00-03:00,1.05,PINAMAR
2024-09-11 06:42:00-03:00,0.67,PINAMAR
2024-09-11 12:26:00-03:00,1.28,PINAMAR
2024-09-11 19:52:00-03:00,0.59,PINAMAR
