datetime,height,port
2024-01-01 03:08:00-03:00,0.82,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-01 09:43:00-03:00,1.51,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-01 16:17:00-03:00,0.53,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-01 22:55:00-03:00,1.24,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-02 03:53:00-03:00,0.82,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-02 10:29:00-03:00,1.41,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-02 16:54:00-03:00,0.63,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-02 23:31:00-03:00,1.23,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-03 04:48:00-03:00,0.81,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-03 11:23:00-03:00,1.31,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-03 17:33:00-03:00,0.73,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-04 00:09:00-03:00,1.25,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-04 05:59:00-03:00,0.79,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-04 12:28:00-03:00,1.23,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-04 18:17:00-03:00,0.8,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-05 00:52:00-03:00,1.28,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-05 07:20:00-03:00,0.73,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-05 13:46:00-03:00,1.18,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-05 19:09:00-03:00,0.86,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-06 01:41:00-03:00,1.34,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-06 08:33:00-03:00,0.65,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-06 15:07:00-03:00,1.17,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-06 20:05:00-03:00,0.88,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-07 02:33:00-03:00,1.42,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-07 09:33:00-03:00,0.54,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-07 16:14:00-03:00,1.19,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-07 20:59:00-03:00,0.87,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-08 03:26:00-03:00,1.51,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-08 10:24:00-03:00,0.42,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-08 17:07:00-03:00,1.24,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-08 21:50:00-03:00,0.84,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-09 04:16:00-03:00,1.61,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-01-09 11:10:00-03:00,0.32,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
