datetime,height,port
2024-11-01 06:05:00-03:00,1.56,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-01 12:18:00-03:00,0.33,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-01 18:57:00-03:00,1.47,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-02 00:13:00-03:00,0.69,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-02 06:27:00-03:00,1.61,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-02 12:49:00-03:00,0.29,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-02 19:30:00-03:00,1.42,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-03 00:34:00-03:00,0.72,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-03 06:51:00-03:00,1.64,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-03 13:21:00-03:00,0.27,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-03 20:04:00-03:00,1.35,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-04 00:58:00-03:00,0.74,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-04 07:18:00-03:00,1.67,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-04 13:57:00-03:00,0.29,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-04 20:40:00-03:00,1.29,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-05 01:26:00-03:00,0.76,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-05 07:50:00-03:00,1.67,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-05 14:37:00-03:00,0.32,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-05 21:20:00-03:00,1.23,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-06 02:00:00-03:00,0.78,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-06 08:30:00-03:00,1.64,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-06 15:24:00-03:00,0.39,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-06 22:10:00-03:00,1.18,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-07 02:43:00-03:00,0.82,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-07 09:20:00-03:00,1.58,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-07 16:20:00-03:00,0.46,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-07 23:10:00-03:00,1.16,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-11-08 03:42:00-03:00,0.85,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
