datetime,height,port
2024-03-01 03:31:00-03:00,0.5,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-01 10:05:00-03:00,1.3,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-01 15:21:00-03:00,0.74,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-01 21:47:00-03:00,1.48,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-02 04:21:00-03:00,0.55,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-02 10:55:00-03:00,1.18,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-02 15:52:00-03:00,0.81,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-02 22:29:00-03:00,1.46,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-03 05:29:00-03:00,0.59,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-03 12:10:00-03:00,1.09,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-03 16:36:00-03:00,0.88,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-03 23:32:00-03:00,1.44,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-04 07:05:00-03:00,0.61,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-04 14:01:00-03:00,1.06,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-04 17:58:00-03:00,0.95,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-05 01:01:00-03:00,1.44,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-05 08:42:00-03:00,0.55,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-05 15:36:00-03:00,1.13,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-05 19:58:00-03:00,0.94,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-06 02:35:00-03:00,1.49,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-06 09:49:00-03:00,0.45,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-06 16:30:00-03:00,1.23,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-06 21:24:00-03:00,0.83,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-07 03:49:00-03:00,1.6,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-07 10:39:00-03:00,0.35,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-07 17:10:00-03:00,1.35,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-07 22:23:00-03:00,0.69,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-08 04:47:00-03:00,1.71,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-08 11:21:00-03:00,0.27,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-03-08 17:46:00-03:00,1.46,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
