datetime,height,port
2024-05-01 06:09:00-03:00,0.51,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-01 12:58:00-03:00,1.19,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-01 17:53:00-03:00,0.88,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-02 00:28:00-03:00,1.47,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-02 07:32:00-03:00,0.51,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-02 14:09:00-03:00,1.27,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-02 19:38:00-03:00,0.79,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-03 01:57:00-03:00,1.49,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-03 08:39:00-03:00,0.48,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-03 15:05:00-03:00,1.38,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-03 20:53:00-03:00,0.64,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-04 03:11:00-03:00,1.55,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-04 09:32:00-03:00,0.45,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-04 15:52:00-03:00,1.5,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-04 21:50:00-03:00,0.48,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-05 04:12:00-03:00,1.62,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-05 10:18:00-03:00,0.43,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-05 16:34:00-03:00,1.61,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-05 22:39:00-03:00,0.33,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-06 05:06:00-03:00,1.67,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-06 11:00:00-03:00,0.43,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-06 17:14:00-03:00,1.7,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-06 23:25:00-03:00,0.2,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-05-07 05:55:00-03:00,1.69,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
