datetime,height,port
2024-06-01 01:28:00-03:00,1.47,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-01 07:52:00-03:00,0.53,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-01 14:16:00-03:00,1.45,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-01 20:25:00-03:00,0.56,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-02 02:44:00-03:00,1.48,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-02 08:51:00-03:00,0.54,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-02 15:09:00-03:00,1.55,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-02 21:27:00-03:00,0.42,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-03 03:51:00-03:00,1.52,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-03 09:42:00-03:00,0.55,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-03 15:58:00-03:00,1.64,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-03 22:22:00-03:00,0.29,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-04 04:51:00-03:00,1.55,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-04 10:29:00-03:00,0.57,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-04 16:44:00-03:00,1.72,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-04 23:12:00-03:00,0.19,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-05 05:45:00-03:00,1.56,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-05 11:13:00-03:00,0.6,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-05 17:28:00-03:00,1.77,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-05 23:59:00-03:00,0.12,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-06 06:35:00-03:00,1.55,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-06 11:54:00-03:00,0.63,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-06 18:11:00-03:00,1.8,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-07 00:45:00-03:00,0.1,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-07 07:24:00-03:00,1.52,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-07 12:34:00-03:00,0.68,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-07 18:53:00-03:00,1.8,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-08 01:30:00-03:00,0.11,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-08 08:12:00-03:00,1.47,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-08 13:14:00-03:00,0.73,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-08 19:35:00-03:00,1.77,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-09 02:16:00-03:00,0.16,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-09 09:00:00-03:00,1.41,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-09 13:54:00-03:00,0.78,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-09 20:18:00-03:00,1.71,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-10 03:03:00-03:00,0.24,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-10 09:48:00-03:00,1.35,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-10 14:35:00-03:00,0.83,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-10 21:04:00-03:00,1.63,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-11 03:52:00-03:00,0.35,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-11 10:37:00-03:00,1.29,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-11 15:21:00-03:00,0.87,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-11 21:53:00-03:00,1.53,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-12 04:44:00-03:00,0.46,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-12 11:28:00-03:00,1.25,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-12 16:17:00-03:00,0.9,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-12 22:48:00-03:00,1.44,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-13 05:40:00-03:00,0.56,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-13 12:21:00-03:00,1.23,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-13 17:30:00-03:00,0.9,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-13 23:52:00-03:00,1.34,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-14 06:39:00-03:00,0.66,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-14 13:11:00-03:00,1.23,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-14 18:57:00-03:00,0.86,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-15 01:06:00-03:00,1.28,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-15 07:35:00-03:00,0.74,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-15 13:58:00-03:00,1.26,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-15 20:11:00-03:00,0.78,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-16 02:23:00-03:00,1.25,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-16 08:22:00-03:00,0.79,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-16 14:40:00-03:00,1.31,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-16 21:08:00-03:00,0.68,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-17 03:33:00-03:00,1.24,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-17 09:01:00-03:00,0.83,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-17 15:17:00-03:00,1.38,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-17 21:55:00-03:00,0.57,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-18 04:30:00-03:00,1.26,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-18 09:36:00-03:00,0.85,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-18 15:53:00-03:00,1.46,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-18 22:36:00-03:00,0.46,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-19 05:17:00-03:00,1.27,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-19 10:09:00-03:00,0.84,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-19 16:29:00-03:00,1.55,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-19 23:14:00-03:00,0.36,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-20 05:57:00-03:00,1.29,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-20 10:43:00-03:00,0.82,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-20 17:06:00-03:00,1.64,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-20 23:52:00-03:00,0.29,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-21 06:35:00-03:00,1.31,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-21 11:20:00-03:00,0.78,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-21 17:45:00-03:00,1.71,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-22 00:31:00-03:00,0.23,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-22 07:12:00-03:00,1.32,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-22 11:59:00-03:00,0.74,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-22 18:26:00-03:00,1.77,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-23 01:10:00-03:00,0.2,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-23 07:49:00-03:00,1.34,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-23 12:40:00-03:00,0.7,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-23 19:10:00-03:00,1.79,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-06-24 01:51:00-03:00,0.2,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
