datetime,height,port
2024-07-01 02:18:00-03:00,1.4,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-01 08:08:00-03:00,0.66,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-01 14:28:00-03:00,1.56,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-01 21:06:00-03:00,0.41,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-02 03:35:00-03:00,1.4,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-02 09:09:00-03:00,0.69,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-02 15:26:00-03:00,1.62,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-02 22:09:00-03:00,0.31,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-03 04:43:00-03:00,1.42,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-03 10:05:00-03:00,0.71,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-03 16:21:00-03:00,1.69,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-03 23:04:00-03:00,0.22,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-04 05:41:00-03:00,1.45,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-04 10:55:00-03:00,0.72,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-04 17:11:00-03:00,1.74,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-04 23:55:00-03:00,0.15,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-05 06:33:00-03:00,1.47,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-05 11:42:00-03:00,0.72,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-05 17:59:00-03:00,1.78,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-06 00:42:00-03:00,0.12,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-06 07:19:00-03:00,1.47,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-06 12:25:00-03:00,0.73,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-06 18:44:00-03:00,1.79,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-07 01:26:00-03:00,0.13,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-07 08:02:00-03:00,1.45,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-07 13:05:00-03:00,0.73,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-07 19:27:00-03:00,1.77,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-08 02:07:00-03:00,0.18,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-08 08:43:00-03:00,1.42,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-08 13:44:00-03:00,0.74,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-08 20:09:00-03:00,1.73,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-09 02:47:00-03:00,0.26,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-09 09:21:00-03:00,1.38,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-09 14:22:00-03:00,0.74,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-09 20:51:00-03:00,1.66,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-10 03:24:00-03:00,0.37,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-10 09:57:00-03:00,1.33,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-10 15:01:00-03:00,0.75,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-10 21:33:00-03:00,1.56,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-11 04:00:00-03:00,0.49,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-11 10:32:00-03:00,1.3,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-11 15:43:00-03:00,0.76,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-11 22:17:00-03:00,1.45,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-12 04:34:00-03:00,0.61,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-12 11:07:00-03:00,1.28,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-12 16:32:00-03:00,0.77,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-12 23:06:00-03:00,1.34,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-13 05:08:00-03:00,0.72,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-13 11:42:00-03:00,1.27,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-13 17:34:00-03:00,0.76,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-14 00:06:00-03:00,1.23,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-14 05:46:00-03:00,0.82,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-14 12:22:00-03:00,1.29,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-14 18:53:00-03:00,0.74,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-15 01:23:00-03:00,1.15,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-15 06:32:00-03:00,0.89,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-15 13:10:00-03:00,1.32,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-15 20:14:00-03:00,0.68,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-16 02:53:00-03:00,1.12,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-16 07:30:00-03:00,0.93,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-16 14:05:00-03:00,1.38,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-16 21:22:00-03:00,0.59,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-17 04:11:00-03:00,1.14,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
2024-07-17 08:32:00-03:00,0.94,"PUERTO ARGENTINO (Isla Soledad, Islas Malvinas)"
