datetime,height,port
2024-10-01 05:31:00-03:00,3.61,PUERTO BELGRANO
2024-10-01 11:43:00-03:00,1.07,PUERTO BELGRANO
2024-10-01 17:46:00-03:00,3.72,PUERTO BELGRANO
2024-10-02 00:13:00-03:00,0.74,PUERTO BELGRANO
2024-10-02 06:19:00-03:00,3.62,PUERTO BELGRANO
2024-10-02 12:35:00-03:00,0.95,PUERTO BELGRANO
2024-10-02 18:29:00-03:00,3.66,PUERTO BELGRANO
2024-10-03 01:04:00-03:00,0.72,PUERTO BELGRANO
2024-10-03 07:01:00-03:00,3.67,PUERTO BELGRANO
2024-10-03 13:20:00-03:00,0.85,PUERTO BELGRANO
2024-10-03 19:13:00-03:00,3.67,PUERTO BELGRANO
2024-10-04 01:49:00-03:00,0.68,PUERTO BELGRANO
2024-10-04 07:40:00-03:00,3.75,PUERTO BELGRANO
2024-10-04 14:01:00-03:00,0.76,PUERTO BELGRANO
2024-10-04 19:58:00-03:00,3.75,PUERTO BELGRANO
2024-10-05 02:28:00-03:00,0.65,PUERTO BELGRANO
2024-10-05 08:17:00-03:00,3.84,PUERTO BELGRANO
2024-10-05 14:40:00-03:00,0.69,PUERTO BELGRANO
2024-10-05 20:42:00-03:00,3.83,PUERTO BELGRANO
2024-10-06 03:03:00-03:00,0.67,PUERTO BELGRANO
2024-10-06 08:52:00-03:00,3.9,PUERTO BELGRANO
2024-10-06 15:17:00-03:00,0.65,PUERTO BELGRANO
2024-10-06 21:22:00-03:00,3.88,PUERTO BELGRANO
2024-10-07 03:34:00-03:00,0.75,PUERTO BELGRANO
2024-10-07 09:22:00-03:00,3.94,PUERTO BELGRANO
2024-10-07 15:51:00-03:00,0.64,PUERTO BELGRANO
2024-10-07 21:56:00-03:00,3.87,PUERTO BELGRANO
2024-10-08 04:01:00-03:00,0.87,PUERTO BELGRANO
2024-10-08 09:45:00-03:00,3.95,PUERTO BELGRANO
2024-10-08 16:24:00-03:00,0.65,PUERTO BELGRANO
2024-10-08 22:25:00-03:00,3.82,PUERTO BELGRANO
2024-10-09 04:27:00-03:00,0.97,PUERTO BELGRANO
2024-10-09 10:06:00-03:00,3.98,PUERTO BELGRANO
2024-10-09 16:59:00-03:00,0.66,PUERTO BELGRANO
2024-10-09 22:53:00-03:00,3.76,PUERTO BELGRANO
2024-10-10 04:56:00-03:00,1.06,PUERTO BELGRANO
2024-10-10 10:31:00-03:00,4.0,PUERTO BELGRANO
2024-10-10 17:37:00-03:00,0.66,PUERTO BELGRANO
2024-10-10 23:25:00-03:00,3.69,PUERTO BELGRANO
2024-10-11 05:32:00-03:00,1.14,PUERTO BELGRANO
2024-10-11 11:08:00-03:00,3.98,PUERTO BELGRANO
2024-10-11 18:21:00-03:00,0.67,PUERTO BELGRANO
2024-10-12 00:06:00-03:00,3.61,PUERTO BELGRANO
2024-10-12 06:18:00-03:00,1.23,PUERTO BELGRANO
2024-10-12 12:02:00-03:00,3.89,PUERTO BELGRANO
2024-10-12 19:11:00-03:00,0.68,PUERTO BELGRANO
2024-10-13 00:59:00-03:00,3.53,PUERTO BELGRANO
2024-10-13 07:14:00-03:00,1.31,PUERTO BELGRANO
2024-10-13 13:15:00-03:00,3.8,PUERTO BELGRANO
2024-10-13 20:05:00-03:00,0.72,PUERTO BELGRANO
2024-10-14 02:01:00-03:00,3.46,PUERTO BELGRANO
2024-10-14 08:19:00-03:00,1.33,PUERTO BELGRANO
2024-10-14 14:30:00-03:00,3.76,PUERTO BELGRANO
2024-10-14 21:01:00-03:00,0.76,PUERTO BELGRANO
2024-10-15 03:07:00-03:00,3.44,PUERTO BELGRANO
2024-10-15 09:28:00-03:00,1.26,PUERTO BELGRANO
2024-10-15 15:33:00-03:00,3.76,PUERTO BELGRANO
2024-10-15 21:59:00-03:00,0.83,PUERTO BELGRANO
2024-10-16 04:09:00-03:00,3.44,PUERTO BELGRANO
2024-10-16 10:33:00-03:00,1.14,PUERTO BELGRANO
2024-10-16 16:29:00-03:00,3.75,PUERTO BELGRANO
