datetime,height,port
2024-11-01 00:25:00-03:00,0.92,PUERTO BELGRANO
2024-11-01 06:17:00-03:00,3.79,PUERTO BELGRANO
2024-11-01 12:47:00-03:00,0.68,PUERTO BELGRANO
2024-11-01 18:45:00-03:00,3.73,PUERTO BELGRANO
2024-11-02 01:16:00-03:00,0.88,PUERTO BELGRANO
2024-11-02 07:03:00-03:00,3.86,PUERTO BELGRANO
2024-11-02 13:34:00-03:00,0.58,PUERTO BELGRANO
2024-11-02 19:40:00-03:00,3.81,PUERTO BELGRANO
2024-11-03 02:01:00-03:00,0.89,PUERTO BELGRANO
2024-11-03 07:45:00-03:00,3.92,PUERTO BELGRANO
2024-11-03 14:17:00-03:00,0.54,PUERTO BELGRANO
2024-11-03 20:29:00-03:00,3.87,PUERTO BELGRANO
2024-11-04 02:40:00-03:00,0.95,PUERTO BELGRANO
2024-11-04 08:22:00-03:00,3.94,PUERTO BELGRANO
2024-11-04 14:57:00-03:00,0.56,PUERTO BELGRANO
2024-11-04 21:08:00-03:00,3.86,PUERTO BELGRANO
2024-11-05 03:11:00-03:00,1.07,PUERTO BELGRANO
2024-11-05 08:50:00-03:00,3.93,PUERTO BELGRANO
2024-11-05 15:31:00-03:00,0.62,PUERTO BELGRANO
2024-11-05 21:38:00-03:00,3.81,PUERTO BELGRANO
2024-11-06 03:35:00-03:00,1.17,PUERTO BELGRANO
2024-11-06 09:12:00-03:00,3.94,PUERTO BELGRANO
2024-11-06 16:02:00-03:00,0.68,PUERTO BELGRANO
2024-11-06 22:02:00-03:00,3.76,PUERTO BELGRANO
2024-11-07 03:59:00-03:00,1.21,PUERTO BELGRANO
2024-11-07 09:33:00-03:00,3.97,PUERTO BELGRANO
2024-11-07 16:33:00-03:00,0.69,PUERTO BELGRANO
2024-11-07 22:26:00-03:00,3.74,PUERTO BELGRANO
2024-11-08 04:28:00-03:00,1.19,PUERTO BELGRANO
2024-11-08 10:02:00-03:00,4.0,PUERTO BELGRANO
2024-11-08 17:09:00-03:00,0.67,PUERTO BELGRANO
2024-11-08 22:56:00-03:00,3.73,PUERTO BELGRANO
2024-11-09 05:06:00-03:00,1.17,PUERTO BELGRANO
2024-11-09 10:43:00-03:00,3.97,PUERTO BELGRANO
2024-11-09 17:51:00-03:00,0.65,PUERTO BELGRANO
2024-11-09 23:36:00-03:00,3.71,PUERTO BELGRANO
2024-11-10 05:54:00-03:00,1.17,PUERTO BELGRANO
2024-11-10 11:41:00-03:00,3.89,PUERTO BELGRANO
2024-11-10 18:38:00-03:00,0.65,PUERTO BELGRANO
2024-11-11 00:25:00-03:00,3.68,PUERTO BELGRANO
2024-11-11 06:51:00-03:00,1.17,PUERTO BELGRANO
2024-11-11 12:53:00-03:00,3.81,PUERTO BELGRANO
2024-11-11 19:29:00-03:00,0.69,PUERTO BELGRANO
2024-11-12 01:22:00-03:00,3.63,PUERTO BELGRANO
2024-11-12 07:54:00-03:00,1.13,PUERTO BELGRANO
2024-11-12 14:07:00-03:00,3.78,PUERTO BELGRANO
2024-11-12 20:23:00-03:00,0.78,PUERTO BELGRANO
2024-11-13 02:24:00-03:00,3.61,PUERTO BELGRANO
2024-11-13 08:59:00-03:00,1.05,PUERTO BELGRANO
2024-11-13 15:10:00-03:00,3.78,PUERTO BELGRANO
2024-11-13 21:20:00-03:00,0.91,PUERTO BELGRANO
2024-11-14 03:26:00-03:00,3.6,PUERTO BELGRANO
2024-11-14 10:01:00-03:00,0.94,PUERTO BELGRANO
2024-11-14 16:09:00-03:00,3.77,PUERTO BELGRANO
2024-11-14 22:19:00-03:00,1.06,PUERTO BELGRANO
2024-11-15 04:24:00-03:00,3.62,PUERTO BELGRANO
2024-11-15 11:02:00-03:00,0.81,PUERTO BELGRANO
2024-11-15 17:09:00-03:00,3.76,PUERTO BELGRANO
2024-11-15 23:21:00-03:00,1.18,PUERTO BELGRANO
2024-11-16 05:17:00-03:00,3.67,PUERTO BELGRANO
2024-11-16 12:00:00-03:00,0.69,PUERTO BELGRANO
2024-11-16 18:12:00-03:00,3.76,PUERTO BELGRANO
2024-11-17 00:21:00-03:00,1.24,PUERTO BELGRANO
2024-11-17 06:06:00-03:00,3.76,PUERTO BELGRANO
2024-11-17 12:56:00-03:00,0.57,PUERTO BELGRANO
2024-11-17 19:17:00-03:00,3.79,PUERTO BELGRANO
2024-11-18 01:16:00-03:00,1.23,PUERTO BELGRANO
2024-11-18 06:52:00-03:00,3.88,PUERTO BELGRANO
2024-11-18 13:51:00-03:00,0.46,PUERTO BELGRANO
2024-11-18 20:15:00-03:00,3.86,PUERTO BELGRANO
2024-11-19 02:06:00-03:00,1.16,PUERTO BELGRANO
2024-11-19 07:38:00-03:00,4.01,PUERTO BELGRANO
2024-11-19 14:43:00-03:00,0.36,PUERTO BELGRANO
2024-11-19 21:04:00-03:00,3.94,PUERTO BELGRANO
2024-11-20 02:52:00-03:00,1.08,PUERTO BELGRANO
2024-11-20 08:24:00-03:00,4.11,PUERTO BELGRANO
2024-11-20 15:33:00-03:00,0.31,PUERTO BELGRANO
2024-11-20 21:46:00-03:00,4.0,PUERTO BELGRANO
2024-11-21 03:37:00-03:00,1.0,PUERTO BELGRANO
2024-11-21 09:14:00-03:00,4.15,PUERTO BELGRANO
2024-11-21 16:22:00-03:00,0.3,PUERTO BELGRANO
2024-11-21 22:28:00-03:00,4.04,PUERTO BELGRANO
2024-11-22 04:23:00-03:00,0.97,PUERTO BELGRANO
2024-11-22 10:10:00-03:00,4.11,PUERTO BELGRANO
2024-11-22 17:11:00-03:00,0.35,PUERTO BELGRANO
2024-11-22 23:13:00-03:00,4.03,PUERTO BELGRANO
2024-11-23 05:13:00-03:00,0.98,PUERTO BELGRANO
2024-11-23 11:15:00-03:00,4.0,PUERTO BELGRANO
2024-11-23 18:00:00-03:00,0.44,PUERTO BELGRANO
2024-11-24 00:01:00-03:00,3.99,PUERTO BELGRANO
2024-11-24 06:07:00-03:00,1.02,PUERTO BELGRANO
2024-11-24 12:25:00-03:00,3.88,PUERTO BELGRANO
2024-11-24 18:50:00-03:00,0.58,PUERTO BELGRANO
2024-11-25 00:53:00-03:00,3.93,PUERTO BELGRANO
2024-11-25 07:08:00-03:00,1.05,PUERTO BELGRANO
2024-11-25 13:30:00-03:00,3.79,PUERTO BELGRANO
2024-11-25 19:42:00-03:00,0.74,PUERTO BELGRANO
2024-11-26 01:48:00-03:00,3.87,PUERTO BELGRANO
2024-11-26 08:13:00-03:00,1.03,PUERTO BELGRANO
2024-11-26 14:29:00-03:00,3.73,PUERTO BELGRANO
2024-11-26 20:37:00-03:00,0.9,PUERTO BELGRANO
2024-11-27 02:46:00-03:00,3.83,PUERTO BELGRANO
2024-11-27 09:19:00-03:00,0.95,PUERTO BELGRANO
2024-11-27 15:26:00-03:00,3.71,PUERTO BELGRANO
2024-11-27 21:38:00-03:00,1.05,PUERTO BELGRANO
2024-11-28 03:45:00-03:00,3.81,PUERTO BELGRANO
2024-11-28 10:21:00-03:00,0.82,PUERTO BELGRANO
2024-11-28 16:22:00-03:00,3.71,PUERTO BELGRANO
2024-11-28 22:43:00-03:00,1.15,PUERTO BELGRANO
2024-11-29 04:43:00-03:00,3.82,PUERTO BELGRANO
2024-11-29 11:19:00-03:00,0.69,PUERTO BELGRANO
2024-11-29 17:22:00-03:00,3.73,PUERTO BELGRANO
2024-11-29 23:47:00-03:00,1.2,PUERTO BELGRANO
2024-11-30 05:38:00-03:00,3.84,PUERTO BELGRANO
2024-11-30 12:13:00-03:00,0.59,PUERTO BELGRANO
2024-11-30 18:25:00-03:00,3.78,PUERTO BELGRANO
