datetime,height,port
2024-07-01 01:20:00-03:00,3.81,PUERTO BELGRANO
2024-07-01 07:11:00-03:00,0.52,PUERTO BELGRANO
2024-07-01 13:43:00-03:00,3.88,PUERTO BELGRANO
2024-07-01 19:55:00-03:00,0.79,PUERTO BELGRANO
2024-07-02 02:17:00-03:00,3.78,PUERTO BELGRANO
2024-07-02 08:01:00-03:00,0.67,PUERTO BELGRANO
2024-07-02 14:41:00-03:00,3.96,PUERTO BELGRANO
2024-07-02 20:54:00-03:00,0.66,PUERTO BELGRANO
2024-07-03 03:14:00-03:00,3.73,PUERTO BELGRANO
2024-07-03 08:56:00-03:00,0.86,PUERTO BELGRANO
2024-07-03 15:40:00-03:00,4.03,PUERTO BELGRANO
2024-07-03 21:55:00-03:00,0.55,PUERTO BELGRANO
2024-07-04 04:15:00-03:00,3.68,PUERTO BELGRANO
2024-07-04 09:57:00-03:00,1.03,PUERTO BELGRANO
2024-07-04 16:39:00-03:00,4.1,PUERTO BELGRANO
2024-07-04 22:58:00-03:00,0.47,PUERTO BELGRANO
2024-07-05 05:21:00-03:00,3.63,PUERTO BELGRANO
2024-07-05 11:03:00-03:00,1.15,PUERTO BELGRANO
2024-07-05 17:34:00-03:00,4.14,PUERTO BELGRANO
2024-07-06 00:00:00-03:00,0.41,PUERTO BELGRANO
2024-07-06 06:27:00-03:00,3.63,PUERTO BELGRANO
2024-07-06 12:09:00-03:00,1.18,PUERTO BELGRANO
2024-07-06 18:26:00-03:00,4.15,PUERTO BELGRANO
2024-07-07 01:01:00-03:00,0.36,PUERTO BELGRANO
2024-07-07 07:28:00-03:00,3.65,PUERTO BELGRANO
2024-07-07 13:09:00-03:00,1.16,PUERTO BELGRANO
2024-07-07 19:15:00-03:00,4.11,PUERTO BELGRANO
2024-07-08 01:58:00-03:00,0.33,PUERTO BELGRANO
2024-07-08 08:20:00-03:00,3.69,PUERTO BELGRANO
2024-07-08 14:02:00-03:00,1.13,PUERTO BELGRANO
2024-07-08 20:01:00-03:00,4.04,PUERTO BELGRANO
2024-07-09 02:49:00-03:00,0.31,PUERTO BELGRANO
2024-07-09 09:04:00-03:00,3.73,PUERTO BELGRANO
