datetime,height,port
2024-08-01 03:01:00-03:00,3.81,PUERTO BELGRANO
2024-08-01 08:34:00-03:00,0.88,PUERTO BELGRANO
2024-08-01 15:31:00-03:00,4.18,PUERTO BELGRANO
2024-08-01 21:38:00-03:00,0.4,PUERTO BELGRANO
2024-08-02 04:05:00-03:00,3.76,PUERTO BELGRANO
2024-08-02 09:40:00-03:00,1.02,PUERTO BELGRANO
2024-08-02 16:33:00-03:00,4.24,PUERTO BELGRANO
2024-08-02 22:44:00-03:00,0.38,PUERTO BELGRANO
2024-08-03 05:10:00-03:00,3.72,PUERTO BELGRANO
2024-08-03 10:53:00-03:00,1.08,PUERTO BELGRANO
2024-08-03 17:31:00-03:00,4.24,PUERTO BELGRANO
2024-08-03 23:50:00-03:00,0.37,PUERTO BELGRANO
2024-08-04 06:14:00-03:00,3.71,PUERTO BELGRANO
2024-08-04 12:03:00-03:00,1.06,PUERTO BELGRANO
2024-08-04 18:25:00-03:00,4.17,PUERTO BELGRANO
2024-08-05 00:52:00-03:00,0.36,PUERTO BELGRANO
2024-08-05 07:13:00-03:00,3.7,PUERTO BELGRANO
2024-08-05 13:04:00-03:00,1.01,PUERTO BELGRANO
2024-08-05 19:15:00-03:00,4.06,PUERTO BELGRANO
2024-08-06 01:49:00-03:00,0.35,PUERTO BELGRANO
2024-08-06 08:03:00-03:00,3.71,PUERTO BELGRANO
2024-08-06 13:56:00-03:00,0.99,PUERTO BELGRANO
2024-08-06 20:01:00-03:00,3.93,PUERTO BELGRANO
2024-08-07 02:38:00-03:00,0.36,PUERTO BELGRANO
2024-08-07 08:46:00-03:00,3.71,PUERTO BELGRANO
2024-08-07 14:41:00-03:00,1.0,PUERTO BELGRANO
2024-08-07 20:42:00-03:00,3.83,PUERTO BELGRANO
2024-08-08 03:19:00-03:00,0.38,PUERTO BELGRANO
2024-08-08 09:22:00-03:00,3.71,PUERTO BELGRANO
2024-08-08 15:21:00-03:00,1.02,PUERTO BELGRANO
2024-08-08 21:19:00-03:00,3.76,PUERTO BELGRANO
2024-08-09 03:55:00-03:00,0.41,PUERTO BELGRANO
2024-08-09 09:54:00-03:00,3.72,PUERTO BELGRANO
2024-08-09 15:56:00-03:00,1.03,PUERTO BELGRANO
2024-08-09 21:53:00-03:00,3.75,PUERTO BELGRANO
2024-08-10 04:26:00-03:00,0.45,PUERTO BELGRANO
2024-08-10 10:21:00-03:00,3.74,PUERTO BELGRANO
2024-08-10 16:31:00-03:00,0.99,PUERTO BELGRANO
2024-08-10 22:26:00-03:00,3.77,PUERTO BELGRANO
2024-08-11 04:55:00-03:00,0.5,PUERTO BELGRANO
2024-08-11 10:47:00-03:00,3.79,PUERTO BELGRANO
2024-08-11 17:08:00-03:00,0.92,PUERTO BELGRANO
2024-08-11 23:00:00-03:00,3.81,PUERTO BELGRANO
2024-08-12 05:26:00-03:00,0.57,PUERTO BELGRANO
2024-08-12 11:14:00-03:00,3.87,PUERTO BELGRANO
2024-08-12 17:49:00-03:00,0.82,PUERTO BELGRANO
2024-08-12 23:39:00-03:00,3.83,PUERTO BELGRANO
2024-08-13 06:01:00-03:00,0.68,PUERTO BELGRANO
2024-08-13 11:47:00-03:00,3.94,PUERTO BELGRANO
2024-08-13 18:36:00-03:00,0.73,PUERTO BELGRANO
2024-08-14 00:26:00-03:00,3.79,PUERTO BELGRANO
2024-08-14 06:41:00-03:00,0.85,PUERTO BELGRANO
2024-08-14 12:32:00-03:00,3.97,PUERTO BELGRANO
2024-08-14 19:28:00-03:00,0.68,PUERTO BELGRANO
2024-08-15 01:19:00-03:00,3.7,PUERTO BELGRANO
2024-08-15 07:29:00-03:00,1.07,PUERTO BELGRANO
2024-08-15 13:30:00-03:00,3.95,PUERTO BELGRANO
2024-08-15 20:26:00-03:00,0.65,PUERTO BELGRANO
2024-08-16 02:21:00-03:00,3.58,PUERTO BELGRANO
2024-08-16 08:27:00-03:00,1.29,PUERTO BELGRANO
2024-08-16 14:38:00-03:00,3.93,PUERTO BELGRANO
2024-08-16 21:28:00-03:00,0.65,PUERTO BELGRANO
2024-08-17 03:27:00-03:00,3.46,PUERTO BELGRANO
2024-08-17 09:36:00-03:00,1.44,PUERTO BELGRANO
2024-08-17 15:44:00-03:00,3.92,PUERTO BELGRANO
2024-08-17 22:31:00-03:00,0.66,PUERTO BELGRANO
2024-08-18 04:35:00-03:00,3.39,PUERTO BELGRANO
2024-08-18 10:48:00-03:00,1.47,PUERTO BELGRANO
2024-08-18 16:42:00-03:00,3.9,PUERTO BELGRANO
2024-08-18 23:33:00-03:00,0.68,PUERTO BELGRANO
2024-08-19 05:39:00-03:00,3.34,PUERTO BELGRANO
2024-08-19 11:52:00-03:00,1.43,PUERTO BELGRANO
2024-08-19 17:33:00-03:00,3.86,PUERTO BELGRANO
2024-08-20 00:30:00-03:00,0.71,PUERTO BELGRANO
2024-08-20 06:36:00-03:00,3.32,PUERTO BELGRANO
2024-08-20 12:45:00-03:00,1.35,PUERTO BELGRANO
2024-08-20 18:21:00-03:00,3.8,PUERTO BELGRANO
2024-08-21 01:22:00-03:00,0.74,PUERTO BELGRANO
2024-08-21 07:25:00-03:00,3.32,PUERTO BELGRANO
2024-08-21 13:32:00-03:00,1.27,PUERTO BELGRANO
2024-08-21 19:08:00-03:00,3.74,PUERTO BELGRANO
2024-08-22 02:08:00-03:00,0.76,PUERTO BELGRANO
2024-08-22 08:06:00-03:00,3.35,PUERTO BELGRANO
2024-08-22 14:16:00-03:00,1.17,PUERTO BELGRANO
2024-08-22 19:57:00-03:00,3.72,PUERTO BELGRANO
2024-08-23 02:49:00-03:00,0.76,PUERTO BELGRANO
2024-08-23 08:41:00-03:00,3.43,PUERTO BELGRANO
2024-08-23 14:59:00-03:00,1.03,PUERTO BELGRANO
2024-08-23 20:50:00-03:00,3.74,PUERTO BELGRANO
2024-08-24 03:28:00-03:00,0.71,PUERTO BELGRANO
2024-08-24 09:14:00-03:00,3.57,PUERTO BELGRANO
2024-08-24 15:43:00-03:00,0.86,PUERTO BELGRANO
2024-08-24 21:46:00-03:00,3.81,PUERTO BELGRANO
2024-08-25 04:06:00-03:00,0.64,PUERTO BELGRANO
2024-08-25 09:48:00-03:00,3.76,PUERTO BELGRANO
