datetime,height,port
2024-09-01 05:00:00-03:00,3.73,PUERTO BELGRANO
2024-09-01 10:51:00-03:00,1.11,PUERTO BELGRANO
2024-09-01 17:23:00-03:00,4.13,PUERTO BELGRANO
2024-09-01 23:41:00-03:00,0.48,PUERTO BELGRANO
2024-09-02 06:02:00-03:00,3.69,PUERTO BELGRANO
2024-09-02 12:01:00-03:00,1.03,PUERTO BELGRANO
2024-09-02 18:16:00-03:00,4.0,PUERTO BELGRANO
2024-09-03 00:41:00-03:00,0.49,PUERTO BELGRANO
2024-09-03 06:56:00-03:00,3.67,PUERTO BELGRANO
2024-09-03 12:58:00-03:00,0.96,PUERTO BELGRANO
2024-09-03 19:03:00-03:00,3.86,PUERTO BELGRANO
2024-09-04 01:34:00-03:00,0.5,PUERTO BELGRANO
2024-09-04 07:41:00-03:00,3.66,PUERTO BELGRANO
2024-09-04 13:45:00-03:00,0.92,PUERTO BELGRANO
2024-09-04 19:45:00-03:00,3.76,PUERTO BELGRANO
2024-09-05 02:19:00-03:00,0.5,PUERTO BELGRANO
2024-09-05 08:19:00-03:00,3.68,PUERTO BELGRANO
2024-09-05 14:26:00-03:00,0.9,PUERTO BELGRANO
2024-09-05 20:24:00-03:00,3.73,PUERTO BELGRANO
2024-09-06 02:57:00-03:00,0.5,PUERTO BELGRANO
2024-09-06 08:53:00-03:00,3.72,PUERTO BELGRANO
2024-09-06 15:03:00-03:00,0.88,PUERTO BELGRANO
2024-09-06 21:01:00-03:00,3.76,PUERTO BELGRANO
2024-09-07 03:30:00-03:00,0.52,PUERTO BELGRANO
2024-09-07 09:23:00-03:00,3.77,PUERTO BELGRANO
2024-09-07 15:36:00-03:00,0.85,PUERTO BELGRANO
2024-09-07 21:36:00-03:00,3.81,PUERTO BELGRANO
2024-09-08 03:59:00-03:00,0.56,PUERTO BELGRANO
2024-09-08 09:50:00-03:00,3.83,PUERTO BELGRANO
2024-09-08 16:09:00-03:00,0.8,PUERTO BELGRANO
2024-09-08 22:09:00-03:00,3.85,PUERTO BELGRANO
2024-09-09 04:26:00-03:00,0.63,PUERTO BELGRANO
2024-09-09 10:13:00-03:00,3.89,PUERTO BELGRANO
2024-09-09 16:44:00-03:00,0.73,PUERTO BELGRANO
2024-09-09 22:40:00-03:00,3.87,PUERTO BELGRANO
2024-09-10 04:55:00-03:00,0.71,PUERTO BELGRANO
2024-09-10 10:37:00-03:00,3.96,PUERTO BELGRANO
2024-09-10 17:22:00-03:00,0.67,PUERTO BELGRANO
2024-09-10 23:14:00-03:00,3.85,PUERTO BELGRANO
2024-09-11 05:27:00-03:00,0.82,PUERTO BELGRANO
2024-09-11 11:07:00-03:00,4.01,PUERTO BELGRANO
2024-09-11 18:05:00-03:00,0.63,PUERTO BELGRANO
2024-09-11 23:54:00-03:00,3.78,PUERTO BELGRANO
2024-09-12 06:05:00-03:00,0.97,PUERTO BELGRANO
2024-09-12 11:48:00-03:00,4.01,PUERTO BELGRANO
2024-09-12 18:54:00-03:00,0.62,PUERTO BELGRANO
2024-09-13 00:43:00-03:00,3.67,PUERTO BELGRANO
2024-09-13 06:52:00-03:00,1.14,PUERTO BELGRANO
2024-09-13 12:45:00-03:00,3.95,PUERTO BELGRANO
2024-09-13 19:48:00-03:00,0.64,PUERTO BELGRANO
2024-09-14 01:41:00-03:00,3.54,PUERTO BELGRANO
2024-09-14 07:49:00-03:00,1.31,PUERTO BELGRANO
2024-09-14 13:57:00-03:00,3.87,PUERTO BELGRANO
2024-09-14 20:46:00-03:00,0.68,PUERTO BELGRANO
2024-09-15 02:47:00-03:00,3.43,PUERTO BELGRANO
2024-09-15 08:56:00-03:00,1.41,PUERTO BELGRANO
2024-09-15 15:08:00-03:00,3.83,PUERTO BELGRANO
