datetime,height,port
2024-01-01 02:27:00-03:00,0.68,PUERTO COMODORO RIVADAVIA
2024-01-01 08:41:00-03:00,5.32,PUERTO COMODORO RIVADAVIA
2024-01-01 14:35:00-03:00,1.35,PUERTO COMODORO RIVADAVIA
2024-01-01 20:36:00-03:00,5.14,PUERTO COMODORO RIVADAVIA
2024-01-02 03:05:00-03:00,0.68,PUERTO COMODORO RIVADAVIA
2024-01-02 09:19:00-03:00,5.23,PUERTO COMODORO RIVADAVIA
2024-01-02 15:17:00-03:00,1.29,PUERTO COMODORO RIVADAVIA
2024-01-02 21:15:00-03:00,5.0,PUERTO COMODORO RIVADAVIA
2024-01-03 03:43:00-03:00,0.74,PUERTO COMODORO RIVADAVIA
2024-01-03 09:57:00-03:00,5.11,PUERTO COMODORO RIVADAVIA
2024-01-03 16:00:00-03:00,1.29,PUERTO COMODORO RIVADAVIA
2024-01-03 21:56:00-03:00,4.84,PUERTO COMODORO RIVADAVIA
2024-01-04 04:23:00-03:00,0.87,PUERTO COMODORO RIVADAVIA
2024-01-04 10:37:00-03:00,4.98,PUERTO COMODORO RIVADAVIA
2024-01-04 16:47:00-03:00,1.34,PUERTO COMODORO RIVADAVIA
2024-01-04 22:41:00-03:00,4.66,PUERTO COMODORO RIVADAVIA
2024-01-05 05:07:00-03:00,1.05,PUERTO COMODORO RIVADAVIA
2024-01-05 11:21:00-03:00,4.84,PUERTO COMODORO RIVADAVIA
2024-01-05 17:40:00-03:00,1.43,PUERTO COMODORO RIVADAVIA
2024-01-05 23:33:00-03:00,4.51,PUERTO COMODORO RIVADAVIA
2024-01-06 05:57:00-03:00,1.27,PUERTO COMODORO RIVADAVIA
2024-01-06 12:09:00-03:00,4.74,PUERTO COMODORO RIVADAVIA
2024-01-06 18:38:00-03:00,1.49,PUERTO COMODORO RIVADAVIA
2024-01-07 00:31:00-03:00,4.42,PUERTO COMODORO RIVADAVIA
2024-01-07 06:52:00-03:00,1.46,PUERTO COMODORO RIVADAVIA
2024-01-07 13:01:00-03:00,4.69,PUERTO COMODORO RIVADAVIA
2024-01-07 19:38:00-03:00,1.5,PUERTO COMODORO RIVADAVIA
2024-01-08 01:34:00-03:00,4.43,PUERTO COMODORO RIVADAVIA
2024-01-08 07:49:00-03:00,1.6,PUERTO COMODORO RIVADAVIA
2024-01-08 13:55:00-03:00,4.72,PUERTO COMODORO RIVADAVIA
2024-01-08 20:37:00-03:00,1.44,PUERTO COMODORO RIVADAVIA
2024-01-09 02:37:00-03:00,4.57,PUERTO COMODORO RIVADAVIA
2024-01-09 08:45:00-03:00,1.69,PUERTO COMODORO RIVADAVIA
2024-01-09 14:49:00-03:00,4.81,PUERTO COMODORO RIVADAVIA
2024-01-09 21:34:00-03:00,1.34,PUERTO COMODORO RIVADAVIA
2024-01-10 03:38:00-03:00,4.78,PUERTO COMODORO RIVADAVIA
