datetime,height,port
2024-11-01 04:55:00-03:00,4.93,PUERTO COMODORO RIVADAVIA
2024-11-01 11:07:00-03:00,0.94,PUERTO COMODORO RIVADAVIA
2024-11-01 17:11:00-03:00,5.27,PUERTO COMODORO RIVADAVIA
2024-11-01 23:33:00-03:00,0.81,PUERTO COMODORO RIVADAVIA
2024-11-02 05:32:00-03:00,5.07,PUERTO COMODORO RIVADAVIA
2024-11-02 11:45:00-03:00,1.01,PUERTO COMODORO RIVADAVIA
2024-11-02 17:44:00-03:00,5.31,PUERTO COMODORO RIVADAVIA
2024-11-03 00:12:00-03:00,0.76,PUERTO COMODORO RIVADAVIA
2024-11-03 06:08:00-03:00,5.15,PUERTO COMODORO RIVADAVIA
2024-11-03 12:23:00-03:00,1.09,PUERTO COMODORO RIVADAVIA
2024-11-03 18:15:00-03:00,5.28,PUERTO COMODORO RIVADAVIA
2024-11-04 00:51:00-03:00,0.75,PUERTO COMODORO RIVADAVIA
2024-11-04 06:43:00-03:00,5.17,PUERTO COMODORO RIVADAVIA
2024-11-04 13:00:00-03:00,1.19,PUERTO COMODORO RIVADAVIA
2024-11-04 18:45:00-03:00,5.22,PUERTO COMODORO RIVADAVIA
2024-11-05 01:28:00-03:00,0.75,PUERTO COMODORO RIVADAVIA
2024-11-05 07:19:00-03:00,5.15,PUERTO COMODORO RIVADAVIA
2024-11-05 13:36:00-03:00,1.28,PUERTO COMODORO RIVADAVIA
2024-11-05 19:16:00-03:00,5.13,PUERTO COMODORO RIVADAVIA
2024-11-06 02:03:00-03:00,0.77,PUERTO COMODORO RIVADAVIA
2024-11-06 07:56:00-03:00,5.08,PUERTO COMODORO RIVADAVIA
2024-11-06 14:08:00-03:00,1.35,PUERTO COMODORO RIVADAVIA
2024-11-06 19:48:00-03:00,5.03,PUERTO COMODORO RIVADAVIA
2024-11-07 02:34:00-03:00,0.79,PUERTO COMODORO RIVADAVIA
2024-11-07 08:34:00-03:00,4.97,PUERTO COMODORO RIVADAVIA
2024-11-07 14:37:00-03:00,1.4,PUERTO COMODORO RIVADAVIA
2024-11-07 20:23:00-03:00,4.9,PUERTO COMODORO RIVADAVIA
2024-11-08 03:03:00-03:00,0.81,PUERTO COMODORO RIVADAVIA
2024-11-08 09:17:00-03:00,4.82,PUERTO COMODORO RIVADAVIA
2024-11-08 15:09:00-03:00,1.44,PUERTO COMODORO RIVADAVIA
2024-11-08 21:03:00-03:00,4.74,PUERTO COMODORO RIVADAVIA
2024-11-09 03:36:00-03:00,0.84,PUERTO COMODORO RIVADAVIA
2024-11-09 10:06:00-03:00,4.66,PUERTO COMODORO RIVADAVIA
2024-11-09 15:51:00-03:00,1.51,PUERTO COMODORO RIVADAVIA
2024-11-09 21:54:00-03:00,4.55,PUERTO COMODORO RIVADAVIA
2024-11-10 04:22:00-03:00,0.92,PUERTO COMODORO RIVADAVIA
2024-11-10 11:05:00-03:00,4.54,PUERTO COMODORO RIVADAVIA
2024-11-10 16:47:00-03:00,1.57,PUERTO COMODORO RIVADAVIA
2024-11-10 22:59:00-03:00,4.4,PUERTO COMODORO RIVADAVIA
2024-11-11 05:25:00-03:00,1.0,PUERTO COMODORO RIVADAVIA
2024-11-11 12:11:00-03:00,4.54,PUERTO COMODORO RIVADAVIA
2024-11-11 17:57:00-03:00,1.58,PUERTO COMODORO RIVADAVIA
2024-11-12 00:15:00-03:00,4.4,PUERTO COMODORO RIVADAVIA
2024-11-12 06:39:00-03:00,1.02,PUERTO COMODORO RIVADAVIA
2024-11-12 13:18:00-03:00,4.71,PUERTO COMODORO RIVADAVIA
2024-11-12 19:14:00-03:00,1.45,PUERTO COMODORO RIVADAVIA
2024-11-13 01:30:00-03:00,4.6,PUERTO COMODORO RIVADAVIA
2024-11-13 07:51:00-03:00,0.95,PUERTO COMODORO RIVADAVIA
2024-11-13 14:20:00-03:00,5.02,PUERTO COMODORO RIVADAVIA
2024-11-13 20:25:00-03:00,1.19,PUERTO COMODORO RIVADAVIA
2024-11-14 02:38:00-03:00,4.96,PUERTO COMODORO RIVADAVIA
2024-11-14 08:54:00-03:00,0.85,PUERTO COMODORO RIVADAVIA
2024-11-14 15:15:00-03:00,5.38,PUERTO COMODORO RIVADAVIA
2024-11-14 21:28:00-03:00,0.9,PUERTO COMODORO RIVADAVIA
2024-11-15 03:39:00-03:00,5.35,PUERTO COMODORO RIVADAVIA
2024-11-15 09:50:00-03:00,0.77,PUERTO COMODORO RIVADAVIA
2024-11-15 16:06:00-03:00,5.7,PUERTO COMODORO RIVADAVIA
2024-11-15 22:25:00-03:00,0.63,PUERTO COMODORO RIVADAVIA
2024-11-16 04:34:00-03:00,5.69,PUERTO COMODORO RIVADAVIA
2024-11-16 10:43:00-03:00,0.76,PUERTO COMODORO RIVADAVIA
2024-11-16 16:53:00-03:00,5.92,PUERTO COMODORO RIVADAVIA
2024-11-16 23:19:00-03:00,0.44,PUERTO COMODORO RIVADAVIA
2024-11-17 05:26:00-03:00,5.91,PUERTO COMODORO RIVADAVIA
2024-11-17 11:33:00-03:00,0.8,PUERTO COMODORO RIVADAVIA
2024-11-17 17:40:00-03:00,6.02,PUERTO COMODORO RIVADAVIA
2024-11-18 00:10:00-03:00,0.31,PUERTO COMODORO RIVADAVIA
2024-11-18 06:17:00-03:00,5.99,PUERTO COMODORO RIVADAVIA
2024-11-18 12:22:00-03:00,0.88,PUERTO COMODORO RIVADAVIA
2024-11-18 18:26:00-03:00,6.0,PUERTO COMODORO RIVADAVIA
2024-11-19 00:59:00-03:00,0.25,PUERTO COMODORO RIVADAVIA
2024-11-19 07:07:00-03:00,5.96,PUERTO COMODORO RIVADAVIA
2024-11-19 13:09:00-03:00,0.97,PUERTO COMODORO RIVADAVIA
2024-11-19 19:12:00-03:00,5.88,PUERTO COMODORO RIVADAVIA
2024-11-20 01:46:00-03:00,0.26,PUERTO COMODORO RIVADAVIA
2024-11-20 07:56:00-03:00,5.82,PUERTO COMODORO RIVADAVIA
2024-11-20 13:55:00-03:00,1.07,PUERTO COMODORO RIVADAVIA
2024-11-20 19:57:00-03:00,5.66,PUERTO COMODORO RIVADAVIA
2024-11-21 02:31:00-03:00,0.32,PUERTO COMODORO RIVADAVIA
2024-11-21 08:45:00-03:00,5.59,PUERTO COMODORO RIVADAVIA
2024-11-21 14:39:00-03:00,1.17,PUERTO COMODORO RIVADAVIA
2024-11-21 20:43:00-03:00,5.37,PUERTO COMODORO RIVADAVIA
2024-11-22 03:16:00-03:00,0.46,PUERTO COMODORO RIVADAVIA
2024-11-22 09:34:00-03:00,5.31,PUERTO COMODORO RIVADAVIA
2024-11-22 15:25:00-03:00,1.29,PUERTO COMODORO RIVADAVIA
2024-11-22 21:31:00-03:00,5.04,PUERTO COMODORO RIVADAVIA
2024-11-23 04:02:00-03:00,0.64,PUERTO COMODORO RIVADAVIA
2024-11-23 10:26:00-03:00,5.01,PUERTO COMODORO RIVADAVIA
2024-11-23 16:15:00-03:00,1.43,PUERTO COMODORO RIVADAVIA
2024-11-23 22:24:00-03:00,4.69,PUERTO COMODORO RIVADAVIA
2024-11-24 04:53:00-03:00,0.86,PUERTO COMODORO RIVADAVIA
2024-11-24 11:23:00-03:00,4.77,PUERTO COMODORO RIVADAVIA
2024-11-24 17:12:00-03:00,1.55,PUERTO COMODORO RIVADAVIA
2024-11-24 23:24:00-03:00,4.4,PUERTO COMODORO RIVADAVIA
2024-11-25 05:51:00-03:00,1.06,PUERTO COMODORO RIVADAVIA
2024-11-25 12:23:00-03:00,4.62,PUERTO COMODORO RIVADAVIA
2024-11-25 18:18:00-03:00,1.6,PUERTO COMODORO RIVADAVIA
2024-11-26 00:33:00-03:00,4.24,PUERTO COMODORO RIVADAVIA
2024-11-26 06:54:00-03:00,1.19,PUERTO COMODORO RIVADAVIA
2024-11-26 13:24:00-03:00,4.62,PUERTO COMODORO RIVADAVIA
2024-11-26 19:27:00-03:00,1.54,PUERTO COMODORO RIVADAVIA
2024-11-27 01:42:00-03:00,4.26,PUERTO COMODORO RIVADAVIA
2024-11-27 07:56:00-03:00,1.25,PUERTO COMODORO RIVADAVIA
2024-11-27 14:20:00-03:00,4.72,PUERTO COMODORO RIVADAVIA
2024-11-27 20:32:00-03:00,1.38,PUERTO COMODORO RIVADAVIA
2024-11-28 02:43:00-03:00,4.41,PUERTO COMODORO RIVADAVIA
2024-11-28 08:51:00-03:00,1.26,PUERTO COMODORO RIVADAVIA
2024-11-28 15:10:00-03:00,4.88,PUERTO COMODORO RIVADAVIA
2024-11-28 21:27:00-03:00,1.21,PUERTO COMODORO RIVADAVIA
2024-11-29 03:35:00-03:00,4.62,PUERTO COMODORO RIVADAVIA
2024-11-29 09:41:00-03:00,1.27,PUERTO COMODORO RIVADAVIA
2024-11-29 15:53:00-03:00,5.03,PUERTO COMODORO RIVADAVIA
2024-11-29 22:17:00-03:00,1.06,PUERTO COMODORO RIVADAVIA
2024-11-30 04:21:00-03:00,4.83,PUERTO COMODORO RIVADAVIA
2024-11-30 10:27:00-03:00,1.31,PUERTO COMODORO RIVADAVIA
2024-11-30 16:33:00-03:00,5.13,PUERTO COMODORO RIVADAVIA
2024-11-30 23:03:00-03:00,0.96,PUERTO COMODORO RIVADAVIA
