datetime,height,port
2024-02-01 03:19:00-03:00,0.74,PUERTO COMODORO RIVADAVIA
2024-02-01 09:22:00-03:00,5.27,PUERTO COMODORO RIVADAVIA
2024-02-01 15:37:00-03:00,1.11,PUERTO COMODORO RIVADAVIA
2024-02-01 21:27:00-03:00,5.07,PUERTO COMODORO RIVADAVIA
2024-02-02 03:52:00-03:00,0.85,PUERTO COMODORO RIVADAVIA
2024-02-02 09:55:00-03:00,5.15,PUERTO COMODORO RIVADAVIA
2024-02-02 16:15:00-03:00,1.16,PUERTO COMODORO RIVADAVIA
2024-02-02 22:06:00-03:00,4.92,PUERTO COMODORO RIVADAVIA
2024-02-03 04:27:00-03:00,1.03,PUERTO COMODORO RIVADAVIA
2024-02-03 10:32:00-03:00,5.0,PUERTO COMODORO RIVADAVIA
2024-02-03 16:57:00-03:00,1.26,PUERTO COMODORO RIVADAVIA
2024-02-03 22:51:00-03:00,4.74,PUERTO COMODORO RIVADAVIA
2024-02-04 05:06:00-03:00,1.26,PUERTO COMODORO RIVADAVIA
2024-02-04 11:13:00-03:00,4.82,PUERTO COMODORO RIVADAVIA
2024-02-04 17:45:00-03:00,1.38,PUERTO COMODORO RIVADAVIA
2024-02-04 23:45:00-03:00,4.57,PUERTO COMODORO RIVADAVIA
2024-02-05 05:55:00-03:00,1.49,PUERTO COMODORO RIVADAVIA
2024-02-05 12:02:00-03:00,4.67,PUERTO COMODORO RIVADAVIA
2024-02-05 18:42:00-03:00,1.46,PUERTO COMODORO RIVADAVIA
2024-02-06 00:48:00-03:00,4.47,PUERTO COMODORO RIVADAVIA
2024-02-06 06:51:00-03:00,1.68,PUERTO COMODORO RIVADAVIA
2024-02-06 13:01:00-03:00,4.59,PUERTO COMODORO RIVADAVIA
2024-02-06 19:43:00-03:00,1.46,PUERTO COMODORO RIVADAVIA
2024-02-07 01:57:00-03:00,4.5,PUERTO COMODORO RIVADAVIA
2024-02-07 07:52:00-03:00,1.78,PUERTO COMODORO RIVADAVIA
2024-02-07 14:05:00-03:00,4.63,PUERTO COMODORO RIVADAVIA
2024-02-07 20:46:00-03:00,1.37,PUERTO COMODORO RIVADAVIA
2024-02-08 03:05:00-03:00,4.68,PUERTO COMODORO RIVADAVIA
2024-02-08 08:52:00-03:00,1.78,PUERTO COMODORO RIVADAVIA
2024-02-08 15:09:00-03:00,4.8,PUERTO COMODORO RIVADAVIA
2024-02-08 21:50:00-03:00,1.21,PUERTO COMODORO RIVADAVIA
2024-02-09 04:09:00-03:00,4.96,PUERTO COMODORO RIVADAVIA
2024-02-09 09:54:00-03:00,1.7,PUERTO COMODORO RIVADAVIA
2024-02-09 16:10:00-03:00,5.06,PUERTO COMODORO RIVADAVIA
2024-02-09 22:55:00-03:00,0.99,PUERTO COMODORO RIVADAVIA
2024-02-10 05:06:00-03:00,5.27,PUERTO COMODORO RIVADAVIA
2024-02-10 10:59:00-03:00,1.55,PUERTO COMODORO RIVADAVIA
2024-02-10 17:07:00-03:00,5.36,PUERTO COMODORO RIVADAVIA
2024-02-10 23:55:00-03:00,0.74,PUERTO COMODORO RIVADAVIA
2024-02-11 05:57:00-03:00,5.58,PUERTO COMODORO RIVADAVIA
2024-02-11 12:01:00-03:00,1.33,PUERTO COMODORO RIVADAVIA
2024-02-11 18:00:00-03:00,5.67,PUERTO COMODORO RIVADAVIA
2024-02-12 00:49:00-03:00,0.49,PUERTO COMODORO RIVADAVIA
2024-02-12 06:45:00-03:00,5.84,PUERTO COMODORO RIVADAVIA
2024-02-12 12:57:00-03:00,1.07,PUERTO COMODORO RIVADAVIA
2024-02-12 18:50:00-03:00,5.92,PUERTO COMODORO RIVADAVIA
2024-02-13 01:36:00-03:00,0.29,PUERTO COMODORO RIVADAVIA
2024-02-13 07:30:00-03:00,6.03,PUERTO COMODORO RIVADAVIA
2024-02-13 13:47:00-03:00,0.82,PUERTO COMODORO RIVADAVIA
2024-02-13 19:38:00-03:00,6.09,PUERTO COMODORO RIVADAVIA
2024-02-14 02:19:00-03:00,0.17,PUERTO COMODORO RIVADAVIA
2024-02-14 08:15:00-03:00,6.12,PUERTO COMODORO RIVADAVIA
2024-02-14 14:32:00-03:00,0.62,PUERTO COMODORO RIVADAVIA
2024-02-14 20:25:00-03:00,6.13,PUERTO COMODORO RIVADAVIA
2024-02-15 03:00:00-03:00,0.18,PUERTO COMODORO RIVADAVIA
2024-02-15 08:58:00-03:00,6.08,PUERTO COMODORO RIVADAVIA
2024-02-15 15:17:00-03:00,0.53,PUERTO COMODORO RIVADAVIA
2024-02-15 21:13:00-03:00,6.01,PUERTO COMODORO RIVADAVIA
2024-02-16 03:40:00-03:00,0.32,PUERTO COMODORO RIVADAVIA
2024-02-16 09:42:00-03:00,5.91,PUERTO COMODORO RIVADAVIA
2024-02-16 16:03:00-03:00,0.56,PUERTO COMODORO RIVADAVIA
2024-02-16 22:03:00-03:00,5.75,PUERTO COMODORO RIVADAVIA
2024-02-17 04:23:00-03:00,0.59,PUERTO COMODORO RIVADAVIA
2024-02-17 10:29:00-03:00,5.62,PUERTO COMODORO RIVADAVIA
2024-02-17 16:53:00-03:00,0.7,PUERTO COMODORO RIVADAVIA
2024-02-17 22:57:00-03:00,5.39,PUERTO COMODORO RIVADAVIA
2024-02-18 05:11:00-03:00,0.94,PUERTO COMODORO RIVADAVIA
2024-02-18 11:20:00-03:00,5.27,PUERTO COMODORO RIVADAVIA
2024-02-18 17:48:00-03:00,0.91,PUERTO COMODORO RIVADAVIA
2024-02-18 23:59:00-03:00,5.01,PUERTO COMODORO RIVADAVIA
2024-02-19 06:05:00-03:00,1.3,PUERTO COMODORO RIVADAVIA
2024-02-19 12:19:00-03:00,4.93,PUERTO COMODORO RIVADAVIA
2024-02-19 18:49:00-03:00,1.1,PUERTO COMODORO RIVADAVIA
2024-02-20 01:11:00-03:00,4.74,PUERTO COMODORO RIVADAVIA
2024-02-20 07:03:00-03:00,1.6,PUERTO COMODORO RIVADAVIA
2024-02-20 13:27:00-03:00,4.7,PUERTO COMODORO RIVADAVIA
2024-02-20 19:55:00-03:00,1.23,PUERTO COMODORO RIVADAVIA
2024-02-21 02:26:00-03:00,4.65,PUERTO COMODORO RIVADAVIA
2024-02-21 08:05:00-03:00,1.79,PUERTO COMODORO RIVADAVIA
2024-02-21 14:41:00-03:00,4.63,PUERTO COMODORO RIVADAVIA
2024-02-21 21:03:00-03:00,1.25,PUERTO COMODORO RIVADAVIA
2024-02-22 03:34:00-03:00,4.73,PUERTO COMODORO RIVADAVIA
2024-02-22 09:08:00-03:00,1.84,PUERTO COMODORO RIVADAVIA
2024-02-22 15:47:00-03:00,4.71,PUERTO COMODORO RIVADAVIA
2024-02-22 22:13:00-03:00,1.2,PUERTO COMODORO RIVADAVIA
2024-02-23 04:30:00-03:00,4.88,PUERTO COMODORO RIVADAVIA
2024-02-23 10:10:00-03:00,1.8,PUERTO COMODORO RIVADAVIA
2024-02-23 16:41:00-03:00,4.84,PUERTO COMODORO RIVADAVIA
2024-02-23 23:12:00-03:00,1.11,PUERTO COMODORO RIVADAVIA
2024-02-24 05:18:00-03:00,5.03,PUERTO COMODORO RIVADAVIA
2024-02-24 11:08:00-03:00,1.7,PUERTO COMODORO RIVADAVIA
2024-02-24 17:27:00-03:00,4.97,PUERTO COMODORO RIVADAVIA
2024-02-24 23:58:00-03:00,1.02,PUERTO COMODORO RIVADAVIA
2024-02-25 06:01:00-03:00,5.15,PUERTO COMODORO RIVADAVIA
2024-02-25 11:58:00-03:00,1.56,PUERTO COMODORO RIVADAVIA
2024-02-25 18:07:00-03:00,5.07,PUERTO COMODORO RIVADAVIA
2024-02-26 00:37:00-03:00,0.95,PUERTO COMODORO RIVADAVIA
2024-02-26 06:38:00-03:00,5.25,PUERTO COMODORO RIVADAVIA
2024-02-26 12:42:00-03:00,1.4,PUERTO COMODORO RIVADAVIA
2024-02-26 18:43:00-03:00,5.15,PUERTO COMODORO RIVADAVIA
2024-02-27 01:13:00-03:00,0.89,PUERTO COMODORO RIVADAVIA
2024-02-27 07:13:00-03:00,5.31,PUERTO COMODORO RIVADAVIA
2024-02-27 13:23:00-03:00,1.25,PUERTO COMODORO RIVADAVIA
2024-02-27 19:17:00-03:00,5.21,PUERTO COMODORO RIVADAVIA
2024-02-28 01:48:00-03:00,0.85,PUERTO COMODORO RIVADAVIA
2024-02-28 07:45:00-03:00,5.33,PUERTO COMODORO RIVADAVIA
2024-02-28 14:01:00-03:00,1.12,PUERTO COMODORO RIVADAVIA
2024-02-28 19:51:00-03:00,5.24,PUERTO COMODORO RIVADAVIA
2024-02-29 02:21:00-03:00,0.84,PUERTO COMODORO RIVADAVIA
2024-02-29 08:15:00-03:00,5.33,PUERTO COMODORO RIVADAVIA
2024-02-29 14:38:00-03:00,1.04,PUERTO COMODORO RIVADAVIA
2024-02-29 20:24:00-03:00,5.24,PUERTO COMODORO RIVADAVIA
