datetime,height,port
2024-03-01 02:54:00-03:00,0.88,PUERTO COMODORO RIVADAVIA
2024-03-01 08:45:00-03:00,5.27,PUERTO COMODORO RIVADAVIA
2024-03-01 15:12:00-03:00,1.01,PUERTO COMODORO RIVADAVIA
2024-03-01 20:59:00-03:00,5.18,PUERTO COMODORO RIVADAVIA
2024-03-02 03:23:00-03:00,0.98,PUERTO COMODORO RIVADAVIA
2024-03-02 09:15:00-03:00,5.17,PUERTO COMODORO RIVADAVIA
2024-03-02 15:45:00-03:00,1.05,PUERTO COMODORO RIVADAVIA
2024-03-02 21:36:00-03:00,5.05,PUERTO COMODORO RIVADAVIA
2024-03-03 03:52:00-03:00,1.13,PUERTO COMODORO RIVADAVIA
2024-03-03 09:48:00-03:00,5.02,PUERTO COMODORO RIVADAVIA
2024-03-03 16:17:00-03:00,1.13,PUERTO COMODORO RIVADAVIA
2024-03-03 22:19:00-03:00,4.87,PUERTO COMODORO RIVADAVIA
2024-03-04 04:26:00-03:00,1.31,PUERTO COMODORO RIVADAVIA
2024-03-04 10:26:00-03:00,4.83,PUERTO COMODORO RIVADAVIA
2024-03-04 16:58:00-03:00,1.23,PUERTO COMODORO RIVADAVIA
2024-03-04 23:11:00-03:00,4.66,PUERTO COMODORO RIVADAVIA
2024-03-05 05:12:00-03:00,1.5,PUERTO COMODORO RIVADAVIA
2024-03-05 11:16:00-03:00,4.64,PUERTO COMODORO RIVADAVIA
2024-03-05 17:52:00-03:00,1.33,PUERTO COMODORO RIVADAVIA
2024-03-06 00:15:00-03:00,4.51,PUERTO COMODORO RIVADAVIA
2024-03-06 06:10:00-03:00,1.66,PUERTO COMODORO RIVADAVIA
2024-03-06 12:20:00-03:00,4.5,PUERTO COMODORO RIVADAVIA
2024-03-06 18:57:00-03:00,1.35,PUERTO COMODORO RIVADAVIA
2024-03-07 01:27:00-03:00,4.5,PUERTO COMODORO RIVADAVIA
2024-03-07 07:14:00-03:00,1.73,PUERTO COMODORO RIVADAVIA
2024-03-07 13:33:00-03:00,4.53,PUERTO COMODORO RIVADAVIA
2024-03-07 20:06:00-03:00,1.28,PUERTO COMODORO RIVADAVIA
2024-03-08 02:39:00-03:00,4.69,PUERTO COMODORO RIVADAVIA
2024-03-08 08:20:00-03:00,1.68,PUERTO COMODORO RIVADAVIA
2024-03-08 14:45:00-03:00,4.75,PUERTO COMODORO RIVADAVIA
2024-03-08 21:15:00-03:00,1.11,PUERTO COMODORO RIVADAVIA
2024-03-09 03:44:00-03:00,5.01,PUERTO COMODORO RIVADAVIA
2024-03-09 09:25:00-03:00,1.53,PUERTO COMODORO RIVADAVIA
2024-03-09 15:50:00-03:00,5.1,PUERTO COMODORO RIVADAVIA
2024-03-09 22:24:00-03:00,0.89,PUERTO COMODORO RIVADAVIA
2024-03-10 04:40:00-03:00,5.37,PUERTO COMODORO RIVADAVIA
2024-03-10 10:32:00-03:00,1.32,PUERTO COMODORO RIVADAVIA
2024-03-10 16:48:00-03:00,5.48,PUERTO COMODORO RIVADAVIA
2024-03-10 23:28:00-03:00,0.67,PUERTO COMODORO RIVADAVIA
2024-03-11 05:31:00-03:00,5.7,PUERTO COMODORO RIVADAVIA
2024-03-11 11:37:00-03:00,1.07,PUERTO COMODORO RIVADAVIA
2024-03-11 17:41:00-03:00,5.83,PUERTO COMODORO RIVADAVIA
2024-03-12 00:23:00-03:00,0.47,PUERTO COMODORO RIVADAVIA
2024-03-12 06:19:00-03:00,5.97,PUERTO COMODORO RIVADAVIA
2024-03-12 12:36:00-03:00,0.81,PUERTO COMODORO RIVADAVIA
2024-03-12 18:32:00-03:00,6.09,PUERTO COMODORO RIVADAVIA
2024-03-13 01:12:00-03:00,0.35,PUERTO COMODORO RIVADAVIA
2024-03-13 07:04:00-03:00,6.13,PUERTO COMODORO RIVADAVIA
2024-03-13 13:27:00-03:00,0.58,PUERTO COMODORO RIVADAVIA
2024-03-13 19:20:00-03:00,6.23,PUERTO COMODORO RIVADAVIA
2024-03-14 01:55:00-03:00,0.31,PUERTO COMODORO RIVADAVIA
2024-03-14 07:48:00-03:00,6.18,PUERTO COMODORO RIVADAVIA
2024-03-14 14:13:00-03:00,0.42,PUERTO COMODORO RIVADAVIA
2024-03-14 20:08:00-03:00,6.22,PUERTO COMODORO RIVADAVIA
2024-03-15 02:36:00-03:00,0.37,PUERTO COMODORO RIVADAVIA
2024-03-15 08:31:00-03:00,6.09,PUERTO COMODORO RIVADAVIA
2024-03-15 14:57:00-03:00,0.37,PUERTO COMODORO RIVADAVIA
2024-03-15 20:56:00-03:00,6.06,PUERTO COMODORO RIVADAVIA
2024-03-16 03:17:00-03:00,0.54,PUERTO COMODORO RIVADAVIA
2024-03-16 09:14:00-03:00,5.87,PUERTO COMODORO RIVADAVIA
2024-03-16 15:42:00-03:00,0.44,PUERTO COMODORO RIVADAVIA
2024-03-16 21:45:00-03:00,5.76,PUERTO COMODORO RIVADAVIA
2024-03-17 03:59:00-03:00,0.8,PUERTO COMODORO RIVADAVIA
2024-03-17 10:00:00-03:00,5.53,PUERTO COMODORO RIVADAVIA
2024-03-17 16:29:00-03:00,0.61,PUERTO COMODORO RIVADAVIA
2024-03-17 22:38:00-03:00,5.37,PUERTO COMODORO RIVADAVIA
2024-03-18 04:44:00-03:00,1.11,PUERTO COMODORO RIVADAVIA
2024-03-18 10:49:00-03:00,5.13,PUERTO COMODORO RIVADAVIA
2024-03-18 17:21:00-03:00,0.85,PUERTO COMODORO RIVADAVIA
2024-03-18 23:38:00-03:00,4.97,PUERTO COMODORO RIVADAVIA
2024-03-19 05:36:00-03:00,1.42,PUERTO COMODORO RIVADAVIA
2024-03-19 11:48:00-03:00,4.74,PUERTO COMODORO RIVADAVIA
2024-03-19 18:20:00-03:00,1.09,PUERTO COMODORO RIVADAVIA
2024-03-20 00:47:00-03:00,4.68,PUERTO COMODORO RIVADAVIA
2024-03-20 06:35:00-03:00,1.66,PUERTO COMODORO RIVADAVIA
2024-03-20 12:59:00-03:00,4.48,PUERTO COMODORO RIVADAVIA
2024-03-20 19:25:00-03:00,1.24,PUERTO COMODORO RIVADAVIA
2024-03-21 02:01:00-03:00,4.58,PUERTO COMODORO RIVADAVIA
2024-03-21 07:38:00-03:00,1.78,PUERTO COMODORO RIVADAVIA
2024-03-21 14:16:00-03:00,4.43,PUERTO COMODORO RIVADAVIA
2024-03-21 20:34:00-03:00,1.27,PUERTO COMODORO RIVADAVIA
2024-03-22 03:06:00-03:00,4.66,PUERTO COMODORO RIVADAVIA
2024-03-22 08:44:00-03:00,1.76,PUERTO COMODORO RIVADAVIA
2024-03-22 15:22:00-03:00,4.55,PUERTO COMODORO RIVADAVIA
2024-03-22 21:41:00-03:00,1.21,PUERTO COMODORO RIVADAVIA
2024-03-23 04:00:00-03:00,4.83,PUERTO COMODORO RIVADAVIA
2024-03-23 09:47:00-03:00,1.64,PUERTO COMODORO RIVADAVIA
