datetime,height,port
2024-04-01 03:24:00-03:00,1.33,PUERTO COMODORO RIVADAVIA
2024-04-01 09:12:00-03:00,4.97,PUERTO COMODORO RIVADAVIA
2024-04-01 15:46:00-03:00,1.06,PUERTO COMODORO RIVADAVIA
2024-04-01 21:57:00-03:00,4.92,PUERTO COMODORO RIVADAVIA
2024-04-02 03:58:00-03:00,1.43,PUERTO COMODORO RIVADAVIA
2024-04-02 09:53:00-03:00,4.79,PUERTO COMODORO RIVADAVIA
2024-04-02 16:25:00-03:00,1.12,PUERTO COMODORO RIVADAVIA
2024-04-02 22:50:00-03:00,4.73,PUERTO COMODORO RIVADAVIA
2024-04-03 04:46:00-03:00,1.55,PUERTO COMODORO RIVADAVIA
2024-04-03 10:48:00-03:00,4.6,PUERTO COMODORO RIVADAVIA
2024-04-03 17:21:00-03:00,1.19,PUERTO COMODORO RIVADAVIA
2024-04-03 23:55:00-03:00,4.6,PUERTO COMODORO RIVADAVIA
2024-04-04 05:45:00-03:00,1.63,PUERTO COMODORO RIVADAVIA
2024-04-04 11:57:00-03:00,4.49,PUERTO COMODORO RIVADAVIA
2024-04-04 18:29:00-03:00,1.21,PUERTO COMODORO RIVADAVIA
2024-04-05 01:07:00-03:00,4.63,PUERTO COMODORO RIVADAVIA
2024-04-05 06:52:00-03:00,1.63,PUERTO COMODORO RIVADAVIA
2024-04-05 13:13:00-03:00,4.57,PUERTO COMODORO RIVADAVIA
2024-04-05 19:39:00-03:00,1.13,PUERTO COMODORO RIVADAVIA
2024-04-06 02:16:00-03:00,4.85,PUERTO COMODORO RIVADAVIA
2024-04-06 07:59:00-03:00,1.5,PUERTO COMODORO RIVADAVIA
2024-04-06 14:25:00-03:00,4.85,PUERTO COMODORO RIVADAVIA
2024-04-06 20:47:00-03:00,0.98,PUERTO COMODORO RIVADAVIA
2024-04-07 03:17:00-03:00,5.18,PUERTO COMODORO RIVADAVIA
2024-04-07 09:05:00-03:00,1.3,PUERTO COMODORO RIVADAVIA
2024-04-07 15:30:00-03:00,5.24,PUERTO COMODORO RIVADAVIA
2024-04-07 21:52:00-03:00,0.82,PUERTO COMODORO RIVADAVIA
2024-04-08 04:12:00-03:00,5.53,PUERTO COMODORO RIVADAVIA
2024-04-08 10:09:00-03:00,1.07,PUERTO COMODORO RIVADAVIA
2024-04-08 16:27:00-03:00,5.62,PUERTO COMODORO RIVADAVIA
2024-04-08 22:52:00-03:00,0.69,PUERTO COMODORO RIVADAVIA
2024-04-09 05:01:00-03:00,5.83,PUERTO COMODORO RIVADAVIA
2024-04-09 11:11:00-03:00,0.84,PUERTO COMODORO RIVADAVIA
2024-04-09 17:20:00-03:00,5.93,PUERTO COMODORO RIVADAVIA
2024-04-09 23:48:00-03:00,0.62,PUERTO COMODORO RIVADAVIA
2024-04-10 05:48:00-03:00,6.03,PUERTO COMODORO RIVADAVIA
2024-04-10 12:08:00-03:00,0.64,PUERTO COMODORO RIVADAVIA
2024-04-10 18:11:00-03:00,6.13,PUERTO COMODORO RIVADAVIA
2024-04-11 00:38:00-03:00,0.62,PUERTO COMODORO RIVADAVIA
2024-04-11 06:34:00-03:00,6.11,PUERTO COMODORO RIVADAVIA
2024-04-11 13:00:00-03:00,0.5,PUERTO COMODORO RIVADAVIA
2024-04-11 19:00:00-03:00,6.2,PUERTO COMODORO RIVADAVIA
2024-04-12 01:24:00-03:00,0.67,PUERTO COMODORO RIVADAVIA
2024-04-12 07:19:00-03:00,6.08,PUERTO COMODORO RIVADAVIA
2024-04-12 13:48:00-03:00,0.42,PUERTO COMODORO RIVADAVIA
2024-04-12 19:49:00-03:00,6.13,PUERTO COMODORO RIVADAVIA
2024-04-13 02:08:00-03:00,0.78,PUERTO COMODORO RIVADAVIA
