datetime,height,port
2024-05-01 03:40:00-03:00,1.55,PUERTO COMODORO RIVADAVIA
2024-05-01 09:36:00-03:00,4.8,PUERTO COMODORO RIVADAVIA
2024-05-01 16:08:00-03:00,1.03,PUERTO COMODORO RIVADAVIA
2024-05-01 22:38:00-03:00,4.86,PUERTO COMODORO RIVADAVIA
2024-05-02 04:30:00-03:00,1.57,PUERTO COMODORO RIVADAVIA
2024-05-02 10:34:00-03:00,4.66,PUERTO COMODORO RIVADAVIA
2024-05-02 17:04:00-03:00,1.06,PUERTO COMODORO RIVADAVIA
2024-05-02 23:41:00-03:00,4.8,PUERTO COMODORO RIVADAVIA
2024-05-03 05:31:00-03:00,1.57,PUERTO COMODORO RIVADAVIA
2024-05-03 11:44:00-03:00,4.62,PUERTO COMODORO RIVADAVIA
2024-05-03 18:11:00-03:00,1.07,PUERTO COMODORO RIVADAVIA
2024-05-04 00:47:00-03:00,4.87,PUERTO COMODORO RIVADAVIA
2024-05-04 06:39:00-03:00,1.49,PUERTO COMODORO RIVADAVIA
2024-05-04 12:58:00-03:00,4.74,PUERTO COMODORO RIVADAVIA
2024-05-04 19:20:00-03:00,1.01,PUERTO COMODORO RIVADAVIA
2024-05-05 01:51:00-03:00,5.09,PUERTO COMODORO RIVADAVIA
2024-05-05 07:46:00-03:00,1.31,PUERTO COMODORO RIVADAVIA
2024-05-05 14:07:00-03:00,5.02,PUERTO COMODORO RIVADAVIA
2024-05-05 20:24:00-03:00,0.92,PUERTO COMODORO RIVADAVIA
2024-05-06 02:49:00-03:00,5.38,PUERTO COMODORO RIVADAVIA
2024-05-06 08:50:00-03:00,1.08,PUERTO COMODORO RIVADAVIA
2024-05-06 15:09:00-03:00,5.38,PUERTO COMODORO RIVADAVIA
2024-05-06 21:22:00-03:00,0.85,PUERTO COMODORO RIVADAVIA
2024-05-07 03:42:00-03:00,5.67,PUERTO COMODORO RIVADAVIA
2024-05-07 09:49:00-03:00,0.87,PUERTO COMODORO RIVADAVIA
2024-05-07 16:06:00-03:00,5.69,PUERTO COMODORO RIVADAVIA
2024-05-07 22:17:00-03:00,0.85,PUERTO COMODORO RIVADAVIA
2024-05-08 04:31:00-03:00,5.88,PUERTO COMODORO RIVADAVIA
2024-05-08 10:45:00-03:00,0.71,PUERTO COMODORO RIVADAVIA
2024-05-08 16:59:00-03:00,5.92,PUERTO COMODORO RIVADAVIA
2024-05-08 23:10:00-03:00,0.91,PUERTO COMODORO RIVADAVIA
2024-05-09 05:18:00-03:00,5.98,PUERTO COMODORO RIVADAVIA
2024-05-09 11:40:00-03:00,0.61,PUERTO COMODORO RIVADAVIA
2024-05-09 17:51:00-03:00,6.03,PUERTO COMODORO RIVADAVIA
2024-05-10 00:01:00-03:00,1.01,PUERTO COMODORO RIVADAVIA
2024-05-10 06:05:00-03:00,5.97,PUERTO COMODORO RIVADAVIA
2024-05-10 12:33:00-03:00,0.56,PUERTO COMODORO RIVADAVIA
2024-05-10 18:41:00-03:00,6.02,PUERTO COMODORO RIVADAVIA
2024-05-11 00:51:00-03:00,1.13,PUERTO COMODORO RIVADAVIA
2024-05-11 06:51:00-03:00,5.86,PUERTO COMODORO RIVADAVIA
2024-05-11 13:22:00-03:00,0.56,PUERTO COMODORO RIVADAVIA
2024-05-11 19:31:00-03:00,5.91,PUERTO COMODORO RIVADAVIA
2024-05-12 01:38:00-03:00,1.23,PUERTO COMODORO RIVADAVIA
2024-05-12 07:36:00-03:00,5.68,PUERTO COMODORO RIVADAVIA
2024-05-12 14:09:00-03:00,0.59,PUERTO COMODORO RIVADAVIA
2024-05-12 20:20:00-03:00,5.73,PUERTO COMODORO RIVADAVIA
2024-05-13 02:23:00-03:00,1.32,PUERTO COMODORO RIVADAVIA
2024-05-13 08:22:00-03:00,5.44,PUERTO COMODORO RIVADAVIA
2024-05-13 14:55:00-03:00,0.67,PUERTO COMODORO RIVADAVIA
2024-05-13 21:10:00-03:00,5.49,PUERTO COMODORO RIVADAVIA
2024-05-14 03:08:00-03:00,1.4,PUERTO COMODORO RIVADAVIA
2024-05-14 09:10:00-03:00,5.16,PUERTO COMODORO RIVADAVIA
2024-05-14 15:41:00-03:00,0.78,PUERTO COMODORO RIVADAVIA
2024-05-14 22:00:00-03:00,5.23,PUERTO COMODORO RIVADAVIA
2024-05-15 03:55:00-03:00,1.47,PUERTO COMODORO RIVADAVIA
2024-05-15 10:00:00-03:00,4.87,PUERTO COMODORO RIVADAVIA
2024-05-15 16:29:00-03:00,0.93,PUERTO COMODORO RIVADAVIA
2024-05-15 22:54:00-03:00,4.99,PUERTO COMODORO RIVADAVIA
2024-05-16 04:46:00-03:00,1.54,PUERTO COMODORO RIVADAVIA
2024-05-16 10:55:00-03:00,4.61,PUERTO COMODORO RIVADAVIA
2024-05-16 17:22:00-03:00,1.07,PUERTO COMODORO RIVADAVIA
2024-05-16 23:51:00-03:00,4.83,PUERTO COMODORO RIVADAVIA
2024-05-17 05:43:00-03:00,1.58,PUERTO COMODORO RIVADAVIA
2024-05-17 11:57:00-03:00,4.44,PUERTO COMODORO RIVADAVIA
2024-05-17 18:20:00-03:00,1.18,PUERTO COMODORO RIVADAVIA
2024-05-18 00:49:00-03:00,4.77,PUERTO COMODORO RIVADAVIA
2024-05-18 06:45:00-03:00,1.54,PUERTO COMODORO RIVADAVIA
2024-05-18 13:03:00-03:00,4.41,PUERTO COMODORO RIVADAVIA
2024-05-18 19:19:00-03:00,1.22,PUERTO COMODORO RIVADAVIA
2024-05-19 01:44:00-03:00,4.82,PUERTO COMODORO RIVADAVIA
2024-05-19 07:47:00-03:00,1.43,PUERTO COMODORO RIVADAVIA
2024-05-19 14:03:00-03:00,4.51,PUERTO COMODORO RIVADAVIA
2024-05-19 20:15:00-03:00,1.23,PUERTO COMODORO RIVADAVIA
2024-05-20 02:35:00-03:00,4.94,PUERTO COMODORO RIVADAVIA
2024-05-20 08:44:00-03:00,1.29,PUERTO COMODORO RIVADAVIA
2024-05-20 14:56:00-03:00,4.69,PUERTO COMODORO RIVADAVIA
