datetime,height,port
2024-01-01 05:46:00-03:00,4.89,PUERTO DESEADO
2024-01-01 11:47:00-03:00,1.96,PUERTO DESEADO
2024-01-01 17:33:00-03:00,4.79,PUERTO DESEADO
2024-01-02 00:18:00-03:00,1.26,PUERTO DESEADO
2024-01-02 06:28:00-03:00,4.81,PUERTO DESEADO
2024-01-02 12:31:00-03:00,1.98,PUERTO DESEADO
2024-01-02 18:18:00-03:00,4.65,PUERTO DESEADO
2024-01-03 00:59:00-03:00,1.39,PUERTO DESEADO
2024-01-03 07:11:00-03:00,4.71,PUERTO DESEADO
2024-01-03 13:17:00-03:00,2.0,PUERTO DESEADO
2024-01-03 19:07:00-03:00,4.5,PUERTO DESEADO
2024-01-04 01:43:00-03:00,1.53,PUERTO DESEADO
2024-01-04 07:56:00-03:00,4.61,PUERTO DESEADO
2024-01-04 14:07:00-03:00,2.0,PUERTO DESEADO
2024-01-04 20:02:00-03:00,4.35,PUERTO DESEADO
2024-01-05 02:30:00-03:00,1.66,PUERTO DESEADO
2024-01-05 08:44:00-03:00,4.54,PUERTO DESEADO
2024-01-05 15:00:00-03:00,1.96,PUERTO DESEADO
2024-01-05 21:04:00-03:00,4.25,PUERTO DESEADO
2024-01-06 03:21:00-03:00,1.75,PUERTO DESEADO
2024-01-06 09:35:00-03:00,4.52,PUERTO DESEADO
2024-01-06 15:57:00-03:00,1.84,PUERTO DESEADO
2024-01-06 22:08:00-03:00,4.26,PUERTO DESEADO
2024-01-07 04:14:00-03:00,1.79,PUERTO DESEADO
2024-01-07 10:26:00-03:00,4.57,PUERTO DESEADO
2024-01-07 16:54:00-03:00,1.64,PUERTO DESEADO
2024-01-07 23:08:00-03:00,4.38,PUERTO DESEADO
2024-01-08 05:07:00-03:00,1.78,PUERTO DESEADO
2024-01-08 11:15:00-03:00,4.69,PUERTO DESEADO
2024-01-08 17:49:00-03:00,1.38,PUERTO DESEADO
2024-01-09 00:03:00-03:00,4.57,PUERTO DESEADO
2024-01-09 05:58:00-03:00,1.73,PUERTO DESEADO
2024-01-09 12:01:00-03:00,4.85,PUERTO DESEADO
2024-01-09 18:40:00-03:00,1.11,PUERTO DESEADO
2024-01-10 00:53:00-03:00,4.79,PUERTO DESEADO
2024-01-10 06:49:00-03:00,1.67,PUERTO DESEADO
2024-01-10 12:46:00-03:00,5.04,PUERTO DESEADO
2024-01-10 19:30:00-03:00,0.86,PUERTO DESEADO
2024-01-11 01:42:00-03:00,5.0,PUERTO DESEADO
2024-01-11 07:40:00-03:00,1.6,PUERTO DESEADO
2024-01-11 13:32:00-03:00,5.22,PUERTO DESEADO
2024-01-11 20:21:00-03:00,0.66,PUERTO DESEADO
2024-01-12 02:30:00-03:00,5.19,PUERTO DESEADO
2024-01-12 08:32:00-03:00,1.53,PUERTO DESEADO
2024-01-12 14:20:00-03:00,5.38,PUERTO DESEADO
2024-01-12 21:12:00-03:00,0.49,PUERTO DESEADO
2024-01-13 03:19:00-03:00,5.34,PUERTO DESEADO
2024-01-13 09:24:00-03:00,1.45,PUERTO DESEADO
2024-01-13 15:09:00-03:00,5.51,PUERTO DESEADO
2024-01-13 22:03:00-03:00,0.38,PUERTO DESEADO
2024-01-14 04:07:00-03:00,5.45,PUERTO DESEADO
2024-01-14 10:16:00-03:00,1.37,PUERTO DESEADO
2024-01-14 15:59:00-03:00,5.58,PUERTO DESEADO
2024-01-14 22:53:00-03:00,0.34,PUERTO DESEADO
2024-01-15 04:55:00-03:00,5.49,PUERTO DESEADO
