datetime,height,port
2024-10-01 00:51:00-03:00,5.01,PUERTO DESEADO
2024-10-01 07:39:00-03:00,1.31,PUERTO DESEADO
2024-10-01 13:23:00-03:00,5.15,PUERTO DESEADO
2024-10-01 19:49:00-03:00,1.8,PUERTO DESEADO
2024-10-02 01:31:00-03:00,5.1,PUERTO DESEADO
2024-10-02 08:16:00-03:00,1.35,PUERTO DESEADO
2024-10-02 13:58:00-03:00,5.18,PUERTO DESEADO
2024-10-02 20:24:00-03:00,1.72,PUERTO DESEADO
2024-10-03 02:10:00-03:00,5.15,PUERTO DESEADO
2024-10-03 08:48:00-03:00,1.45,PUERTO DESEADO
2024-10-03 14:32:00-03:00,5.2,PUERTO DESEADO
2024-10-03 20:58:00-03:00,1.68,PUERTO DESEADO
2024-10-04 02:47:00-03:00,5.16,PUERTO DESEADO
2024-10-04 09:18:00-03:00,1.57,PUERTO DESEADO
2024-10-04 15:05:00-03:00,5.19,PUERTO DESEADO
2024-10-04 21:33:00-03:00,1.67,PUERTO DESEADO
2024-10-05 03:24:00-03:00,5.15,PUERTO DESEADO
2024-10-05 09:50:00-03:00,1.7,PUERTO DESEADO
2024-10-05 15:37:00-03:00,5.17,PUERTO DESEADO
2024-10-05 22:10:00-03:00,1.67,PUERTO DESEADO
2024-10-06 04:02:00-03:00,5.1,PUERTO DESEADO
2024-10-06 10:25:00-03:00,1.84,PUERTO DESEADO
2024-10-06 16:07:00-03:00,5.13,PUERTO DESEADO
2024-10-06 22:48:00-03:00,1.69,PUERTO DESEADO
2024-10-07 04:40:00-03:00,5.03,PUERTO DESEADO
2024-10-07 11:03:00-03:00,1.99,PUERTO DESEADO
2024-10-07 16:38:00-03:00,5.08,PUERTO DESEADO
2024-10-07 23:27:00-03:00,1.71,PUERTO DESEADO
2024-10-08 05:20:00-03:00,4.93,PUERTO DESEADO
2024-10-08 11:42:00-03:00,2.14,PUERTO DESEADO
2024-10-08 17:10:00-03:00,5.0,PUERTO DESEADO
2024-10-09 00:09:00-03:00,1.75,PUERTO DESEADO
2024-10-09 06:05:00-03:00,4.8,PUERTO DESEADO
2024-10-09 12:23:00-03:00,2.27,PUERTO DESEADO
2024-10-09 17:46:00-03:00,4.9,PUERTO DESEADO
2024-10-10 00:54:00-03:00,1.78,PUERTO DESEADO
2024-10-10 06:59:00-03:00,4.66,PUERTO DESEADO
2024-10-10 13:10:00-03:00,2.38,PUERTO DESEADO
2024-10-10 18:31:00-03:00,4.77,PUERTO DESEADO
2024-10-11 01:47:00-03:00,1.79,PUERTO DESEADO
2024-10-11 08:09:00-03:00,4.57,PUERTO DESEADO
2024-10-11 14:04:00-03:00,2.43,PUERTO DESEADO
2024-10-11 19:32:00-03:00,4.65,PUERTO DESEADO
2024-10-12 02:47:00-03:00,1.73,PUERTO DESEADO
2024-10-12 09:20:00-03:00,4.62,PUERTO DESEADO
2024-10-12 15:06:00-03:00,2.36,PUERTO DESEADO
2024-10-12 20:58:00-03:00,4.65,PUERTO DESEADO
2024-10-13 03:52:00-03:00,1.56,PUERTO DESEADO
2024-10-13 10:20:00-03:00,4.79,PUERTO DESEADO
2024-10-13 16:10:00-03:00,2.15,PUERTO DESEADO
2024-10-13 22:16:00-03:00,4.84,PUERTO DESEADO
2024-10-14 04:54:00-03:00,1.32,PUERTO DESEADO
2024-10-14 11:13:00-03:00,5.05,PUERTO DESEADO
2024-10-14 17:11:00-03:00,1.83,PUERTO DESEADO
2024-10-14 23:17:00-03:00,5.15,PUERTO DESEADO
