datetime,height,port
2024-11-01 01:42:00-03:00,5.0,PUERTO DESEADO
2024-11-01 08:04:00-03:00,1.55,PUERTO DESEADO
2024-11-01 13:55:00-03:00,5.12,PUERTO DESEADO
2024-11-01 20:25:00-03:00,1.45,PUERTO DESEADO
2024-11-02 02:21:00-03:00,5.01,PUERTO DESEADO
2024-11-02 08:37:00-03:00,1.68,PUERTO DESEADO
2024-11-02 14:27:00-03:00,5.1,PUERTO DESEADO
2024-11-02 21:02:00-03:00,1.45,PUERTO DESEADO
2024-11-03 02:59:00-03:00,4.99,PUERTO DESEADO
2024-11-03 09:13:00-03:00,1.83,PUERTO DESEADO
2024-11-03 14:58:00-03:00,5.07,PUERTO DESEADO
2024-11-03 21:40:00-03:00,1.46,PUERTO DESEADO
2024-11-04 03:39:00-03:00,4.96,PUERTO DESEADO
2024-11-04 09:52:00-03:00,1.97,PUERTO DESEADO
2024-11-04 15:29:00-03:00,5.03,PUERTO DESEADO
2024-11-04 22:20:00-03:00,1.48,PUERTO DESEADO
2024-11-05 04:20:00-03:00,4.91,PUERTO DESEADO
2024-11-05 10:33:00-03:00,2.1,PUERTO DESEADO
2024-11-05 16:02:00-03:00,4.99,PUERTO DESEADO
2024-11-05 23:02:00-03:00,1.49,PUERTO DESEADO
2024-11-06 05:03:00-03:00,4.85,PUERTO DESEADO
2024-11-06 11:16:00-03:00,2.21,PUERTO DESEADO
2024-11-06 16:38:00-03:00,4.93,PUERTO DESEADO
2024-11-06 23:46:00-03:00,1.51,PUERTO DESEADO
2024-11-07 05:50:00-03:00,4.77,PUERTO DESEADO
2024-11-07 12:01:00-03:00,2.28,PUERTO DESEADO
2024-11-07 17:19:00-03:00,4.86,PUERTO DESEADO
2024-11-08 00:34:00-03:00,1.52,PUERTO DESEADO
2024-11-08 06:45:00-03:00,4.69,PUERTO DESEADO
2024-11-08 12:50:00-03:00,2.31,PUERTO DESEADO
2024-11-08 18:10:00-03:00,4.76,PUERTO DESEADO
2024-11-09 01:27:00-03:00,1.51,PUERTO DESEADO
2024-11-09 07:48:00-03:00,4.65,PUERTO DESEADO
2024-11-09 13:45:00-03:00,2.27,PUERTO DESEADO
2024-11-09 19:16:00-03:00,4.66,PUERTO DESEADO
2024-11-10 02:25:00-03:00,1.46,PUERTO DESEADO
2024-11-10 08:51:00-03:00,4.71,PUERTO DESEADO
2024-11-10 14:46:00-03:00,2.14,PUERTO DESEADO
2024-11-10 20:38:00-03:00,4.67,PUERTO DESEADO
2024-11-11 03:27:00-03:00,1.34,PUERTO DESEADO
2024-11-11 09:49:00-03:00,4.85,PUERTO DESEADO
2024-11-11 15:49:00-03:00,1.89,PUERTO DESEADO
2024-11-11 21:53:00-03:00,4.84,PUERTO DESEADO
2024-11-12 04:27:00-03:00,1.18,PUERTO DESEADO
2024-11-12 10:42:00-03:00,5.07,PUERTO DESEADO
2024-11-12 16:50:00-03:00,1.55,PUERTO DESEADO
2024-11-12 22:55:00-03:00,5.08,PUERTO DESEADO
2024-11-13 05:23:00-03:00,1.01,PUERTO DESEADO
2024-11-13 11:31:00-03:00,5.31,PUERTO DESEADO
2024-11-13 17:47:00-03:00,1.18,PUERTO DESEADO
2024-11-13 23:52:00-03:00,5.34,PUERTO DESEADO
2024-11-14 06:16:00-03:00,0.9,PUERTO DESEADO
2024-11-14 12:18:00-03:00,5.53,PUERTO DESEADO
2024-11-14 18:41:00-03:00,0.85,PUERTO DESEADO
2024-11-15 00:45:00-03:00,5.55,PUERTO DESEADO
2024-11-15 07:06:00-03:00,0.88,PUERTO DESEADO
2024-11-15 13:03:00-03:00,5.68,PUERTO DESEADO
2024-11-15 19:33:00-03:00,0.61,PUERTO DESEADO
2024-11-16 01:36:00-03:00,5.67,PUERTO DESEADO
2024-11-16 07:54:00-03:00,0.97,PUERTO DESEADO
2024-11-16 13:47:00-03:00,5.75,PUERTO DESEADO
2024-11-16 20:25:00-03:00,0.48,PUERTO DESEADO
2024-11-17 02:28:00-03:00,5.7,PUERTO DESEADO
2024-11-17 08:43:00-03:00,1.13,PUERTO DESEADO
2024-11-17 14:32:00-03:00,5.73,PUERTO DESEADO
2024-11-17 21:16:00-03:00,0.45,PUERTO DESEADO
2024-11-18 03:20:00-03:00,5.64,PUERTO DESEADO
2024-11-18 09:33:00-03:00,1.34,PUERTO DESEADO
2024-11-18 15:17:00-03:00,5.64,PUERTO DESEADO
2024-11-18 22:08:00-03:00,0.51,PUERTO DESEADO
2024-11-19 04:13:00-03:00,5.53,PUERTO DESEADO
2024-11-19 10:23:00-03:00,1.55,PUERTO DESEADO
2024-11-19 16:05:00-03:00,5.47,PUERTO DESEADO
2024-11-19 23:00:00-03:00,0.65,PUERTO DESEADO
2024-11-20 05:07:00-03:00,5.37,PUERTO DESEADO
2024-11-20 11:14:00-03:00,1.75,PUERTO DESEADO
2024-11-20 16:55:00-03:00,5.27,PUERTO DESEADO
2024-11-20 23:52:00-03:00,0.83,PUERTO DESEADO
2024-11-21 06:03:00-03:00,5.2,PUERTO DESEADO
2024-11-21 12:05:00-03:00,1.91,PUERTO DESEADO
2024-11-21 17:49:00-03:00,5.03,PUERTO DESEADO
2024-11-22 00:46:00-03:00,1.04,PUERTO DESEADO
2024-11-22 07:01:00-03:00,5.03,PUERTO DESEADO
2024-11-22 12:59:00-03:00,2.04,PUERTO DESEADO
2024-11-22 18:50:00-03:00,4.8,PUERTO DESEADO
2024-11-23 01:42:00-03:00,1.25,PUERTO DESEADO
2024-11-23 08:00:00-03:00,4.89,PUERTO DESEADO
2024-11-23 13:57:00-03:00,2.11,PUERTO DESEADO
2024-11-23 19:56:00-03:00,4.61,PUERTO DESEADO
2024-11-24 02:41:00-03:00,1.42,PUERTO DESEADO
2024-11-24 08:59:00-03:00,4.81,PUERTO DESEADO
2024-11-24 15:00:00-03:00,2.11,PUERTO DESEADO
2024-11-24 21:04:00-03:00,4.51,PUERTO DESEADO
2024-11-25 03:42:00-03:00,1.53,PUERTO DESEADO
2024-11-25 09:54:00-03:00,4.78,PUERTO DESEADO
2024-11-25 16:08:00-03:00,2.01,PUERTO DESEADO
2024-11-25 22:07:00-03:00,4.5,PUERTO DESEADO
2024-11-26 04:39:00-03:00,1.57,PUERTO DESEADO
2024-11-26 10:44:00-03:00,4.81,PUERTO DESEADO
2024-11-26 17:08:00-03:00,1.83,PUERTO DESEADO
2024-11-26 23:02:00-03:00,4.55,PUERTO DESEADO
2024-11-27 05:29:00-03:00,1.57,PUERTO DESEADO
2024-11-27 11:28:00-03:00,4.86,PUERTO DESEADO
2024-11-27 17:58:00-03:00,1.64,PUERTO DESEADO
2024-11-27 23:51:00-03:00,4.64,PUERTO DESEADO
2024-11-28 06:10:00-03:00,1.58,PUERTO DESEADO
2024-11-28 12:08:00-03:00,4.92,PUERTO DESEADO
2024-11-28 18:40:00-03:00,1.47,PUERTO DESEADO
2024-11-29 00:35:00-03:00,4.72,PUERTO DESEADO
2024-11-29 06:46:00-03:00,1.61,PUERTO DESEADO
2024-11-29 12:45:00-03:00,4.96,PUERTO DESEADO
2024-11-29 19:18:00-03:00,1.35,PUERTO DESEADO
2024-11-30 01:17:00-03:00,4.79,PUERTO DESEADO
2024-11-30 07:23:00-03:00,1.67,PUERTO DESEADO
2024-11-30 13:20:00-03:00,4.98,PUERTO DESEADO
2024-11-30 19:56:00-03:00,1.28,PUERTO DESEADO
