datetime,height,port
2024-03-01 05:31:00-03:00,4.95,PUERTO DESEADO
2024-03-01 12:06:00-03:00,1.59,PUERTO DESEADO
2024-03-01 17:50:00-03:00,4.81,PUERTO DESEADO
2024-03-02 00:24:00-03:00,1.6,PUERTO DESEADO
2024-03-02 06:02:00-03:00,4.85,PUERTO DESEADO
2024-03-02 12:46:00-03:00,1.65,PUERTO DESEADO
2024-03-02 18:31:00-03:00,4.61,PUERTO DESEADO
2024-03-03 01:03:00-03:00,1.81,PUERTO DESEADO
2024-03-03 06:36:00-03:00,4.7,PUERTO DESEADO
2024-03-03 13:32:00-03:00,1.71,PUERTO DESEADO
2024-03-03 19:24:00-03:00,4.38,PUERTO DESEADO
2024-03-04 01:49:00-03:00,2.02,PUERTO DESEADO
2024-03-04 07:19:00-03:00,4.54,PUERTO DESEADO
2024-03-04 14:27:00-03:00,1.74,PUERTO DESEADO
2024-03-04 20:41:00-03:00,4.2,PUERTO DESEADO
2024-03-05 02:46:00-03:00,2.17,PUERTO DESEADO
2024-03-05 08:21:00-03:00,4.39,PUERTO DESEADO
2024-03-05 15:35:00-03:00,1.67,PUERTO DESEADO
2024-03-05 22:09:00-03:00,4.23,PUERTO DESEADO
2024-03-06 03:53:00-03:00,2.18,PUERTO DESEADO
2024-03-06 09:50:00-03:00,4.39,PUERTO DESEADO
2024-03-06 16:46:00-03:00,1.45,PUERTO DESEADO
2024-03-06 23:16:00-03:00,4.46,PUERTO DESEADO
2024-03-07 05:02:00-03:00,2.02,PUERTO DESEADO
2024-03-07 11:09:00-03:00,4.61,PUERTO DESEADO
2024-03-07 17:53:00-03:00,1.12,PUERTO DESEADO
2024-03-08 00:11:00-03:00,4.78,PUERTO DESEADO
2024-03-08 06:05:00-03:00,1.74,PUERTO DESEADO
2024-03-08 12:10:00-03:00,4.96,PUERTO DESEADO
2024-03-08 18:53:00-03:00,0.76,PUERTO DESEADO
2024-03-09 01:01:00-03:00,5.12,PUERTO DESEADO
2024-03-09 07:04:00-03:00,1.41,PUERTO DESEADO
2024-03-09 13:04:00-03:00,5.34,PUERTO DESEADO
2024-03-09 19:47:00-03:00,0.46,PUERTO DESEADO
2024-03-10 01:48:00-03:00,5.43,PUERTO DESEADO
2024-03-10 07:59:00-03:00,1.09,PUERTO DESEADO
2024-03-10 13:54:00-03:00,5.66,PUERTO DESEADO
2024-03-10 20:37:00-03:00,0.25,PUERTO DESEADO
2024-03-11 02:34:00-03:00,5.67,PUERTO DESEADO
2024-03-11 08:50:00-03:00,0.81,PUERTO DESEADO
2024-03-11 14:44:00-03:00,5.89,PUERTO DESEADO
2024-03-11 21:25:00-03:00,0.16,PUERTO DESEADO
2024-03-12 03:18:00-03:00,5.82,PUERTO DESEADO
2024-03-12 09:40:00-03:00,0.62,PUERTO DESEADO
2024-03-12 15:32:00-03:00,6.01,PUERTO DESEADO
2024-03-12 22:10:00-03:00,0.21,PUERTO DESEADO
2024-03-13 04:01:00-03:00,5.87,PUERTO DESEADO
2024-03-13 10:27:00-03:00,0.51,PUERTO DESEADO
2024-03-13 16:20:00-03:00,5.98,PUERTO DESEADO
2024-03-13 22:54:00-03:00,0.4,PUERTO DESEADO
