datetime,height,port
2024-06-01 02:50:00-03:00,1.74,PUERTO DESEADO
2024-06-01 08:47:00-03:00,4.77,PUERTO DESEADO
2024-06-01 15:27:00-03:00,1.13,PUERTO DESEADO
2024-06-01 21:44:00-03:00,4.92,PUERTO DESEADO
2024-06-02 03:55:00-03:00,1.58,PUERTO DESEADO
2024-06-02 10:00:00-03:00,4.79,PUERTO DESEADO
2024-06-02 16:29:00-03:00,1.16,PUERTO DESEADO
2024-06-02 22:40:00-03:00,5.01,PUERTO DESEADO
2024-06-03 05:01:00-03:00,1.33,PUERTO DESEADO
2024-06-03 11:06:00-03:00,4.9,PUERTO DESEADO
2024-06-03 17:29:00-03:00,1.18,PUERTO DESEADO
2024-06-03 23:33:00-03:00,5.12,PUERTO DESEADO
2024-06-04 06:03:00-03:00,1.06,PUERTO DESEADO
2024-06-04 12:06:00-03:00,5.04,PUERTO DESEADO
2024-06-04 18:26:00-03:00,1.22,PUERTO DESEADO
2024-06-05 00:22:00-03:00,5.23,PUERTO DESEADO
2024-06-05 07:01:00-03:00,0.82,PUERTO DESEADO
2024-06-05 13:02:00-03:00,5.16,PUERTO DESEADO
2024-06-05 19:18:00-03:00,1.3,PUERTO DESEADO
2024-06-06 01:10:00-03:00,5.31,PUERTO DESEADO
2024-06-06 07:55:00-03:00,0.65,PUERTO DESEADO
2024-06-06 13:56:00-03:00,5.25,PUERTO DESEADO
2024-06-06 20:09:00-03:00,1.42,PUERTO DESEADO
2024-06-07 01:56:00-03:00,5.34,PUERTO DESEADO
2024-06-07 08:46:00-03:00,0.57,PUERTO DESEADO
2024-06-07 14:47:00-03:00,5.29,PUERTO DESEADO
2024-06-07 20:59:00-03:00,1.55,PUERTO DESEADO
2024-06-08 02:42:00-03:00,5.32,PUERTO DESEADO
2024-06-08 09:36:00-03:00,0.57,PUERTO DESEADO
2024-06-08 15:38:00-03:00,5.29,PUERTO DESEADO
2024-06-08 21:47:00-03:00,1.67,PUERTO DESEADO
2024-06-09 03:28:00-03:00,5.28,PUERTO DESEADO
2024-06-09 10:24:00-03:00,0.63,PUERTO DESEADO
2024-06-09 16:27:00-03:00,5.27,PUERTO DESEADO
2024-06-09 22:34:00-03:00,1.76,PUERTO DESEADO
2024-06-10 04:15:00-03:00,5.2,PUERTO DESEADO
2024-06-10 11:10:00-03:00,0.74,PUERTO DESEADO
2024-06-10 17:15:00-03:00,5.23,PUERTO DESEADO
2024-06-10 23:19:00-03:00,1.82,PUERTO DESEADO
2024-06-11 05:02:00-03:00,5.1,PUERTO DESEADO
2024-06-11 11:54:00-03:00,0.88,PUERTO DESEADO
2024-06-11 18:02:00-03:00,5.15,PUERTO DESEADO
2024-06-12 00:03:00-03:00,1.87,PUERTO DESEADO
2024-06-12 05:49:00-03:00,4.98,PUERTO DESEADO
2024-06-12 12:36:00-03:00,1.05,PUERTO DESEADO
2024-06-12 18:49:00-03:00,5.05,PUERTO DESEADO
2024-06-13 00:47:00-03:00,1.92,PUERTO DESEADO
2024-06-13 06:38:00-03:00,4.82,PUERTO DESEADO
2024-06-13 13:18:00-03:00,1.24,PUERTO DESEADO
2024-06-13 19:35:00-03:00,4.93,PUERTO DESEADO
2024-06-14 01:33:00-03:00,1.96,PUERTO DESEADO
2024-06-14 07:30:00-03:00,4.64,PUERTO DESEADO
2024-06-14 14:02:00-03:00,1.42,PUERTO DESEADO
2024-06-14 20:23:00-03:00,4.81,PUERTO DESEADO
2024-06-15 02:23:00-03:00,1.99,PUERTO DESEADO
2024-06-15 08:27:00-03:00,4.48,PUERTO DESEADO
2024-06-15 14:50:00-03:00,1.59,PUERTO DESEADO
2024-06-15 21:13:00-03:00,4.71,PUERTO DESEADO
2024-06-16 03:17:00-03:00,1.99,PUERTO DESEADO
2024-06-16 09:26:00-03:00,4.36,PUERTO DESEADO
2024-06-16 15:40:00-03:00,1.72,PUERTO DESEADO
2024-06-16 22:03:00-03:00,4.66,PUERTO DESEADO
2024-06-17 04:15:00-03:00,1.92,PUERTO DESEADO
2024-06-17 10:26:00-03:00,4.33,PUERTO DESEADO
2024-06-17 16:33:00-03:00,1.81,PUERTO DESEADO
2024-06-17 22:51:00-03:00,4.67,PUERTO DESEADO
2024-06-18 05:13:00-03:00,1.8,PUERTO DESEADO
2024-06-18 11:23:00-03:00,4.38,PUERTO DESEADO
2024-06-18 17:24:00-03:00,1.86,PUERTO DESEADO
2024-06-18 23:36:00-03:00,4.71,PUERTO DESEADO
2024-06-19 06:06:00-03:00,1.63,PUERTO DESEADO
2024-06-19 12:15:00-03:00,4.49,PUERTO DESEADO
2024-06-19 18:14:00-03:00,1.89,PUERTO DESEADO
2024-06-20 00:18:00-03:00,4.78,PUERTO DESEADO
2024-06-20 06:56:00-03:00,1.46,PUERTO DESEADO
2024-06-20 13:04:00-03:00,4.62,PUERTO DESEADO
2024-06-20 19:02:00-03:00,1.92,PUERTO DESEADO
2024-06-21 01:00:00-03:00,4.86,PUERTO DESEADO
2024-06-21 07:43:00-03:00,1.29,PUERTO DESEADO
2024-06-21 13:51:00-03:00,4.77,PUERTO DESEADO
2024-06-21 19:50:00-03:00,1.94,PUERTO DESEADO
2024-06-22 01:41:00-03:00,4.95,PUERTO DESEADO
2024-06-22 08:30:00-03:00,1.14,PUERTO DESEADO
2024-06-22 14:38:00-03:00,4.92,PUERTO DESEADO
2024-06-22 20:39:00-03:00,1.94,PUERTO DESEADO
2024-06-23 02:23:00-03:00,5.06,PUERTO DESEADO
2024-06-23 09:18:00-03:00,1.0,PUERTO DESEADO
2024-06-23 15:25:00-03:00,5.06,PUERTO DESEADO
2024-06-23 21:29:00-03:00,1.91,PUERTO DESEADO
2024-06-24 03:07:00-03:00,5.18,PUERTO DESEADO
2024-06-24 10:05:00-03:00,0.86,PUERTO DESEADO
2024-06-24 16:11:00-03:00,5.2,PUERTO DESEADO
2024-06-24 22:18:00-03:00,1.84,PUERTO DESEADO
2024-06-25 03:54:00-03:00,5.28,PUERTO DESEADO
2024-06-25 10:53:00-03:00,0.75,PUERTO DESEADO
2024-06-25 16:58:00-03:00,5.3,PUERTO DESEADO
2024-06-25 23:06:00-03:00,1.74,PUERTO DESEADO
2024-06-26 04:42:00-03:00,5.36,PUERTO DESEADO
2024-06-26 11:39:00-03:00,0.69,PUERTO DESEADO
2024-06-26 17:45:00-03:00,5.36,PUERTO DESEADO
2024-06-26 23:54:00-03:00,1.65,PUERTO DESEADO
2024-06-27 05:32:00-03:00,5.38,PUERTO DESEADO
2024-06-27 12:26:00-03:00,0.7,PUERTO DESEADO
2024-06-27 18:32:00-03:00,5.36,PUERTO DESEADO
2024-06-28 00:43:00-03:00,1.57,PUERTO DESEADO
2024-06-28 06:25:00-03:00,5.32,PUERTO DESEADO
2024-06-28 13:14:00-03:00,0.79,PUERTO DESEADO
2024-06-28 19:21:00-03:00,5.3,PUERTO DESEADO
2024-06-29 01:34:00-03:00,1.52,PUERTO DESEADO
2024-06-29 07:23:00-03:00,5.19,PUERTO DESEADO
2024-06-29 14:04:00-03:00,0.96,PUERTO DESEADO
2024-06-29 20:13:00-03:00,5.21,PUERTO DESEADO
2024-06-30 02:30:00-03:00,1.49,PUERTO DESEADO
2024-06-30 08:28:00-03:00,5.02,PUERTO DESEADO
2024-06-30 14:59:00-03:00,1.18,PUERTO DESEADO
2024-06-30 21:09:00-03:00,5.12,PUERTO DESEADO
