datetime,height,port
2024-08-01 05:32:00-03:00,1.31,PUERTO DESEADO
2024-08-01 11:42:00-03:00,4.85,PUERTO DESEADO
2024-08-01 17:41:00-03:00,2.12,PUERTO DESEADO
2024-08-01 23:41:00-03:00,4.94,PUERTO DESEADO
2024-08-02 06:37:00-03:00,1.2,PUERTO DESEADO
2024-08-02 12:40:00-03:00,4.92,PUERTO DESEADO
2024-08-02 18:44:00-03:00,2.16,PUERTO DESEADO
2024-08-03 00:36:00-03:00,4.98,PUERTO DESEADO
2024-08-03 07:35:00-03:00,1.11,PUERTO DESEADO
2024-08-03 13:32:00-03:00,5.0,PUERTO DESEADO
2024-08-03 19:41:00-03:00,2.15,PUERTO DESEADO
2024-08-04 01:26:00-03:00,5.04,PUERTO DESEADO
2024-08-04 08:27:00-03:00,1.07,PUERTO DESEADO
2024-08-04 14:19:00-03:00,5.07,PUERTO DESEADO
2024-08-04 20:33:00-03:00,2.11,PUERTO DESEADO
2024-08-05 02:13:00-03:00,5.1,PUERTO DESEADO
2024-08-05 09:14:00-03:00,1.07,PUERTO DESEADO
2024-08-05 15:02:00-03:00,5.13,PUERTO DESEADO
2024-08-05 21:18:00-03:00,2.05,PUERTO DESEADO
2024-08-06 02:57:00-03:00,5.15,PUERTO DESEADO
2024-08-06 09:56:00-03:00,1.11,PUERTO DESEADO
2024-08-06 15:43:00-03:00,5.18,PUERTO DESEADO
2024-08-06 21:59:00-03:00,1.99,PUERTO DESEADO
2024-08-07 03:40:00-03:00,5.2,PUERTO DESEADO
2024-08-07 10:32:00-03:00,1.18,PUERTO DESEADO
2024-08-07 16:22:00-03:00,5.23,PUERTO DESEADO
2024-08-07 22:37:00-03:00,1.92,PUERTO DESEADO
2024-08-08 04:21:00-03:00,5.22,PUERTO DESEADO
2024-08-08 11:05:00-03:00,1.27,PUERTO DESEADO
2024-08-08 16:59:00-03:00,5.25,PUERTO DESEADO
2024-08-08 23:13:00-03:00,1.87,PUERTO DESEADO
2024-08-09 05:00:00-03:00,5.21,PUERTO DESEADO
2024-08-09 11:37:00-03:00,1.37,PUERTO DESEADO
2024-08-09 17:34:00-03:00,5.24,PUERTO DESEADO
2024-08-09 23:51:00-03:00,1.85,PUERTO DESEADO
2024-08-10 05:39:00-03:00,5.13,PUERTO DESEADO
2024-08-10 12:11:00-03:00,1.49,PUERTO DESEADO
2024-08-10 18:08:00-03:00,5.19,PUERTO DESEADO
2024-08-11 00:30:00-03:00,1.86,PUERTO DESEADO
2024-08-11 06:18:00-03:00,5.01,PUERTO DESEADO
2024-08-11 12:47:00-03:00,1.66,PUERTO DESEADO
2024-08-11 18:42:00-03:00,5.09,PUERTO DESEADO
2024-08-12 01:11:00-03:00,1.9,PUERTO DESEADO
2024-08-12 07:01:00-03:00,4.83,PUERTO DESEADO
2024-08-12 13:27:00-03:00,1.85,PUERTO DESEADO
2024-08-12 19:19:00-03:00,4.96,PUERTO DESEADO
2024-08-13 01:56:00-03:00,1.94,PUERTO DESEADO
2024-08-13 07:52:00-03:00,4.63,PUERTO DESEADO
2024-08-13 14:10:00-03:00,2.05,PUERTO DESEADO
2024-08-13 20:01:00-03:00,4.82,PUERTO DESEADO
2024-08-14 02:46:00-03:00,1.97,PUERTO DESEADO
2024-08-14 08:57:00-03:00,4.48,PUERTO DESEADO
2024-08-14 15:00:00-03:00,2.22,PUERTO DESEADO
2024-08-14 20:52:00-03:00,4.71,PUERTO DESEADO
2024-08-15 03:43:00-03:00,1.92,PUERTO DESEADO
2024-08-15 10:09:00-03:00,4.45,PUERTO DESEADO
2024-08-15 15:56:00-03:00,2.31,PUERTO DESEADO
2024-08-15 21:56:00-03:00,4.69,PUERTO DESEADO
2024-08-16 04:44:00-03:00,1.78,PUERTO DESEADO
2024-08-16 11:13:00-03:00,4.57,PUERTO DESEADO
2024-08-16 16:55:00-03:00,2.3,PUERTO DESEADO
2024-08-16 23:00:00-03:00,4.79,PUERTO DESEADO
2024-08-17 05:45:00-03:00,1.56,PUERTO DESEADO
2024-08-17 12:09:00-03:00,4.79,PUERTO DESEADO
2024-08-17 17:54:00-03:00,2.19,PUERTO DESEADO
2024-08-17 23:58:00-03:00,5.0,PUERTO DESEADO
2024-08-18 06:43:00-03:00,1.3,PUERTO DESEADO
2024-08-18 12:59:00-03:00,5.04,PUERTO DESEADO
2024-08-18 18:52:00-03:00,2.02,PUERTO DESEADO
2024-08-19 00:52:00-03:00,5.25,PUERTO DESEADO
2024-08-19 07:39:00-03:00,1.04,PUERTO DESEADO
2024-08-19 13:48:00-03:00,5.29,PUERTO DESEADO
2024-08-19 19:48:00-03:00,1.82,PUERTO DESEADO
2024-08-20 01:43:00-03:00,5.52,PUERTO DESEADO
2024-08-20 08:32:00-03:00,0.82,PUERTO DESEADO
2024-08-20 14:35:00-03:00,5.53,PUERTO DESEADO
2024-08-20 20:43:00-03:00,1.6,PUERTO DESEADO
2024-08-21 02:34:00-03:00,5.76,PUERTO DESEADO
2024-08-21 09:23:00-03:00,0.65,PUERTO DESEADO
2024-08-21 15:20:00-03:00,5.72,PUERTO DESEADO
2024-08-21 21:36:00-03:00,1.38,PUERTO DESEADO
2024-08-22 03:25:00-03:00,5.95,PUERTO DESEADO
2024-08-22 10:11:00-03:00,0.57,PUERTO DESEADO
2024-08-22 16:06:00-03:00,5.86,PUERTO DESEADO
2024-08-22 22:26:00-03:00,1.2,PUERTO DESEADO
2024-08-23 04:14:00-03:00,6.04,PUERTO DESEADO
2024-08-23 10:57:00-03:00,0.59,PUERTO DESEADO
2024-08-23 16:50:00-03:00,5.92,PUERTO DESEADO
2024-08-23 23:15:00-03:00,1.07,PUERTO DESEADO
2024-08-24 05:04:00-03:00,6.01,PUERTO DESEADO
2024-08-24 11:42:00-03:00,0.73,PUERTO DESEADO
2024-08-24 17:34:00-03:00,5.88,PUERTO DESEADO
2024-08-25 00:03:00-03:00,1.03,PUERTO DESEADO
2024-08-25 05:55:00-03:00,5.84,PUERTO DESEADO
2024-08-25 12:28:00-03:00,0.99,PUERTO DESEADO
2024-08-25 18:18:00-03:00,5.73,PUERTO DESEADO
2024-08-26 00:53:00-03:00,1.09,PUERTO DESEADO
2024-08-26 06:51:00-03:00,5.57,PUERTO DESEADO
2024-08-26 13:14:00-03:00,1.34,PUERTO DESEADO
2024-08-26 19:06:00-03:00,5.49,PUERTO DESEADO
2024-08-27 01:47:00-03:00,1.22,PUERTO DESEADO
2024-08-27 07:56:00-03:00,5.24,PUERTO DESEADO
2024-08-27 14:06:00-03:00,1.73,PUERTO DESEADO
2024-08-27 20:02:00-03:00,5.2,PUERTO DESEADO
2024-08-28 02:50:00-03:00,1.37,PUERTO DESEADO
2024-08-28 09:11:00-03:00,4.99,PUERTO DESEADO
2024-08-28 15:06:00-03:00,2.06,PUERTO DESEADO
2024-08-28 21:13:00-03:00,4.96,PUERTO DESEADO
2024-08-29 04:05:00-03:00,1.46,PUERTO DESEADO
2024-08-29 10:25:00-03:00,4.89,PUERTO DESEADO
2024-08-29 16:18:00-03:00,2.27,PUERTO DESEADO
2024-08-29 22:26:00-03:00,4.84,PUERTO DESEADO
2024-08-30 05:20:00-03:00,1.43,PUERTO DESEADO
2024-08-30 11:30:00-03:00,4.9,PUERTO DESEADO
2024-08-30 17:32:00-03:00,2.31,PUERTO DESEADO
2024-08-30 23:29:00-03:00,4.86,PUERTO DESEADO
2024-08-31 06:25:00-03:00,1.34,PUERTO DESEADO
2024-08-31 12:25:00-03:00,4.98,PUERTO DESEADO
2024-08-31 18:36:00-03:00,2.24,PUERTO DESEADO
