datetime,height,port
2024-09-01 00:24:00-03:00,4.94,PUERTO DESEADO
2024-09-01 07:20:00-03:00,1.25,PUERTO DESEADO
2024-09-01 13:12:00-03:00,5.05,PUERTO DESEADO
2024-09-01 19:29:00-03:00,2.13,PUERTO DESEADO
2024-09-02 01:12:00-03:00,5.04,PUERTO DESEADO
2024-09-02 08:09:00-03:00,1.22,PUERTO DESEADO
2024-09-02 13:54:00-03:00,5.12,PUERTO DESEADO
2024-09-02 20:15:00-03:00,2.02,PUERTO DESEADO
2024-09-03 01:55:00-03:00,5.12,PUERTO DESEADO
2024-09-03 08:50:00-03:00,1.24,PUERTO DESEADO
2024-09-03 14:33:00-03:00,5.17,PUERTO DESEADO
2024-09-03 20:55:00-03:00,1.94,PUERTO DESEADO
2024-09-04 02:36:00-03:00,5.19,PUERTO DESEADO
2024-09-04 09:27:00-03:00,1.31,PUERTO DESEADO
2024-09-04 15:10:00-03:00,5.2,PUERTO DESEADO
2024-09-04 21:31:00-03:00,1.88,PUERTO DESEADO
2024-09-05 03:15:00-03:00,5.23,PUERTO DESEADO
2024-09-05 09:59:00-03:00,1.4,PUERTO DESEADO
2024-09-05 15:45:00-03:00,5.23,PUERTO DESEADO
2024-09-05 22:06:00-03:00,1.84,PUERTO DESEADO
2024-09-06 03:53:00-03:00,5.23,PUERTO DESEADO
2024-09-06 10:29:00-03:00,1.5,PUERTO DESEADO
2024-09-06 16:19:00-03:00,5.24,PUERTO DESEADO
2024-09-06 22:42:00-03:00,1.81,PUERTO DESEADO
2024-09-07 04:30:00-03:00,5.21,PUERTO DESEADO
2024-09-07 11:01:00-03:00,1.62,PUERTO DESEADO
2024-09-07 16:51:00-03:00,5.22,PUERTO DESEADO
2024-09-07 23:19:00-03:00,1.81,PUERTO DESEADO
2024-09-08 05:07:00-03:00,5.14,PUERTO DESEADO
2024-09-08 11:36:00-03:00,1.75,PUERTO DESEADO
2024-09-08 17:22:00-03:00,5.17,PUERTO DESEADO
2024-09-08 23:57:00-03:00,1.82,PUERTO DESEADO
2024-09-09 05:46:00-03:00,5.02,PUERTO DESEADO
