datetime,height,port
2024-01-01 04:08:00-03:00,0.98,PUERTO INGENIERO WHITE
2024-01-01 10:35:00-03:00,4.2,PUERTO INGENIERO WHITE
2024-01-01 16:45:00-03:00,0.34,PUERTO INGENIERO WHITE
2024-01-01 23:04:00-03:00,4.46,PUERTO INGENIERO WHITE
2024-01-02 04:52:00-03:00,0.97,PUERTO INGENIERO WHITE
2024-01-02 11:25:00-03:00,4.2,PUERTO INGENIERO WHITE
2024-01-02 17:27:00-03:00,0.43,PUERTO INGENIERO WHITE
2024-01-02 23:38:00-03:00,4.45,PUERTO INGENIERO WHITE
2024-01-03 05:37:00-03:00,0.97,PUERTO INGENIERO WHITE
2024-01-03 12:09:00-03:00,4.21,PUERTO INGENIERO WHITE
2024-01-03 18:06:00-03:00,0.57,PUERTO INGENIERO WHITE
2024-01-04 00:13:00-03:00,4.42,PUERTO INGENIERO WHITE
2024-01-04 06:23:00-03:00,0.96,PUERTO INGENIERO WHITE
2024-01-04 12:50:00-03:00,4.22,PUERTO INGENIERO WHITE
2024-01-04 18:43:00-03:00,0.73,PUERTO INGENIERO WHITE
2024-01-05 00:50:00-03:00,4.38,PUERTO INGENIERO WHITE
2024-01-05 07:09:00-03:00,0.93,PUERTO INGENIERO WHITE
2024-01-05 13:29:00-03:00,4.22,PUERTO INGENIERO WHITE
2024-01-05 19:20:00-03:00,0.92,PUERTO INGENIERO WHITE
2024-01-06 01:32:00-03:00,4.35,PUERTO INGENIERO WHITE
2024-01-06 07:57:00-03:00,0.87,PUERTO INGENIERO WHITE
2024-01-06 14:10:00-03:00,4.22,PUERTO INGENIERO WHITE
2024-01-06 20:00:00-03:00,1.11,PUERTO INGENIERO WHITE
2024-01-07 02:19:00-03:00,4.34,PUERTO INGENIERO WHITE
2024-01-07 08:45:00-03:00,0.8,PUERTO INGENIERO WHITE
2024-01-07 14:54:00-03:00,4.19,PUERTO INGENIERO WHITE
2024-01-07 20:44:00-03:00,1.3,PUERTO INGENIERO WHITE
2024-01-08 03:09:00-03:00,4.33,PUERTO INGENIERO WHITE
2024-01-08 09:35:00-03:00,0.75,PUERTO INGENIERO WHITE
2024-01-08 15:42:00-03:00,4.12,PUERTO INGENIERO WHITE
2024-01-08 21:35:00-03:00,1.49,PUERTO INGENIERO WHITE
2024-01-09 03:59:00-03:00,4.32,PUERTO INGENIERO WHITE
2024-01-09 10:26:00-03:00,0.72,PUERTO INGENIERO WHITE
2024-01-09 16:34:00-03:00,4.01,PUERTO INGENIERO WHITE
2024-01-09 22:32:00-03:00,1.64,PUERTO INGENIERO WHITE
2024-01-10 04:48:00-03:00,4.29,PUERTO INGENIERO WHITE
2024-01-10 11:18:00-03:00,0.73,PUERTO INGENIERO WHITE
2024-01-10 17:30:00-03:00,3.89,PUERTO INGENIERO WHITE
2024-01-10 23:32:00-03:00,1.73,PUERTO INGENIERO WHITE
2024-01-11 05:33:00-03:00,4.24,PUERTO INGENIERO WHITE
2024-01-11 12:11:00-03:00,0.77,PUERTO INGENIERO WHITE
2024-01-11 18:31:00-03:00,3.79,PUERTO INGENIERO WHITE
2024-01-12 00:28:00-03:00,1.74,PUERTO INGENIERO WHITE
2024-01-12 06:15:00-03:00,4.17,PUERTO INGENIERO WHITE
2024-01-12 13:03:00-03:00,0.81,PUERTO INGENIERO WHITE
2024-01-12 19:31:00-03:00,3.74,PUERTO INGENIERO WHITE
2024-01-13 01:19:00-03:00,1.69,PUERTO INGENIERO WHITE
2024-01-13 06:56:00-03:00,4.1,PUERTO INGENIERO WHITE
2024-01-13 13:55:00-03:00,0.83,PUERTO INGENIERO WHITE
2024-01-13 20:23:00-03:00,3.74,PUERTO INGENIERO WHITE
2024-01-14 02:07:00-03:00,1.57,PUERTO INGENIERO WHITE
2024-01-14 07:39:00-03:00,4.04,PUERTO INGENIERO WHITE
2024-01-14 14:44:00-03:00,0.82,PUERTO INGENIERO WHITE
2024-01-14 21:04:00-03:00,3.8,PUERTO INGENIERO WHITE
2024-01-15 02:55:00-03:00,1.41,PUERTO INGENIERO WHITE
2024-01-15 08:31:00-03:00,4.0,PUERTO INGENIERO WHITE
2024-01-15 15:32:00-03:00,0.76,PUERTO INGENIERO WHITE
2024-01-15 21:42:00-03:00,3.91,PUERTO INGENIERO WHITE
2024-01-16 03:45:00-03:00,1.22,PUERTO INGENIERO WHITE
2024-01-16 09:47:00-03:00,4.0,PUERTO INGENIERO WHITE
2024-01-16 16:19:00-03:00,0.68,PUERTO INGENIERO WHITE
2024-01-16 22:23:00-03:00,4.05,PUERTO INGENIERO WHITE
2024-01-17 04:38:00-03:00,1.02,PUERTO INGENIERO WHITE
2024-01-17 11:18:00-03:00,4.08,PUERTO INGENIERO WHITE
2024-01-17 17:07:00-03:00,0.63,PUERTO INGENIERO WHITE
2024-01-17 23:14:00-03:00,4.18,PUERTO INGENIERO WHITE
2024-01-18 05:35:00-03:00,0.84,PUERTO INGENIERO WHITE
2024-01-18 12:27:00-03:00,4.2,PUERTO INGENIERO WHITE
2024-01-18 17:56:00-03:00,0.63,PUERTO INGENIERO WHITE
2024-01-19 00:17:00-03:00,4.28,PUERTO INGENIERO WHITE
2024-01-19 06:34:00-03:00,0.68,PUERTO INGENIERO WHITE
2024-01-19 13:25:00-03:00,4.3,PUERTO INGENIERO WHITE
2024-01-19 18:47:00-03:00,0.72,PUERTO INGENIERO WHITE
2024-01-20 01:30:00-03:00,4.34,PUERTO INGENIERO WHITE
2024-01-20 07:36:00-03:00,0.54,PUERTO INGENIERO WHITE
2024-01-20 14:22:00-03:00,4.34,PUERTO INGENIERO WHITE
2024-01-20 19:41:00-03:00,0.88,PUERTO INGENIERO WHITE
2024-01-21 02:42:00-03:00,4.4,PUERTO INGENIERO WHITE
2024-01-21 08:37:00-03:00,0.45,PUERTO INGENIERO WHITE
2024-01-21 15:18:00-03:00,4.32,PUERTO INGENIERO WHITE
2024-01-21 20:39:00-03:00,1.09,PUERTO INGENIERO WHITE
2024-01-22 03:47:00-03:00,4.44,PUERTO INGENIERO WHITE
2024-01-22 09:37:00-03:00,0.4,PUERTO INGENIERO WHITE
2024-01-22 16:16:00-03:00,4.26,PUERTO INGENIERO WHITE
2024-01-22 21:42:00-03:00,1.27,PUERTO INGENIERO WHITE
2024-01-23 04:45:00-03:00,4.45,PUERTO INGENIERO WHITE
2024-01-23 10:36:00-03:00,0.4,PUERTO INGENIERO WHITE
2024-01-23 17:17:00-03:00,4.19,PUERTO INGENIERO WHITE
2024-01-23 22:47:00-03:00,1.38,PUERTO INGENIERO WHITE
2024-01-24 05:39:00-03:00,4.41,PUERTO INGENIERO WHITE
2024-01-24 11:33:00-03:00,0.43,PUERTO INGENIERO WHITE
2024-01-24 18:19:00-03:00,4.16,PUERTO INGENIERO WHITE
2024-01-24 23:50:00-03:00,1.39,PUERTO INGENIERO WHITE
2024-01-25 06:29:00-03:00,4.35,PUERTO INGENIERO WHITE
2024-01-25 12:28:00-03:00,0.46,PUERTO INGENIERO WHITE
2024-01-25 19:18:00-03:00,4.19,PUERTO INGENIERO WHITE
2024-01-26 00:46:00-03:00,1.33,PUERTO INGENIERO WHITE
2024-01-26 07:18:00-03:00,4.27,PUERTO INGENIERO WHITE
2024-01-26 13:20:00-03:00,0.47,PUERTO INGENIERO WHITE
2024-01-26 20:09:00-03:00,4.25,PUERTO INGENIERO WHITE
2024-01-27 01:36:00-03:00,1.24,PUERTO INGENIERO WHITE
2024-01-27 08:05:00-03:00,4.2,PUERTO INGENIERO WHITE
2024-01-27 14:10:00-03:00,0.46,PUERTO INGENIERO WHITE
2024-01-27 20:54:00-03:00,4.33,PUERTO INGENIERO WHITE
2024-01-28 02:23:00-03:00,1.14,PUERTO INGENIERO WHITE
2024-01-28 08:53:00-03:00,4.15,PUERTO INGENIERO WHITE
2024-01-28 14:57:00-03:00,0.45,PUERTO INGENIERO WHITE
2024-01-28 21:33:00-03:00,4.4,PUERTO INGENIERO WHITE
2024-01-29 03:07:00-03:00,1.06,PUERTO INGENIERO WHITE
2024-01-29 09:40:00-03:00,4.13,PUERTO INGENIERO WHITE
2024-01-29 15:40:00-03:00,0.46,PUERTO INGENIERO WHITE
