datetime,height,port
2024-10-01 06:12:00-03:00,4.06,PUERTO INGENIERO WHITE
2024-10-01 11:44:00-03:00,1.25,PUERTO INGENIERO WHITE
2024-10-01 18:29:00-03:00,4.27,PUERTO INGENIERO WHITE
2024-10-02 00:19:00-03:00,0.94,PUERTO INGENIERO WHITE
2024-10-02 07:08:00-03:00,4.19,PUERTO INGENIERO WHITE
2024-10-02 12:39:00-03:00,1.1,PUERTO INGENIERO WHITE
2024-10-02 19:24:00-03:00,4.26,PUERTO INGENIERO WHITE
2024-10-03 01:13:00-03:00,0.89,PUERTO INGENIERO WHITE
2024-10-03 07:54:00-03:00,4.32,PUERTO INGENIERO WHITE
2024-10-03 13:29:00-03:00,0.96,PUERTO INGENIERO WHITE
2024-10-03 20:15:00-03:00,4.27,PUERTO INGENIERO WHITE
2024-10-04 02:01:00-03:00,0.82,PUERTO INGENIERO WHITE
2024-10-04 08:35:00-03:00,4.4,PUERTO INGENIERO WHITE
2024-10-04 14:13:00-03:00,0.84,PUERTO INGENIERO WHITE
2024-10-04 21:00:00-03:00,4.29,PUERTO INGENIERO WHITE
2024-10-05 02:42:00-03:00,0.79,PUERTO INGENIERO WHITE
2024-10-05 09:10:00-03:00,4.42,PUERTO INGENIERO WHITE
2024-10-05 14:55:00-03:00,0.76,PUERTO INGENIERO WHITE
2024-10-05 21:39:00-03:00,4.3,PUERTO INGENIERO WHITE
2024-10-06 03:19:00-03:00,0.8,PUERTO INGENIERO WHITE
2024-10-06 09:39:00-03:00,4.4,PUERTO INGENIERO WHITE
2024-10-06 15:34:00-03:00,0.71,PUERTO INGENIERO WHITE
2024-10-06 22:11:00-03:00,4.3,PUERTO INGENIERO WHITE
2024-10-07 03:50:00-03:00,0.85,PUERTO INGENIERO WHITE
2024-10-07 10:00:00-03:00,4.37,PUERTO INGENIERO WHITE
2024-10-07 16:10:00-03:00,0.67,PUERTO INGENIERO WHITE
2024-10-07 22:34:00-03:00,4.29,PUERTO INGENIERO WHITE
2024-10-08 04:19:00-03:00,0.91,PUERTO INGENIERO WHITE
2024-10-08 10:15:00-03:00,4.35,PUERTO INGENIERO WHITE
2024-10-08 16:44:00-03:00,0.62,PUERTO INGENIERO WHITE
2024-10-08 22:55:00-03:00,4.29,PUERTO INGENIERO WHITE
2024-10-09 04:46:00-03:00,0.96,PUERTO INGENIERO WHITE
2024-10-09 10:35:00-03:00,4.38,PUERTO INGENIERO WHITE
2024-10-09 17:19:00-03:00,0.56,PUERTO INGENIERO WHITE
2024-10-09 23:19:00-03:00,4.31,PUERTO INGENIERO WHITE
2024-10-10 05:17:00-03:00,0.98,PUERTO INGENIERO WHITE
2024-10-10 11:07:00-03:00,4.43,PUERTO INGENIERO WHITE
2024-10-10 17:57:00-03:00,0.49,PUERTO INGENIERO WHITE
2024-10-10 23:52:00-03:00,4.32,PUERTO INGENIERO WHITE
2024-10-11 05:52:00-03:00,1.01,PUERTO INGENIERO WHITE
2024-10-11 11:50:00-03:00,4.46,PUERTO INGENIERO WHITE
2024-10-11 18:38:00-03:00,0.46,PUERTO INGENIERO WHITE
2024-10-12 00:31:00-03:00,4.29,PUERTO INGENIERO WHITE
2024-10-12 06:35:00-03:00,1.06,PUERTO INGENIERO WHITE
2024-10-12 12:44:00-03:00,4.46,PUERTO INGENIERO WHITE
2024-10-12 19:23:00-03:00,0.48,PUERTO INGENIERO WHITE
2024-10-13 01:16:00-03:00,4.2,PUERTO INGENIERO WHITE
2024-10-13 07:25:00-03:00,1.16,PUERTO INGENIERO WHITE
