datetime,height,port
2024-11-01 00:45:00-03:00,1.08,PUERTO INGENIERO WHITE
2024-11-01 07:17:00-03:00,4.38,PUERTO INGENIERO WHITE
2024-11-01 13:03:00-03:00,0.8,PUERTO INGENIERO WHITE
2024-11-01 19:45:00-03:00,4.24,PUERTO INGENIERO WHITE
2024-11-02 01:33:00-03:00,1.05,PUERTO INGENIERO WHITE
2024-11-02 07:57:00-03:00,4.42,PUERTO INGENIERO WHITE
2024-11-02 13:48:00-03:00,0.71,PUERTO INGENIERO WHITE
2024-11-02 20:31:00-03:00,4.26,PUERTO INGENIERO WHITE
2024-11-03 02:14:00-03:00,1.04,PUERTO INGENIERO WHITE
2024-11-03 08:33:00-03:00,4.41,PUERTO INGENIERO WHITE
2024-11-03 14:29:00-03:00,0.66,PUERTO INGENIERO WHITE
2024-11-03 21:12:00-03:00,4.27,PUERTO INGENIERO WHITE
2024-11-04 02:50:00-03:00,1.06,PUERTO INGENIERO WHITE
2024-11-04 09:02:00-03:00,4.35,PUERTO INGENIERO WHITE
2024-11-04 15:07:00-03:00,0.63,PUERTO INGENIERO WHITE
2024-11-04 21:45:00-03:00,4.25,PUERTO INGENIERO WHITE
2024-11-05 03:20:00-03:00,1.11,PUERTO INGENIERO WHITE
2024-11-05 09:22:00-03:00,4.3,PUERTO INGENIERO WHITE
2024-11-05 15:42:00-03:00,0.61,PUERTO INGENIERO WHITE
2024-11-05 22:10:00-03:00,4.23,PUERTO INGENIERO WHITE
2024-11-06 03:48:00-03:00,1.14,PUERTO INGENIERO WHITE
2024-11-06 09:38:00-03:00,4.28,PUERTO INGENIERO WHITE
2024-11-06 16:16:00-03:00,0.58,PUERTO INGENIERO WHITE
2024-11-06 22:29:00-03:00,4.23,PUERTO INGENIERO WHITE
2024-11-07 04:17:00-03:00,1.14,PUERTO INGENIERO WHITE
2024-11-07 10:01:00-03:00,4.31,PUERTO INGENIERO WHITE
2024-11-07 16:51:00-03:00,0.51,PUERTO INGENIERO WHITE
