datetime,height,port
2024-12-01 00:57:00-03:00,1.31,PUERTO INGENIERO WHITE
2024-12-01 07:11:00-03:00,4.39,PUERTO INGENIERO WHITE
2024-12-01 13:14:00-03:00,0.65,PUERTO INGENIERO WHITE
2024-12-01 19:54:00-03:00,4.17,PUERTO INGENIERO WHITE
2024-12-02 01:39:00-03:00,1.31,PUERTO INGENIERO WHITE
2024-12-02 07:47:00-03:00,4.35,PUERTO INGENIERO WHITE
2024-12-02 13:56:00-03:00,0.63,PUERTO INGENIERO WHITE
2024-12-02 20:39:00-03:00,4.17,PUERTO INGENIERO WHITE
2024-12-03 02:16:00-03:00,1.33,PUERTO INGENIERO WHITE
2024-12-03 08:18:00-03:00,4.28,PUERTO INGENIERO WHITE
2024-12-03 14:36:00-03:00,0.63,PUERTO INGENIERO WHITE
2024-12-03 21:17:00-03:00,4.15,PUERTO INGENIERO WHITE
2024-12-04 02:48:00-03:00,1.35,PUERTO INGENIERO WHITE
2024-12-04 08:42:00-03:00,4.22,PUERTO INGENIERO WHITE
2024-12-04 15:13:00-03:00,0.62,PUERTO INGENIERO WHITE
2024-12-04 21:45:00-03:00,4.13,PUERTO INGENIERO WHITE
2024-12-05 03:18:00-03:00,1.33,PUERTO INGENIERO WHITE
2024-12-05 09:05:00-03:00,4.19,PUERTO INGENIERO WHITE
2024-12-05 15:48:00-03:00,0.6,PUERTO INGENIERO WHITE
2024-12-05 22:06:00-03:00,4.14,PUERTO INGENIERO WHITE
2024-12-06 03:51:00-03:00,1.27,PUERTO INGENIERO WHITE
2024-12-06 09:36:00-03:00,4.21,PUERTO INGENIERO WHITE
2024-12-06 16:25:00-03:00,0.54,PUERTO INGENIERO WHITE
2024-12-06 22:29:00-03:00,4.2,PUERTO INGENIERO WHITE
2024-12-07 04:28:00-03:00,1.16,PUERTO INGENIERO WHITE
2024-12-07 10:18:00-03:00,4.25,PUERTO INGENIERO WHITE
2024-12-07 17:04:00-03:00,0.47,PUERTO INGENIERO WHITE
2024-12-07 23:00:00-03:00,4.27,PUERTO INGENIERO WHITE
2024-12-08 05:11:00-03:00,1.05,PUERTO INGENIERO WHITE
2024-12-08 11:12:00-03:00,4.3,PUERTO INGENIERO WHITE
2024-12-08 17:46:00-03:00,0.42,PUERTO INGENIERO WHITE
2024-12-08 23:38:00-03:00,4.34,PUERTO INGENIERO WHITE
2024-12-09 06:00:00-03:00,0.94,PUERTO INGENIERO WHITE
2024-12-09 12:16:00-03:00,4.35,PUERTO INGENIERO WHITE
2024-12-09 18:31:00-03:00,0.44,PUERTO INGENIERO WHITE
2024-12-10 00:23:00-03:00,4.35,PUERTO INGENIERO WHITE
2024-12-10 06:54:00-03:00,0.86,PUERTO INGENIERO WHITE
2024-12-10 13:20:00-03:00,4.38,PUERTO INGENIERO WHITE
2024-12-10 19:19:00-03:00,0.56,PUERTO INGENIERO WHITE
2024-12-11 01:16:00-03:00,4.32,PUERTO INGENIERO WHITE
2024-12-11 07:54:00-03:00,0.8,PUERTO INGENIERO WHITE
2024-12-11 14:20:00-03:00,4.37,PUERTO INGENIERO WHITE
2024-12-11 20:10:00-03:00,0.76,PUERTO INGENIERO WHITE
2024-12-12 02:18:00-03:00,4.25,PUERTO INGENIERO WHITE
2024-12-12 08:56:00-03:00,0.74,PUERTO INGENIERO WHITE
2024-12-12 15:18:00-03:00,4.3,PUERTO INGENIERO WHITE
2024-12-12 21:05:00-03:00,1.0,PUERTO INGENIERO WHITE
2024-12-13 03:25:00-03:00,4.2,PUERTO INGENIERO WHITE
2024-12-13 09:57:00-03:00,0.69,PUERTO INGENIERO WHITE
2024-12-13 16:17:00-03:00,4.18,PUERTO INGENIERO WHITE
2024-12-13 22:05:00-03:00,1.24,PUERTO INGENIERO WHITE
2024-12-14 04:28:00-03:00,4.16,PUERTO INGENIERO WHITE
2024-12-14 10:57:00-03:00,0.65,PUERTO INGENIERO WHITE
2024-12-14 17:16:00-03:00,4.05,PUERTO INGENIERO WHITE
2024-12-14 23:07:00-03:00,1.41,PUERTO INGENIERO WHITE
2024-12-15 05:20:00-03:00,4.14,PUERTO INGENIERO WHITE
2024-12-15 11:55:00-03:00,0.63,PUERTO INGENIERO WHITE
2024-12-15 18:19:00-03:00,3.94,PUERTO INGENIERO WHITE
2024-12-16 00:08:00-03:00,1.47,PUERTO INGENIERO WHITE
2024-12-16 06:04:00-03:00,4.13,PUERTO INGENIERO WHITE
2024-12-16 12:51:00-03:00,0.6,PUERTO INGENIERO WHITE
2024-12-16 19:23:00-03:00,3.9,PUERTO INGENIERO WHITE
2024-12-17 01:04:00-03:00,1.44,PUERTO INGENIERO WHITE
2024-12-17 06:41:00-03:00,4.13,PUERTO INGENIERO WHITE
2024-12-17 13:45:00-03:00,0.57,PUERTO INGENIERO WHITE
2024-12-17 20:23:00-03:00,3.93,PUERTO INGENIERO WHITE
2024-12-18 01:56:00-03:00,1.35,PUERTO INGENIERO WHITE
2024-12-18 07:20:00-03:00,4.14,PUERTO INGENIERO WHITE
2024-12-18 14:39:00-03:00,0.52,PUERTO INGENIERO WHITE
2024-12-18 21:15:00-03:00,4.01,PUERTO INGENIERO WHITE
2024-12-19 02:46:00-03:00,1.23,PUERTO INGENIERO WHITE
2024-12-19 08:08:00-03:00,4.13,PUERTO INGENIERO WHITE
2024-12-19 15:31:00-03:00,0.47,PUERTO INGENIERO WHITE
2024-12-19 22:03:00-03:00,4.12,PUERTO INGENIERO WHITE
2024-12-20 03:36:00-03:00,1.12,PUERTO INGENIERO WHITE
2024-12-20 09:22:00-03:00,4.09,PUERTO INGENIERO WHITE
2024-12-20 16:21:00-03:00,0.43,PUERTO INGENIERO WHITE
2024-12-20 22:50:00-03:00,4.22,PUERTO INGENIERO WHITE
2024-12-21 04:28:00-03:00,1.04,PUERTO INGENIERO WHITE
2024-12-21 11:14:00-03:00,4.11,PUERTO INGENIERO WHITE
2024-12-21 17:11:00-03:00,0.44,PUERTO INGENIERO WHITE
2024-12-21 23:39:00-03:00,4.29,PUERTO INGENIERO WHITE
2024-12-22 05:22:00-03:00,0.99,PUERTO INGENIERO WHITE
2024-12-22 12:23:00-03:00,4.17,PUERTO INGENIERO WHITE
