datetime,height,port
2024-02-01 05:12:00-03:00,0.9,PUERTO INGENIERO WHITE
2024-02-01 11:35:00-03:00,4.17,PUERTO INGENIERO WHITE
2024-02-01 17:31:00-03:00,0.69,PUERTO INGENIERO WHITE
2024-02-01 23:30:00-03:00,4.45,PUERTO INGENIERO WHITE
2024-02-02 05:53:00-03:00,0.84,PUERTO INGENIERO WHITE
2024-02-02 12:08:00-03:00,4.21,PUERTO INGENIERO WHITE
2024-02-02 18:03:00-03:00,0.81,PUERTO INGENIERO WHITE
2024-02-03 00:00:00-03:00,4.45,PUERTO INGENIERO WHITE
2024-02-03 06:34:00-03:00,0.75,PUERTO INGENIERO WHITE
2024-02-03 12:43:00-03:00,4.24,PUERTO INGENIERO WHITE
2024-02-03 18:37:00-03:00,0.94,PUERTO INGENIERO WHITE
2024-02-04 00:37:00-03:00,4.46,PUERTO INGENIERO WHITE
2024-02-04 07:17:00-03:00,0.66,PUERTO INGENIERO WHITE
2024-02-04 13:23:00-03:00,4.26,PUERTO INGENIERO WHITE
2024-02-04 19:14:00-03:00,1.08,PUERTO INGENIERO WHITE
2024-02-05 01:22:00-03:00,4.45,PUERTO INGENIERO WHITE
2024-02-05 08:02:00-03:00,0.59,PUERTO INGENIERO WHITE
2024-02-05 14:08:00-03:00,4.22,PUERTO INGENIERO WHITE
2024-02-05 19:57:00-03:00,1.26,PUERTO INGENIERO WHITE
2024-02-06 02:13:00-03:00,4.43,PUERTO INGENIERO WHITE
2024-02-06 08:51:00-03:00,0.56,PUERTO INGENIERO WHITE
2024-02-06 14:56:00-03:00,4.12,PUERTO INGENIERO WHITE
2024-02-06 20:47:00-03:00,1.45,PUERTO INGENIERO WHITE
2024-02-07 03:08:00-03:00,4.39,PUERTO INGENIERO WHITE
2024-02-07 09:42:00-03:00,0.59,PUERTO INGENIERO WHITE
2024-02-07 15:49:00-03:00,3.98,PUERTO INGENIERO WHITE
2024-02-07 21:46:00-03:00,1.63,PUERTO INGENIERO WHITE
2024-02-08 04:02:00-03:00,4.32,PUERTO INGENIERO WHITE
2024-02-08 10:37:00-03:00,0.68,PUERTO INGENIERO WHITE
2024-02-08 16:48:00-03:00,3.83,PUERTO INGENIERO WHITE
2024-02-08 22:50:00-03:00,1.74,PUERTO INGENIERO WHITE
2024-02-09 04:54:00-03:00,4.24,PUERTO INGENIERO WHITE
2024-02-09 11:34:00-03:00,0.8,PUERTO INGENIERO WHITE
2024-02-09 17:54:00-03:00,3.72,PUERTO INGENIERO WHITE
