datetime,height,port
2024-04-01 05:30:00-03:00,0.47,PUERTO INGENIERO WHITE
2024-04-01 11:30:00-03:00,4.2,PUERTO INGENIERO WHITE
2024-04-01 17:25:00-03:00,1.09,PUERTO INGENIERO WHITE
2024-04-01 23:07:00-03:00,4.55,PUERTO INGENIERO WHITE
2024-04-02 06:11:00-03:00,0.37,PUERTO INGENIERO WHITE
2024-04-02 12:09:00-03:00,4.22,PUERTO INGENIERO WHITE
2024-04-02 18:05:00-03:00,1.15,PUERTO INGENIERO WHITE
2024-04-02 23:54:00-03:00,4.52,PUERTO INGENIERO WHITE
2024-04-03 06:56:00-03:00,0.34,PUERTO INGENIERO WHITE
2024-04-03 12:53:00-03:00,4.19,PUERTO INGENIERO WHITE
2024-04-03 18:53:00-03:00,1.26,PUERTO INGENIERO WHITE
2024-04-04 00:52:00-03:00,4.45,PUERTO INGENIERO WHITE
2024-04-04 07:45:00-03:00,0.39,PUERTO INGENIERO WHITE
2024-04-04 13:45:00-03:00,4.09,PUERTO INGENIERO WHITE
2024-04-04 19:48:00-03:00,1.41,PUERTO INGENIERO WHITE
2024-04-05 02:00:00-03:00,4.34,PUERTO INGENIERO WHITE
2024-04-05 08:37:00-03:00,0.52,PUERTO INGENIERO WHITE
2024-04-05 14:44:00-03:00,3.95,PUERTO INGENIERO WHITE
2024-04-05 20:53:00-03:00,1.52,PUERTO INGENIERO WHITE
2024-04-06 03:10:00-03:00,4.23,PUERTO INGENIERO WHITE
2024-04-06 09:34:00-03:00,0.72,PUERTO INGENIERO WHITE
2024-04-06 15:55:00-03:00,3.85,PUERTO INGENIERO WHITE
2024-04-06 22:05:00-03:00,1.54,PUERTO INGENIERO WHITE
2024-04-07 04:17:00-03:00,4.13,PUERTO INGENIERO WHITE
2024-04-07 10:35:00-03:00,0.92,PUERTO INGENIERO WHITE
2024-04-07 17:12:00-03:00,3.83,PUERTO INGENIERO WHITE
2024-04-07 23:14:00-03:00,1.44,PUERTO INGENIERO WHITE
2024-04-08 05:22:00-03:00,4.03,PUERTO INGENIERO WHITE
2024-04-08 11:38:00-03:00,1.07,PUERTO INGENIERO WHITE
2024-04-08 18:21:00-03:00,3.89,PUERTO INGENIERO WHITE
2024-04-09 00:17:00-03:00,1.24,PUERTO INGENIERO WHITE
2024-04-09 06:28:00-03:00,3.97,PUERTO INGENIERO WHITE
2024-04-09 12:38:00-03:00,1.12,PUERTO INGENIERO WHITE
2024-04-09 19:12:00-03:00,4.0,PUERTO INGENIERO WHITE
2024-04-10 01:13:00-03:00,1.0,PUERTO INGENIERO WHITE
2024-04-10 07:36:00-03:00,3.95,PUERTO INGENIERO WHITE
2024-04-10 13:32:00-03:00,1.09,PUERTO INGENIERO WHITE
2024-04-10 19:51:00-03:00,4.14,PUERTO INGENIERO WHITE
2024-04-11 02:06:00-03:00,0.75,PUERTO INGENIERO WHITE
2024-04-11 08:40:00-03:00,3.99,PUERTO INGENIERO WHITE
2024-04-11 14:22:00-03:00,1.01,PUERTO INGENIERO WHITE
2024-04-11 20:23:00-03:00,4.3,PUERTO INGENIERO WHITE
2024-04-12 02:57:00-03:00,0.51,PUERTO INGENIERO WHITE
2024-04-12 09:36:00-03:00,4.08,PUERTO INGENIERO WHITE
2024-04-12 15:08:00-03:00,0.91,PUERTO INGENIERO WHITE
2024-04-12 20:57:00-03:00,4.44,PUERTO INGENIERO WHITE
2024-04-13 03:48:00-03:00,0.3,PUERTO INGENIERO WHITE
2024-04-13 10:27:00-03:00,4.19,PUERTO INGENIERO WHITE
2024-04-13 15:54:00-03:00,0.84,PUERTO INGENIERO WHITE
2024-04-13 21:39:00-03:00,4.53,PUERTO INGENIERO WHITE
2024-04-14 04:40:00-03:00,0.15,PUERTO INGENIERO WHITE
