datetime,height,port
2024-02-01 04:40:00-03:00,0.85,PUERTO LA PLATA
2024-02-01 07:47:00-03:00,0.93,PUERTO LA PLATA
2024-02-01 15:37:00-03:00,0.36,PUERTO LA PLATA
2024-02-01 23:05:00-03:00,1.24,PUERTO LA PLATA
2024-02-02 05:22:00-03:00,0.77,PUERTO LA PLATA
2024-02-02 08:17:00-03:00,0.86,PUERTO LA PLATA
2024-02-02 16:08:00-03:00,0.34,PUERTO LA PLATA
2024-02-02 23:42:00-03:00,1.2,PUERTO LA PLATA
2024-02-03 05:59:00-03:00,0.72,PUERTO LA PLATA
2024-02-03 08:58:00-03:00,0.82,PUERTO LA PLATA
2024-02-03 16:43:00-03:00,0.35,PUERTO LA PLATA
2024-02-04 00:13:00-03:00,1.13,PUERTO LA PLATA
2024-02-04 06:31:00-03:00,0.7,PUERTO LA PLATA
2024-02-04 09:53:00-03:00,0.84,PUERTO LA PLATA
2024-02-04 17:30:00-03:00,0.4,PUERTO LA PLATA
2024-02-05 00:40:00-03:00,1.06,PUERTO LA PLATA
2024-02-05 07:01:00-03:00,0.69,PUERTO LA PLATA
2024-02-05 11:09:00-03:00,0.9,PUERTO LA PLATA
2024-02-05 18:31:00-03:00,0.47,PUERTO LA PLATA
2024-02-06 01:07:00-03:00,1.02,PUERTO LA PLATA
2024-02-06 07:35:00-03:00,0.68,PUERTO LA PLATA
2024-02-06 12:39:00-03:00,1.0,PUERTO LA PLATA
2024-02-06 19:36:00-03:00,0.55,PUERTO LA PLATA
2024-02-07 01:43:00-03:00,1.01,PUERTO LA PLATA
2024-02-07 08:17:00-03:00,0.67,PUERTO LA PLATA
2024-02-07 13:54:00-03:00,1.12,PUERTO LA PLATA
2024-02-07 20:39:00-03:00,0.64,PUERTO LA PLATA
2024-02-08 02:27:00-03:00,1.05,PUERTO LA PLATA
2024-02-08 09:12:00-03:00,0.66,PUERTO LA PLATA
2024-02-08 15:04:00-03:00,1.24,PUERTO LA PLATA
2024-02-08 21:54:00-03:00,0.73,PUERTO LA PLATA
2024-02-09 03:17:00-03:00,1.1,PUERTO LA PLATA
2024-02-09 10:28:00-03:00,0.63,PUERTO LA PLATA
2024-02-09 16:16:00-03:00,1.34,PUERTO LA PLATA
2024-02-09 23:46:00-03:00,0.79,PUERTO LA PLATA
2024-02-10 04:11:00-03:00,1.15,PUERTO LA PLATA
2024-02-10 11:49:00-03:00,0.57,PUERTO LA PLATA
2024-02-10 17:34:00-03:00,1.43,PUERTO LA PLATA
2024-02-11 01:00:00-03:00,0.82,PUERTO LA PLATA
2024-02-11 05:05:00-03:00,1.19,PUERTO LA PLATA
2024-02-11 12:51:00-03:00,0.49,PUERTO LA PLATA
2024-02-11 18:49:00-03:00,1.51,PUERTO LA PLATA
2024-02-12 01:59:00-03:00,0.83,PUERTO LA PLATA
2024-02-12 05:56:00-03:00,1.18,PUERTO LA PLATA
2024-02-12 13:44:00-03:00,0.41,PUERTO LA PLATA
2024-02-12 19:53:00-03:00,1.55,PUERTO LA PLATA
2024-02-13 02:53:00-03:00,0.82,PUERTO LA PLATA
2024-02-13 06:43:00-03:00,1.15,PUERTO LA PLATA
2024-02-13 14:33:00-03:00,0.35,PUERTO LA PLATA
2024-02-13 20:55:00-03:00,1.55,PUERTO LA PLATA
2024-02-14 03:44:00-03:00,0.8,PUERTO LA PLATA
2024-02-14 07:29:00-03:00,1.11,PUERTO LA PLATA
2024-02-14 15:21:00-03:00,0.31,PUERTO LA PLATA
2024-02-14 21:55:00-03:00,1.52,PUERTO LA PLATA
2024-02-15 04:32:00-03:00,0.78,PUERTO LA PLATA
2024-02-15 08:17:00-03:00,1.07,PUERTO LA PLATA
2024-02-15 16:13:00-03:00,0.29,PUERTO LA PLATA
2024-02-15 22:54:00-03:00,1.44,PUERTO LA PLATA
2024-02-16 05:16:00-03:00,0.76,PUERTO LA PLATA
2024-02-16 09:11:00-03:00,1.06,PUERTO LA PLATA
