datetime,height,port
2024-04-01 04:10:00-03:00,0.55,PUERTO LA PLATA
2024-04-01 09:13:00-03:00,1.1,PUERTO LA PLATA
2024-04-01 16:49:00-03:00,0.49,PUERTO LA PLATA
2024-04-01 22:11:00-03:00,0.87,PUERTO LA PLATA
2024-04-02 04:48:00-03:00,0.53,PUERTO LA PLATA
2024-04-02 10:02:00-03:00,1.1,PUERTO LA PLATA
2024-04-02 17:35:00-03:00,0.47,PUERTO LA PLATA
2024-04-02 22:59:00-03:00,0.86,PUERTO LA PLATA
2024-04-03 05:34:00-03:00,0.51,PUERTO LA PLATA
2024-04-03 11:02:00-03:00,1.09,PUERTO LA PLATA
2024-04-03 18:23:00-03:00,0.48,PUERTO LA PLATA
2024-04-03 23:55:00-03:00,0.87,PUERTO LA PLATA
2024-04-04 06:30:00-03:00,0.51,PUERTO LA PLATA
2024-04-04 12:15:00-03:00,1.07,PUERTO LA PLATA
2024-04-04 19:19:00-03:00,0.52,PUERTO LA PLATA
2024-04-05 00:54:00-03:00,0.89,PUERTO LA PLATA
2024-04-05 07:36:00-03:00,0.5,PUERTO LA PLATA
2024-04-05 13:35:00-03:00,1.09,PUERTO LA PLATA
2024-04-05 20:38:00-03:00,0.59,PUERTO LA PLATA
2024-04-06 01:53:00-03:00,0.91,PUERTO LA PLATA
2024-04-06 08:53:00-03:00,0.48,PUERTO LA PLATA
2024-04-06 14:56:00-03:00,1.16,PUERTO LA PLATA
2024-04-06 22:26:00-03:00,0.63,PUERTO LA PLATA
2024-04-07 02:53:00-03:00,0.93,PUERTO LA PLATA
2024-04-07 10:12:00-03:00,0.44,PUERTO LA PLATA
2024-04-07 16:13:00-03:00,1.27,PUERTO LA PLATA
2024-04-07 23:41:00-03:00,0.64,PUERTO LA PLATA
2024-04-08 03:51:00-03:00,0.96,PUERTO LA PLATA
2024-04-08 11:16:00-03:00,0.39,PUERTO LA PLATA
2024-04-08 17:18:00-03:00,1.37,PUERTO LA PLATA
2024-04-09 00:33:00-03:00,0.63,PUERTO LA PLATA
2024-04-09 04:47:00-03:00,1.02,PUERTO LA PLATA
2024-04-09 12:11:00-03:00,0.36,PUERTO LA PLATA
2024-04-09 18:14:00-03:00,1.43,PUERTO LA PLATA
2024-04-10 01:16:00-03:00,0.64,PUERTO LA PLATA
2024-04-10 05:40:00-03:00,1.1,PUERTO LA PLATA
2024-04-10 13:04:00-03:00,0.35,PUERTO LA PLATA
2024-04-10 19:06:00-03:00,1.42,PUERTO LA PLATA
2024-04-11 01:53:00-03:00,0.65,PUERTO LA PLATA
2024-04-11 06:31:00-03:00,1.21,PUERTO LA PLATA
2024-04-11 14:00:00-03:00,0.35,PUERTO LA PLATA
2024-04-11 20:00:00-03:00,1.33,PUERTO LA PLATA
2024-04-12 02:27:00-03:00,0.67,PUERTO LA PLATA
2024-04-12 07:20:00-03:00,1.31,PUERTO LA PLATA
2024-04-12 15:00:00-03:00,0.35,PUERTO LA PLATA
2024-04-12 21:00:00-03:00,1.21,PUERTO LA PLATA
2024-04-13 02:59:00-03:00,0.68,PUERTO LA PLATA
2024-04-13 08:09:00-03:00,1.37,PUERTO LA PLATA
2024-04-13 16:05:00-03:00,0.34,PUERTO LA PLATA
2024-04-13 22:08:00-03:00,1.07,PUERTO LA PLATA
2024-04-14 03:33:00-03:00,0.7,PUERTO LA PLATA
2024-04-14 08:59:00-03:00,1.37,PUERTO LA PLATA
2024-04-14 17:12:00-03:00,0.34,PUERTO LA PLATA
2024-04-14 23:21:00-03:00,0.97,PUERTO LA PLATA
2024-04-15 04:13:00-03:00,0.72,PUERTO LA PLATA
2024-04-15 09:52:00-03:00,1.3,PUERTO LA PLATA
2024-04-15 18:19:00-03:00,0.35,PUERTO LA PLATA
2024-04-16 00:33:00-03:00,0.91,PUERTO LA PLATA
2024-04-16 05:08:00-03:00,0.72,PUERTO LA PLATA
2024-04-16 10:59:00-03:00,1.17,PUERTO LA PLATA
2024-04-16 19:23:00-03:00,0.39,PUERTO LA PLATA
2024-04-17 01:36:00-03:00,0.88,PUERTO LA PLATA
2024-04-17 06:29:00-03:00,0.7,PUERTO LA PLATA
2024-04-17 12:51:00-03:00,1.03,PUERTO LA PLATA
2024-04-17 20:27:00-03:00,0.45,PUERTO LA PLATA
2024-04-18 02:26:00-03:00,0.87,PUERTO LA PLATA
2024-04-18 08:05:00-03:00,0.64,PUERTO LA PLATA
2024-04-18 14:39:00-03:00,0.95,PUERTO LA PLATA
2024-04-18 21:33:00-03:00,0.53,PUERTO LA PLATA
2024-04-19 03:03:00-03:00,0.86,PUERTO LA PLATA
2024-04-19 09:24:00-03:00,0.54,PUERTO LA PLATA
2024-04-19 16:00:00-03:00,0.95,PUERTO LA PLATA
2024-04-19 22:35:00-03:00,0.6,PUERTO LA PLATA
2024-04-20 03:32:00-03:00,0.85,PUERTO LA PLATA
2024-04-20 10:11:00-03:00,0.46,PUERTO LA PLATA
2024-04-20 16:57:00-03:00,0.99,PUERTO LA PLATA
2024-04-20 23:27:00-03:00,0.65,PUERTO LA PLATA
2024-04-21 03:56:00-03:00,0.84,PUERTO LA PLATA
2024-04-21 10:40:00-03:00,0.41,PUERTO LA PLATA
2024-04-21 17:35:00-03:00,1.05,PUERTO LA PLATA
2024-04-22 00:03:00-03:00,0.69,PUERTO LA PLATA
2024-04-22 04:18:00-03:00,0.84,PUERTO LA PLATA
2024-04-22 11:05:00-03:00,0.39,PUERTO LA PLATA
2024-04-22 18:05:00-03:00,1.1,PUERTO LA PLATA
2024-04-23 00:27:00-03:00,0.7,PUERTO LA PLATA
2024-04-23 04:43:00-03:00,0.87,PUERTO LA PLATA
2024-04-23 11:35:00-03:00,0.4,PUERTO LA PLATA
2024-04-23 18:34:00-03:00,1.12,PUERTO LA PLATA
2024-04-24 00:44:00-03:00,0.71,PUERTO LA PLATA
2024-04-24 05:13:00-03:00,0.92,PUERTO LA PLATA
2024-04-24 12:11:00-03:00,0.44,PUERTO LA PLATA
2024-04-24 19:03:00-03:00,1.1,PUERTO LA PLATA
2024-04-25 01:03:00-03:00,0.7,PUERTO LA PLATA
2024-04-25 05:46:00-03:00,0.99,PUERTO LA PLATA
2024-04-25 12:54:00-03:00,0.48,PUERTO LA PLATA
2024-04-25 19:32:00-03:00,1.03,PUERTO LA PLATA
2024-04-26 01:24:00-03:00,0.67,PUERTO LA PLATA
2024-04-26 06:21:00-03:00,1.07,PUERTO LA PLATA
2024-04-26 13:42:00-03:00,0.52,PUERTO LA PLATA
2024-04-26 19:57:00-03:00,0.95,PUERTO LA PLATA
2024-04-27 01:50:00-03:00,0.64,PUERTO LA PLATA
2024-04-27 06:57:00-03:00,1.15,PUERTO LA PLATA
2024-04-27 14:32:00-03:00,0.54,PUERTO LA PLATA
2024-04-27 20:18:00-03:00,0.87,PUERTO LA PLATA
2024-04-28 02:20:00-03:00,0.6,PUERTO LA PLATA
2024-04-28 07:35:00-03:00,1.2,PUERTO LA PLATA
2024-04-28 15:21:00-03:00,0.52,PUERTO LA PLATA
2024-04-28 20:39:00-03:00,0.82,PUERTO LA PLATA
2024-04-29 02:57:00-03:00,0.55,PUERTO LA PLATA
2024-04-29 08:16:00-03:00,1.21,PUERTO LA PLATA
2024-04-29 16:07:00-03:00,0.49,PUERTO LA PLATA
2024-04-29 21:15:00-03:00,0.8,PUERTO LA PLATA
2024-04-30 03:43:00-03:00,0.51,PUERTO LA PLATA
2024-04-30 09:01:00-03:00,1.18,PUERTO LA PLATA
2024-04-30 16:50:00-03:00,0.45,PUERTO LA PLATA
2024-04-30 22:03:00-03:00,0.81,PUERTO LA PLATA
