datetime,height,port
2024-06-01 06:31:00-03:00,0.28,PUERTO LA PLATA
2024-06-01 12:36:00-03:00,0.99,PUERTO LA PLATA
2024-06-01 19:33:00-03:00,0.42,PUERTO LA PLATA
2024-06-02 00:35:00-03:00,0.71,PUERTO LA PLATA
2024-06-02 07:29:00-03:00,0.26,PUERTO LA PLATA
2024-06-02 13:41:00-03:00,1.01,PUERTO LA PLATA
2024-06-02 20:38:00-03:00,0.43,PUERTO LA PLATA
2024-06-03 01:39:00-03:00,0.72,PUERTO LA PLATA
2024-06-03 08:31:00-03:00,0.26,PUERTO LA PLATA
2024-06-03 14:37:00-03:00,1.04,PUERTO LA PLATA
2024-06-03 21:38:00-03:00,0.44,PUERTO LA PLATA
2024-06-04 02:37:00-03:00,0.8,PUERTO LA PLATA
2024-06-04 09:37:00-03:00,0.27,PUERTO LA PLATA
2024-06-04 15:29:00-03:00,1.06,PUERTO LA PLATA
2024-06-04 22:26:00-03:00,0.46,PUERTO LA PLATA
2024-06-05 03:31:00-03:00,0.94,PUERTO LA PLATA
2024-06-05 10:45:00-03:00,0.28,PUERTO LA PLATA
2024-06-05 16:22:00-03:00,1.04,PUERTO LA PLATA
2024-06-05 23:05:00-03:00,0.5,PUERTO LA PLATA
2024-06-06 04:24:00-03:00,1.12,PUERTO LA PLATA
2024-06-06 11:53:00-03:00,0.3,PUERTO LA PLATA
2024-06-06 17:21:00-03:00,0.99,PUERTO LA PLATA
2024-06-06 23:39:00-03:00,0.54,PUERTO LA PLATA
2024-06-07 05:15:00-03:00,1.3,PUERTO LA PLATA
2024-06-07 12:59:00-03:00,0.33,PUERTO LA PLATA
2024-06-07 18:27:00-03:00,0.94,PUERTO LA PLATA
2024-06-08 00:12:00-03:00,0.58,PUERTO LA PLATA
2024-06-08 06:04:00-03:00,1.41,PUERTO LA PLATA
2024-06-08 14:01:00-03:00,0.36,PUERTO LA PLATA
2024-06-08 19:33:00-03:00,0.9,PUERTO LA PLATA
2024-06-09 00:51:00-03:00,0.62,PUERTO LA PLATA
2024-06-09 06:51:00-03:00,1.44,PUERTO LA PLATA
2024-06-09 15:01:00-03:00,0.41,PUERTO LA PLATA
2024-06-09 20:31:00-03:00,0.88,PUERTO LA PLATA
2024-06-10 01:41:00-03:00,0.65,PUERTO LA PLATA
2024-06-10 07:38:00-03:00,1.37,PUERTO LA PLATA
2024-06-10 15:56:00-03:00,0.46,PUERTO LA PLATA
2024-06-10 21:24:00-03:00,0.87,PUERTO LA PLATA
2024-06-11 02:41:00-03:00,0.64,PUERTO LA PLATA
2024-06-11 08:26:00-03:00,1.23,PUERTO LA PLATA
2024-06-11 16:47:00-03:00,0.51,PUERTO LA PLATA
2024-06-11 22:11:00-03:00,0.85,PUERTO LA PLATA
2024-06-12 03:41:00-03:00,0.6,PUERTO LA PLATA
2024-06-12 09:21:00-03:00,1.07,PUERTO LA PLATA
2024-06-12 17:33:00-03:00,0.54,PUERTO LA PLATA
2024-06-12 22:52:00-03:00,0.82,PUERTO LA PLATA
2024-06-13 04:36:00-03:00,0.53,PUERTO LA PLATA
2024-06-13 10:49:00-03:00,0.94,PUERTO LA PLATA
2024-06-13 18:18:00-03:00,0.54,PUERTO LA PLATA
2024-06-13 23:29:00-03:00,0.76,PUERTO LA PLATA
2024-06-14 05:21:00-03:00,0.44,PUERTO LA PLATA
2024-06-14 12:27:00-03:00,0.88,PUERTO LA PLATA
2024-06-14 19:05:00-03:00,0.52,PUERTO LA PLATA
2024-06-15 00:05:00-03:00,0.68,PUERTO LA PLATA
2024-06-15 05:57:00-03:00,0.36,PUERTO LA PLATA
2024-06-15 13:20:00-03:00,0.88,PUERTO LA PLATA
2024-06-15 19:58:00-03:00,0.5,PUERTO LA PLATA
2024-06-16 00:40:00-03:00,0.6,PUERTO LA PLATA
2024-06-16 06:31:00-03:00,0.3,PUERTO LA PLATA
2024-06-16 14:03:00-03:00,0.89,PUERTO LA PLATA
2024-06-16 20:53:00-03:00,0.48,PUERTO LA PLATA
2024-06-17 01:15:00-03:00,0.55,PUERTO LA PLATA
2024-06-17 07:11:00-03:00,0.27,PUERTO LA PLATA
2024-06-17 14:43:00-03:00,0.9,PUERTO LA PLATA
2024-06-17 21:34:00-03:00,0.48,PUERTO LA PLATA
2024-06-18 01:48:00-03:00,0.56,PUERTO LA PLATA
2024-06-18 08:02:00-03:00,0.28,PUERTO LA PLATA
2024-06-18 15:24:00-03:00,0.87,PUERTO LA PLATA
2024-06-18 21:53:00-03:00,0.51,PUERTO LA PLATA
2024-06-19 02:22:00-03:00,0.64,PUERTO LA PLATA
2024-06-19 09:01:00-03:00,0.33,PUERTO LA PLATA
2024-06-19 16:05:00-03:00,0.83,PUERTO LA PLATA
2024-06-19 22:05:00-03:00,0.55,PUERTO LA PLATA
2024-06-20 02:59:00-03:00,0.79,PUERTO LA PLATA
2024-06-20 10:06:00-03:00,0.38,PUERTO LA PLATA
2024-06-20 16:39:00-03:00,0.76,PUERTO LA PLATA
2024-06-20 22:20:00-03:00,0.57,PUERTO LA PLATA
2024-06-21 03:41:00-03:00,0.96,PUERTO LA PLATA
2024-06-21 11:15:00-03:00,0.44,PUERTO LA PLATA
2024-06-21 16:37:00-03:00,0.72,PUERTO LA PLATA
2024-06-21 22:42:00-03:00,0.57,PUERTO LA PLATA
2024-06-22 04:27:00-03:00,1.13,PUERTO LA PLATA
2024-06-22 12:21:00-03:00,0.49,PUERTO LA PLATA
2024-06-22 16:42:00-03:00,0.72,PUERTO LA PLATA
2024-06-22 23:20:00-03:00,0.55,PUERTO LA PLATA
2024-06-23 05:18:00-03:00,1.25,PUERTO LA PLATA
2024-06-23 13:18:00-03:00,0.52,PUERTO LA PLATA
2024-06-23 17:19:00-03:00,0.75,PUERTO LA PLATA
2024-06-24 00:23:00-03:00,0.52,PUERTO LA PLATA
2024-06-24 06:12:00-03:00,1.29,PUERTO LA PLATA
2024-06-24 14:08:00-03:00,0.54,PUERTO LA PLATA
2024-06-24 18:16:00-03:00,0.8,PUERTO LA PLATA
2024-06-25 01:34:00-03:00,0.46,PUERTO LA PLATA
2024-06-25 07:10:00-03:00,1.28,PUERTO LA PLATA
2024-06-25 14:57:00-03:00,0.53,PUERTO LA PLATA
2024-06-25 19:18:00-03:00,0.83,PUERTO LA PLATA
2024-06-26 02:37:00-03:00,0.38,PUERTO LA PLATA
2024-06-26 08:11:00-03:00,1.22,PUERTO LA PLATA
2024-06-26 15:45:00-03:00,0.51,PUERTO LA PLATA
2024-06-26 20:11:00-03:00,0.84,PUERTO LA PLATA
2024-06-27 03:35:00-03:00,0.3,PUERTO LA PLATA
